"aar","bydel_nr","Bydel","enhet","tabellvariabel","tabell_navn","botid_5","vreg_3","fylke_nr","Fylke","kommune_nr","naringsregion_nr"
"2014","030108","NULL","personer","657","befolkning_botid","5_9","1","NULL","NULL","NULL","NULL"
"2014","030108","NULL","personer","590","befolkning_botid","5_9","2","NULL","NULL","NULL","NULL"
"2014","030108","NULL","personer","1247","befolkning_botid","5_9","alle","NULL","NULL","NULL","NULL"
"2014","030108","NULL","personer","1216","befolkning_botid","10+","1","NULL","NULL","NULL","NULL"
"2014","030108","NULL","personer","1308","befolkning_botid","10+","2","NULL","NULL","NULL","NULL"
"2014","030108","NULL","personer","2524","befolkning_botid","10+","alle","NULL","NULL","NULL","NULL"
"2014","030108","NULL","personer","0","befolkning_botid","uoppgitt","1","NULL","NULL","NULL","NULL"
"2014","030108","NULL","personer","0","befolkning_botid","uoppgitt","2","NULL","NULL","NULL","NULL"
"2014","030108","NULL","personer","0","befolkning_botid","uoppgitt","alle","NULL","NULL","NULL","NULL"
"2014","030109",,"navn","Bjerke","befolkning_botid","NULL","NULL","NULL","NULL","NULL","NULL"
"2014","030109","NULL","personer","2647","befolkning_botid","alle","1","NULL","NULL","NULL","NULL"
"2014","030109","NULL","personer","6639","befolkning_botid","alle","2","NULL","NULL","NULL","NULL"
"2014","030109","NULL","personer","9286","befolkning_botid","alle","alle","NULL","NULL","NULL","NULL"
"2014","030109","NULL","personer","1382","befolkning_botid","0_4","1","NULL","NULL","NULL","NULL"
"2014","030109","NULL","personer","1259","befolkning_botid","0_4","2","NULL","NULL","NULL","NULL"
"2014","030109","NULL","personer","2641","befolkning_botid","0_4","alle","NULL","NULL","NULL","NULL"
"2014","030109","NULL","personer","634","befolkning_botid","5_9","1","NULL","NULL","NULL","NULL"
"2014","030109","NULL","personer","1164","befolkning_botid","5_9","2","NULL","NULL","NULL","NULL"
"2014","030109","NULL","personer","1798","befolkning_botid","5_9","alle","NULL","NULL","NULL","NULL"
"2014","030109","NULL","personer","631","befolkning_botid","10+","1","NULL","NULL","NULL","NULL"
"2014","030109","NULL","personer","4216","befolkning_botid","10+","2","NULL","NULL","NULL","NULL"
"2014","030109","NULL","personer","4847","befolkning_botid","10+","alle","NULL","NULL","NULL","NULL"
"2014","030109","NULL","personer","0","befolkning_botid","uoppgitt","1","NULL","NULL","NULL","NULL"
"2014","030109","NULL","personer","0","befolkning_botid","uoppgitt","2","NULL","NULL","NULL","NULL"
"2014","030109","NULL","personer","0","befolkning_botid","uoppgitt","alle","NULL","NULL","NULL","NULL"
"2014","030110",,"navn","Grorud","befolkning_botid","NULL","NULL","NULL","NULL","NULL","NULL"
"2014","030110","NULL","personer","1645","befolkning_botid","alle","1","NULL","NULL","NULL","NULL"
"2014","030110","NULL","personer","6999","befolkning_botid","alle","2","NULL","NULL","NULL","NULL"
"2014","030110","NULL","personer","8644","befolkning_botid","alle","alle","NULL","NULL","NULL","NULL"
"2014","030110","NULL","personer","689","befolkning_botid","0_4","1","NULL","NULL","NULL","NULL"
"2014","030110","NULL","personer","1007","befolkning_botid","0_4","2","NULL","NULL","NULL","NULL"
"2014","030110","NULL","personer","1696","befolkning_botid","0_4","alle","NULL","NULL","NULL","NULL"
"2014","030110","NULL","personer","455","befolkning_botid","5_9","1","NULL","NULL","NULL","NULL"
"2014","030110","NULL","personer","1187","befolkning_botid","5_9","2","NULL","NULL","NULL","NULL"
"2014","030110","NULL","personer","1642","befolkning_botid","5_9","alle","NULL","NULL","NULL","NULL"
"2014","030110","NULL","personer","501","befolkning_botid","10+","1","NULL","NULL","NULL","NULL"
"2014","030110","NULL","personer","4805","befolkning_botid","10+","2","NULL","NULL","NULL","NULL"
