"aar","fylke_nr","tilskudd_til_kommuner","enhet","tabellvariabel","tabell_navn","kommune_nr","naringsregion_nr"
"2011","17","totalt","kroner","176353910","tilskudd","NULL","NULL"
"2011","17","inttilsk_1_5","kroner","158383250","tilskudd","NULL","NULL"
"2011","17","inttilsk_1","kroner","49300000","tilskudd","NULL","NULL"
"2011","17","inttilsk_2_5","kroner","109083250","tilskudd","NULL","NULL"
"2011","17","funkhem","kroner","2293474","tilskudd","NULL","NULL"
"2011","17","norsk_samf_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","17","em_tilsk","kroner","12533586","tilskudd","NULL","NULL"
"2011","17","barnehage_tilsk","kroner","538200","tilskudd","NULL","NULL"
"2011","17","eldre_tilsk","kroner","277400","tilskudd","NULL","NULL"
"2011","17","skole_tilsk","kroner","2328000","tilskudd","NULL","NULL"
"2011","18","totalt","kroner","372343493","tilskudd","NULL","NULL"
"2011","18","inttilsk_1_5","kroner","325354250","tilskudd","NULL","NULL"
"2011","18","inttilsk_1","kroner","97951000","tilskudd","NULL","NULL"
"2011","18","inttilsk_2_5","kroner","227403250","tilskudd","NULL","NULL"
"2011","18","funkhem","kroner","12066871","tilskudd","NULL","NULL"
"2011","18","norsk_samf_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","18","em_tilsk","kroner","26953672","tilskudd","NULL","NULL"
"2011","18","barnehage_tilsk","kroner","1366200","tilskudd","NULL","NULL"
"2011","18","eldre_tilsk","kroner","958900","tilskudd","NULL","NULL"
"2011","18","skole_tilsk","kroner","5643600","tilskudd","NULL","NULL"
"2011","19","totalt","kroner","188594900.7","tilskudd","NULL","NULL"
"2011","19","inttilsk_1_5","kroner","170131132","tilskudd","NULL","NULL"
"2011","19","inttilsk_1","kroner","51839732.65","tilskudd","NULL","NULL"
"2011","19","inttilsk_2_5","kroner","118291400","tilskudd","NULL","NULL"
"2011","19","funkhem","kroner","0","tilskudd","NULL","NULL"
"2011","19","norsk_samf_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","19","em_tilsk","kroner","15076768","tilskudd","NULL","NULL"
"2011","19","barnehage_tilsk","kroner","414000","tilskudd","NULL","NULL"
"2011","19","eldre_tilsk","kroner","550800","tilskudd","NULL","NULL"
"2011","19","skole_tilsk","kroner","2422200","tilskudd","NULL","NULL"
"2011","20","totalt","kroner","133926349","tilskudd","NULL","NULL"
"2011","20","inttilsk_1_5","kroner","110395675","tilskudd","NULL","NULL"
"2011","20","inttilsk_1","kroner","33644500","tilskudd","NULL","NULL"
"2011","20","inttilsk_2_5","kroner","76751175","tilskudd","NULL","NULL"
