kommune_nr;innvkat.3.alle_vreg.3.alle_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.1_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.2_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.alle_enhet.prosent_aar.2012;innvkat.3.befolkningen.ellers_vreg.3.alle_enhet.prosent_aar.2012
1514;8,2;23,9;:;22,2;6,6
1515;5,6;22,5;24,5;23,4;4,5
1516;5,1;11,8;15,6;13,2;4,2
1517;7,8;20,1;27,0;22,9;6,0
1519;7,8;21,5;52,6;39,1;6,1
1520;6,5;20,0;38,2;28,8;5,3
1523;6,1;22,5;:;16,3;5,1
1524;7,1;12,6;:;11,0;6,8
1525;5,9;15,8;:;13,2;5,2
1526;10,3;34,0;:;29,0;7,5
1528;6,2;14,8;26,4;19,9;5,0
1529;3,7;16,0;:;11,4;3,3
1531;5,4;18,9;19,5;19,1;4,5
1532;5,4;17,9;21,5;19,2;4,5
1534;6,3;14,6;16,2;15,2;5,4
1535;7,0;20,6;9,0;16,9;6,3
1539;6,4;14,7;:;13,0;6,0
1543;6,1;19,7;:;19,8;5,6
1545;5,7;23,5;:;17,8;4,6
1546;8,4;34,7;:;31,3;5,6
1547;6,5;16,0;33,8;21,5;5,3
1548;6,4;29,1;19,5;25,8;5,3
1551;6,2;38,4;19,7;30,6;5,0
1554;5,7;19,5;:;16,4;5,1
1557;5,3;:;29,3;15,5;4,8
1560;8,7;24,8;35,1;29,1;7,4
1563;7,0;10,6;47,1;36,4;5,5
1566;7,2;18,0;:;16,4;6,9
1567;6,4;:;:;:;6,2
1571;10,2;:;:;:;10,0
1573;9,0;28,6;:;25,0;8,1
1576;8,7;24,1;26,2;24,9;7,7
1601;8,2;17,8;31,8;26,6;6,5
1612;6,7;:;27,0;18,6;6,3
1613;9,2;:;:;:;8,8
1617;9,8;20,4;22,4;20,8;8,2
1620;8,4;16,4;:;14,5;7,7
1621;7,3;23,0;15,7;19,7;6,9
1622;9,0;38,2;:;24,6;8,3
1624;7,8;22,7;17,7;21,7;7,1
1627;8,5;14,3;25,5;18,8;8,1
1630;7,5;:;:;:;7,3
1632;8,0;:;:;:;7,1
1633;7,0;:;:;:;6,6
1634;8,2;19,3;37,7;27,8;7,2
1635;9,8;:;:;22,0;9,5
1636;7,6;39,2;:;29,0;7,0
1638;6,0;21,6;36,6;30,6;4,7
1640;6,9;13,0;35,2;22,6;6,2
1644;5,8;:;:;:;5,5
1648;7,5;17,3;34,8;21,1;6,7
