kom;komnr;navn;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10
1416 Høyanger;1416;Høyanger;5000840;4742000;210000;4532000;0;0;126840;0;0;132000
1417 Vik;1417;Vik;1350875;1317875;135000;1182875;0;0;0;0;0;33000
1418 Balestrand;1418;Balestrand;4052200;3976500;1148000;2828500;0;0;0;20700;0;55000
1419 Leikanger;1419;Leikanger;2723800;2636000;691500;1944500;0;0;0;21800;0;66000
1420 Sogndal;1420;Sogndal;12303000;12149500;2649500;9500000;0;0;0;44000;0;109500
1421 Aurland;1421;Aurland;0;0;0;0;0;0;0;0;0;0
1422 Lærdal;1422;Lærdal;0;0;0;0;0;0;0;0;0;0
1424 Årdal;1424;Årdal;80000;80000;0;80000;0;0;0;0;0;0
1426 Luster;1426;Luster;3528500;3495500;1185000;2310500;0;0;0;0;0;33000
1428 Askvoll;1428;Askvoll;0;0;0;0;0;0;0;0;0;0
1429 Fjaler;1429;Fjaler;0;0;0;0;0;0;0;0;0;0
1430 Gaular;1430;Gaular;0;0;0;0;0;0;0;0;0;0
1431 Jølster;1431;Jølster;5367500;5303000;1696500;3606500;0;0;0;42500;0;22000
1432 Førde;1432;Førde;11255520;10484500;3665500;6819000;0;0;380520;127500;0;263000
1433 Naustdal;1433;Naustdal;0;0;0;0;0;0;0;0;0;0
1438 Bremanger;1438;Bremanger;7064480;6485500;4601500;1884000;0;0;253680;43600;138700;143000
1439 Vågsøy;1439;Vågsøy;0;0;0;0;0;0;0;0;0;0
1441 Selje;1441;Selje;0;0;0;0;0;0;0;0;0;0
1443 Eid;1443;Eid;7674676;6155500;1823000;4332500;0;0;1326276;41400;0;151500
1444 Hornindal;1444;Hornindal;0;0;0;0;0;0;0;0;0;0
1445 Gloppen;1445;Gloppen;12002484;9589000;2274000;7315000;754200;0;1373484;21800;143000;121000
1449 Stryn;1449;Stryn;11066700;10223500;1899000;8324500;0;0;634200;0;0;209000
1502 Molde;1502;Molde;35720452;31071900;11535500;19536400;328472;0;3741780;149300;0;429000
1504 Ålesund;1504;Ålesund;23378630;20486500;4867500;15619000;0;0;2420530;152600;0;319000
1505 Kristiansund;1505;Kristiansund;33330770;31987250;12788000;19199250;0;0;380520;146000;143000;674000
1511 Vanylven;1511;Vanylven;0;0;0;0;0;0;0;0;0;0
1514 Sande (M. og R.);1514;Sande (M. og R.);0;0;0;0;0;0;0;0;0;0
1515 Herøy (M. og R.);1515;Herøy (M. og R.);6050340;5707500;1723000;3984500;0;0;126840;85000;0;131000
1516 Ulstein;1516;Ulstein;9237680;8775000;1376000;7399000;0;0;253680;0;0;209000
1517 Hareid;1517;Hareid;6524912;5060000;1874000;3186000;155400;0;1178912;43600;0;87000
1519 Volda;1519;Volda;25940728;19380500;4934000;14446500;3554376;0;2621052;21800;0;363000
1520 Ørsta;1520;Ørsta;15806824;13662500;4806500;8856000;0;0;1817424;107900;0;219000
1523 Ørskog;1523;Ørskog;0;0;0;0;0;0;0;0;0;0
1524 Norddal;1524;Norddal;0;0;0;0;0;0;0;0;0;0
1525 Stranda;1525;Stranda;70000;70000;0;70000;0;0;0;0;0;0
1526 Stordal;1526;Stordal;0;0;0;0;0;0;0;0;0;0
1528 Sykkylven;1528;Sykkylven;9036240;8499000;2548000;5951000;0;0;126840;63200;138700;208500
1529 Skodje;1529;Skodje;70000;70000;0;70000;0;0;0;0;0;0
1531 Sula;1531;Sula;648000;626000;0;626000;0;0;0;0;0;22000
1532 Giske;1532;Giske;6161500;6031000;2822500;3208500;0;0;0;42500;0;88000
1534 Haram;1534;Haram;9844100;9635500;2510000;7125500;0;0;0;43600;0;165000
1535 Vestnes;1535;Vestnes;335000;313000;313000;0;0;0;0;0;0;22000
1539 Rauma;1539;Rauma;0;0;0;0;0;0;0;0;0;0
1543 Nesset;1543;Nesset;0;0;0;0;0;0;0;0;0;0
1545 Midsund;1545;Midsund;0;0;0;0;0;0;0;0;0;0
1546 Sandøy;1546;Sandøy;0;0;0;0;0;0;0;0;0;0
1547 Aukra;1547;Aukra;1187800;1166000;761000;405000;0;0;0;21800;0;0
1548 Fræna;1548;Fræna;3942000;3832000;696500;3135500;0;0;0;0;0;110000
1551 Eide;1551;Eide;2593020;2179500;900000;1279500;0;0;380520;0;0;33000
1554 Averøy;1554;Averøy;0;0;0;0;0;0;0;0;0;0
1557 Gjemnes;1557;Gjemnes;0;0;0;0;0;0;0;0;0;0
1560 Tingvoll;1560;Tingvoll;5245707;3410500;313000;3097500;734207;0;1057000;0;0;44000
1563 Sunndal;1563;Sunndal;24727700;19968000;6305500;13662500;1826400;0;2431100;129700;0;372500
1566 Surnadal;1566;Surnadal;0;0;0;0;0;0;0;0;0;0
1567 Rindal;1567;Rindal;0;0;0;0;0;0;0;0;0;0
1571 Halsa;1571;Halsa;0;0;0;0;0;0;0;0;0;0
1573 Smøla;1573;Smøla;0;0;0;0;0;0;0;0;0;0
1576 Aure;1576;Aure;6372642;5562500;901500;4661000;595302;0;126840;0;0;88000
1601 Trondheim;1601;Trondheim;208742771;168980300;53665000;115315300;23952977;0;11775694;949300;563400;2521100
1612 Hemne;1612;Hemne;2947880;2060000;1050000;1010000;0;0;887880;0;0;0
1613 Snillfjord;1613;Snillfjord;0;0;0;0;0;0;0;0;0;0
1617 Hitra;1617;Hitra;5037600;4951000;978000;3973000;0;0;0;43600;0;43000
1620 Frøya;1620;Frøya;0;0;0;0;0;0;0;0;0;0
1621 Ørland;1621;Ørland;0;0;0;0;0;0;0;0;0;0
1622 Agdenes;1622;Agdenes;0;0;0;0;0;0;0;0;0;0
1624 Rissa;1624;Rissa;3290720;2276000;840000;1436000;0;0;1014720;0;0;0
1627 Bjugn;1627;Bjugn;0;0;0;0;0;0;0;0;0;0
1630 Åfjord;1630;Åfjord;0;0;0;0;0;0;0;0;0;0
