kommune_nr;bosatt_2015_personer;anmodning_2015_personer;vedtak_2015_personer;anmodning_2016_personer;vedtak_2016_personer;bosatt_2016_personer;anmodning_2017_personer;vedtak_2017_personer;bosatt_2017_personer;bosatt_2015_prosent;anmodning_2015_prosent;vedtak_2015_prosent;anmodning_2016_prosent;vedtak_2016_prosent;bosatt_2016_prosent;anmodning_2017_prosent;vedtak_2017_prosent;bosatt_2017_prosent
1216;;15;11;25;25;;29;.;;;100;73,33333333;100;100;;100;.;
1219;;30;32;50;42;;58;.;;;100;106,6666667;100;84;;100;.;
1221;;35;35;60;42;;69;20;;;100;100;100;70;;100;28,98550725;
1222;;10;16;25;16;;29;10;;;100;160;100;64;;100;34,48275862;
1223;;10;7;14;14;;16;7;;;100;70;100;100;;100;43,75;
1224;;25;30;50;50;;58;.;;;100;120;100;100;;100;.;
1227;;10;.;15;15;;17;17;;;100;.;100;100;;100;100;
1228;;20;15;40;20;;46;15;;;100;75;100;50;;100;32,60869565;
1231;;20;15;30;15;;35;30;;;100;75;100;50;;100;85,71428571;
1232;;10;10;15;10;;17;10;;;100;100;100;66,66666667;;100;58,82352941;
1233;;10;10;20;13;;23;13;;;100;100;100;65;;100;56,52173913;
1234;;10;.;15;10;;17;5;;;100;.;100;66,66666667;;100;29,41176471;
1235;;30;48;60;50;;69;50;;;100;160;100;83,33333333;;100;72,46376812;
1238;;20;15;40;30;;46;.;;;100;75;100;75;;100;.;
1241;;10;10;30;20;;35;10;;;100;100;100;66,66666667;;100;28,57142857;
1242;;10;.;25;20;;29;.;;;100;.;100;80;;100;.;
1243;;20;15;65;45;;75;45;;;100;75;100;69,23076923;;100;60;
1244;;10;.;25;20;;29;15;;;100;.;100;80;;100;51,72413793;
1245;;15;10;35;10;;40;.;;;100;66,66666667;100;28,57142857;;100;.;
1246;;40;63;75;53;;86;.;;;100;157,5;100;70,66666667;;100;.;
1247;;40;36;80;80;;92;92;;;100;90;100;100;;100;100;
1251;;15;15;25;25;;29;.;;;100;100;100;100;;100;.;
1252;;6;.;12;10;;14;.;;;100;.;100;83,33333333;;100;.;
1253;;15;15;28;15;;32;.;;;100;100;100;53,57142857;;100;.;
1256;;20;30;35;30;;40;30;;;100;150;100;85,71428571;;100;75;
1259;;20;15;35;10;;40;10;;;100;75;100;28,57142857;;100;25;
1260;;15;6;25;6;;29;.;;;100;40;100;24;;100;.;
1263;;20;20;55;20;;63;.;;;100;100;100;36,36363636;;100;.;
1264;;10;13;12;10;;14;.;;;100;130;100;83,33333333;;100;.;
1265;;6;10;12;10;;14;10;;;100;166,6666667;100;83,33333333;;100;71,42857143;
1266;;10;10;19;15;;22;16;;;100;100;100;78,94736842;;100;72,72727273;
1401;;35;56;55;55;;63;63;;;100;160;100;100;;100;100;
1411;;10;17;20;14;;23;.;;;100;170;100;70;;100;.;
1412;;6;12;15;12;;17;18;;;100;200;100;80;;100;105,8823529;
1413;;10;7;20;7;;23;7;;;100;70;100;35;;100;30,43478261;
1416;;15;10;25;25;;29;.;;;100;66,66666667;100;100;;100;.;
1417;;10;17;20;20;;23;23;;;100;170;100;100;;100;100;
1418;;10;13;20;15;;23;15;;;100;130;100;75;;100;65,2173913;
1419;;10;18;20;17;;23;10;;;100;180;100;85;;100;43,47826087;
1420;;30;35;45;45;;52;52;;;100;116,6666667;100;100;;100;100;
1421;;10;.;15;6;;17;6;;;100;.;100;40;;100;35,29411765;
1422;;10;15;20;15;;23;15;;;100;150;100;75;;100;65,2173913;
1424;;10;10;20;20;;23;23;;;100;100;100;100;;100;100;
1426;;10;25;20;15;;23;15;;;100;250;100;75;;100;65,2173913;
1428;;10;17;20;17;;23;.;;;100;170;100;85;;100;.;
1429;;10;17;20;20;;23;.;;;100;170;100;100;;100;.;
1430;;10;5;30;5;;35;.;;;100;50;100;16,66666667;;100;.;
1431;;10;13;20;10;;23;10;;;100;130;100;50;;100;43,47826087;
1432;;35;56;55;46;;63;45;;;100;160;100;83,63636364;;100;71,42857143;
1433;;10;16;20;16;;23;15;;;100;160;100;80;;100;65,2173913;
1438;;15;.;25;20;;29;.;;;100;.;100;80;;100;.;
1439;;10;15;25;20;;29;20;;;100;150;100;80;;100;68,96551724;
1441;;10;10;20;15;;23;15;;;100;100;100;75;;100;65,2173913;
1443;;30;34;40;40;;46;40;;;100;113,3333333;100;100;;100;86,95652174;
1444;;6;0;15;10;;17;.;;;100;0;100;66,66666667;;100;.;
1445;;15;24;35;35;;40;40;;;100;160;100;100;;100;100;
1449;;20;32;45;40;;52;.;;;100;160;100;88,88888889;;100;.;
1502;;60;95;95;95;;110;95;;;100;158,3333333;100;100;;100;86,36363636;
