"naringsregion_nr","avslutta","kjonn","avslstat4","aar","enhet","tabellvariabel","tabell_navn"
"33","ettaar","alle","arbutd","2013","personer","27","intro_status_arbutd"
"34","ettaar","alle","arbutd","2013","personer","18","intro_status_arbutd"
"35","ettaar","alle","arbutd","2013","personer","116","intro_status_arbutd"
"36","ettaar","alle","arbutd","2013","personer","9","intro_status_arbutd"
"37","ettaar","alle","arbutd","2013","personer","61","intro_status_arbutd"
"38","ettaar","alle","arbutd","2013","personer",":","intro_status_arbutd"
"39","ettaar","alle","arbutd","2013","personer","105","intro_status_arbutd"
"40","ettaar","alle","arbutd","2013","personer","115","intro_status_arbutd"
"41","ettaar","alle","arbutd","2013","personer","10","intro_status_arbutd"
"42","ettaar","alle","arbutd","2013","personer","6","intro_status_arbutd"
"43","ettaar","alle","arbutd","2013","personer",":","intro_status_arbutd"
"44","ettaar","alle","arbutd","2013","personer","11","intro_status_arbutd"
"45","ettaar","alle","arbutd","2013","personer",":","intro_status_arbutd"
"46","ettaar","alle","arbutd","2013","personer","18","intro_status_arbutd"
"47","ettaar","alle","arbutd","2013","personer","29","intro_status_arbutd"
"48","ettaar","alle","arbutd","2013","personer","0","intro_status_arbutd"
"49","ettaar","alle","arbutd","2013","personer","18","intro_status_arbutd"
"50","ettaar","alle","arbutd","2013","personer","32","intro_status_arbutd"
"51","ettaar","alle","arbutd","2013","personer","17","intro_status_arbutd"
"52","ettaar","alle","arbutd","2013","personer","31","intro_status_arbutd"
"53","ettaar","alle","arbutd","2013","personer","26","intro_status_arbutd"
"54","ettaar","alle","arbutd","2013","personer","10","intro_status_arbutd"
"55","ettaar","alle","arbutd","2013","personer","24","intro_status_arbutd"
"56","ettaar","alle","arbutd","2013","personer","30","intro_status_arbutd"
"57","ettaar","alle","arbutd","2013","personer",":","intro_status_arbutd"
"58","ettaar","alle","arbutd","2013","personer",":","intro_status_arbutd"
"59","ettaar","alle","arbutd","2013","personer",":","intro_status_arbutd"
"60","ettaar","alle","arbutd","2013","personer","13","intro_status_arbutd"
"61","ettaar","alle","arbutd","2013","personer","99","intro_status_arbutd"
"62","ettaar","alle","arbutd","2013","personer",":","intro_status_arbutd"
"63","ettaar","alle","arbutd","2013","personer","21","intro_status_arbutd"
"64","ettaar","alle","arbutd","2013","personer","66","intro_status_arbutd"
"65","ettaar","alle","arbutd","2013","personer",":","intro_status_arbutd"
"66","ettaar","alle","arbutd","2013","personer",":","intro_status_arbutd"
"67","ettaar","alle","arbutd","2013","personer","24","intro_status_arbutd"
"68","ettaar","alle","arbutd","2013","personer","8","intro_status_arbutd"
"69","ettaar","alle","arbutd","2013","personer","13","intro_status_arbutd"
"70","ettaar","alle","arbutd","2013","personer","0","intro_status_arbutd"
"71","ettaar","alle","arbutd","2013","personer","19","intro_status_arbutd"
"72","ettaar","alle","arbutd","2013","personer","24","intro_status_arbutd"
"73","ettaar","alle","arbutd","2013","personer","70","intro_status_arbutd"
"74","ettaar","alle","arbutd","2013","personer",":","intro_status_arbutd"
"75","ettaar","alle","arbutd","2013","personer","24","intro_status_arbutd"
"76","ettaar","alle","arbutd","2013","personer","47","intro_status_arbutd"
"77","ettaar","alle","arbutd","2013","personer","22","intro_status_arbutd"
"78","ettaar","alle","arbutd","2013","personer","27","intro_status_arbutd"
"79","ettaar","alle","arbutd","2013","personer","70","intro_status_arbutd"
"80","ettaar","alle","arbutd","2013","personer","7","intro_status_arbutd"
"81","ettaar","alle","arbutd","2013","personer","25","intro_status_arbutd"
"82","ettaar","alle","arbutd","2013","personer",":","intro_status_arbutd"
"83","ettaar","alle","arbutd","2013","personer","23","intro_status_arbutd"
"99","ettaar","alle","arbutd","2013","personer","31","intro_status_arbutd"
"01","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"02","ettaar","alle","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"03","ettaar","alle","ledig_tiltak","2013","personer","5","intro_status_arbutd"
"04","ettaar","alle","ledig_tiltak","2013","personer","12","intro_status_arbutd"
"05","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"06","ettaar","alle","ledig_tiltak","2013","personer","9","intro_status_arbutd"
"07","ettaar","alle","ledig_tiltak","2013","personer","12","intro_status_arbutd"
"08","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"09","ettaar","alle","ledig_tiltak","2013","personer","24","intro_status_arbutd"
"10","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"11","ettaar","alle","ledig_tiltak","2013","personer","7","intro_status_arbutd"
"12","ettaar","alle","ledig_tiltak","2013","personer","7","intro_status_arbutd"
"13","ettaar","alle","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"14","ettaar","alle","ledig_tiltak","2013","personer","11","intro_status_arbutd"
"15","ettaar","alle","ledig_tiltak","2013","personer","10","intro_status_arbutd"
"16","ettaar","alle","ledig_tiltak","2013","personer","11","intro_status_arbutd"
"17","ettaar","alle","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"18","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"19","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"20","ettaar","alle","ledig_tiltak","2013","personer","22","intro_status_arbutd"
"21","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"22","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"23","ettaar","alle","ledig_tiltak","2013","personer","4","intro_status_arbutd"
"24","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"25","ettaar","alle","ledig_tiltak","2013","personer","7","intro_status_arbutd"
"26","ettaar","alle","ledig_tiltak","2013","personer","6","intro_status_arbutd"
"27","ettaar","alle","ledig_tiltak","2013","personer","15","intro_status_arbutd"
"28","ettaar","alle","ledig_tiltak","2013","personer","7","intro_status_arbutd"
"29","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"30","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"31","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"32","ettaar","alle","ledig_tiltak","2013","personer","12","intro_status_arbutd"
"33","ettaar","alle","ledig_tiltak","2013","personer","4","intro_status_arbutd"
"34","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"35","ettaar","alle","ledig_tiltak","2013","personer","19","intro_status_arbutd"
"36","ettaar","alle","ledig_tiltak","2013","personer","4","intro_status_arbutd"
"37","ettaar","alle","ledig_tiltak","2013","personer","5","intro_status_arbutd"
"38","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"39","ettaar","alle","ledig_tiltak","2013","personer","20","intro_status_arbutd"
"40","ettaar","alle","ledig_tiltak","2013","personer","9","intro_status_arbutd"
"41","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"42","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"43","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"44","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"45","ettaar","alle","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"46","ettaar","alle","ledig_tiltak","2013","personer","13","intro_status_arbutd"
"47","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"48","ettaar","alle","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"49","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"50","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"51","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"52","ettaar","alle","ledig_tiltak","2013","personer","7","intro_status_arbutd"
"53","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"54","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"55","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"56","ettaar","alle","ledig_tiltak","2013","personer","7","intro_status_arbutd"
"57","ettaar","alle","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"58","ettaar","alle","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"59","ettaar","alle","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"60","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"61","ettaar","alle","ledig_tiltak","2013","personer","23","intro_status_arbutd"
"62","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"63","ettaar","alle","ledig_tiltak","2013","personer","4","intro_status_arbutd"
"64","ettaar","alle","ledig_tiltak","2013","personer","9","intro_status_arbutd"
"65","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"66","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"67","ettaar","alle","ledig_tiltak","2013","personer","7","intro_status_arbutd"
"68","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"69","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"70","ettaar","alle","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"71","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"72","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"73","ettaar","alle","ledig_tiltak","2013","personer","21","intro_status_arbutd"
"74","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"75","ettaar","alle","ledig_tiltak","2013","personer","11","intro_status_arbutd"
"76","ettaar","alle","ledig_tiltak","2013","personer","11","intro_status_arbutd"
"77","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"78","ettaar","alle","ledig_tiltak","2013","personer","9","intro_status_arbutd"
"79","ettaar","alle","ledig_tiltak","2013","personer","10","intro_status_arbutd"
"80","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"81","ettaar","alle","ledig_tiltak","2013","personer","8","intro_status_arbutd"
"82","ettaar","alle","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"83","ettaar","alle","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"99","ettaar","alle","ledig_tiltak","2013","personer","4","intro_status_arbutd"
"01","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"02","ettaar","alle","annet","2013","personer","6","intro_status_arbutd"
"03","ettaar","alle","annet","2013","personer","8","intro_status_arbutd"
"04","ettaar","alle","annet","2013","personer","29","intro_status_arbutd"
"05","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"06","ettaar","alle","annet","2013","personer","18","intro_status_arbutd"
"07","ettaar","alle","annet","2013","personer","27","intro_status_arbutd"
"08","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"09","ettaar","alle","annet","2013","personer","82","intro_status_arbutd"
"10","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"11","ettaar","alle","annet","2013","personer","11","intro_status_arbutd"
"12","ettaar","alle","annet","2013","personer","13","intro_status_arbutd"
"13","ettaar","alle","annet","2013","personer","12","intro_status_arbutd"
"14","ettaar","alle","annet","2013","personer","19","intro_status_arbutd"
"15","ettaar","alle","annet","2013","personer","6","intro_status_arbutd"
"16","ettaar","alle","annet","2013","personer","21","intro_status_arbutd"
"17","ettaar","alle","annet","2013","personer","5","intro_status_arbutd"
"18","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"19","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"20","ettaar","alle","annet","2013","personer","30","intro_status_arbutd"
"21","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"22","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"23","ettaar","alle","annet","2013","personer","5","intro_status_arbutd"
"24","ettaar","alle","annet","2013","personer","4","intro_status_arbutd"
"25","ettaar","alle","annet","2013","personer","14","intro_status_arbutd"
"26","ettaar","alle","annet","2013","personer","8","intro_status_arbutd"
"27","ettaar","alle","annet","2013","personer","42","intro_status_arbutd"
"28","ettaar","alle","annet","2013","personer","7","intro_status_arbutd"
"29","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"30","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"31","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"32","ettaar","alle","annet","2013","personer","21","intro_status_arbutd"
"33","ettaar","alle","annet","2013","personer","9","intro_status_arbutd"
"34","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"35","ettaar","alle","annet","2013","personer","42","intro_status_arbutd"
"36","ettaar","alle","annet","2013","personer","8","intro_status_arbutd"
"37","ettaar","alle","annet","2013","personer","34","intro_status_arbutd"
"38","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"39","ettaar","alle","annet","2013","personer","36","intro_status_arbutd"
"40","ettaar","alle","annet","2013","personer","68","intro_status_arbutd"
"41","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"42","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"43","ettaar","alle","annet","2013","personer","0","intro_status_arbutd"
"44","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"45","ettaar","alle","annet","2013","personer","0","intro_status_arbutd"
"46","ettaar","alle","annet","2013","personer","5","intro_status_arbutd"
"47","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
"48","ettaar","alle","annet","2013","personer","0","intro_status_arbutd"
"49","ettaar","alle","annet","2013","personer",":","intro_status_arbutd"
