"tabell_navn","aar","kommune_nr","vreg_9","enhet","tabellvariabel"
"befolkning_verdensregion_9","2015","0220","afrika","person","845"
"befolkning_verdensregion_9","2015","0220","sor_og_mellom_amerika","person","254"
"befolkning_verdensregion_9","2015","0220","alle","person","9482"
"befolkning_verdensregion_9","2015","0221","norden","person","217"
"befolkning_verdensregion_9","2015","0221","vest_europa","person","175"
"befolkning_verdensregion_9","2015","0221","eu_ost_europa","person","741"
"befolkning_verdensregion_9","2015","0221","ost_europa_ellers","person","49"
"befolkning_verdensregion_9","2015","0221","nord_amerika_oseania","person","16"
"befolkning_verdensregion_9","2015","0221","asia","person","269"
"befolkning_verdensregion_9","2015","0221","afrika","person","74"
"befolkning_verdensregion_9","2015","0221","sor_og_mellom_amerika","person","38"
"befolkning_verdensregion_9","2015","0221","alle","person","1579"
"befolkning_verdensregion_9","2015","0226","norden","person","284"
"befolkning_verdensregion_9","2015","0226","vest_europa","person","220"
"befolkning_verdensregion_9","2015","0226","eu_ost_europa","person","894"
"befolkning_verdensregion_9","2015","0226","ost_europa_ellers","person","120"
"befolkning_verdensregion_9","2015","0226","nord_amerika_oseania","person","28"
"befolkning_verdensregion_9","2015","0226","asia","person","591"
"befolkning_verdensregion_9","2015","0226","afrika","person","88"
"befolkning_verdensregion_9","2015","0226","sor_og_mellom_amerika","person","57"
"befolkning_verdensregion_9","2015","0226","alle","person","2282"
"befolkning_verdensregion_9","2015","0227","norden","person","160"
"befolkning_verdensregion_9","2015","0227","vest_europa","person","135"
"befolkning_verdensregion_9","2015","0227","eu_ost_europa","person","565"
"befolkning_verdensregion_9","2015","0227","ost_europa_ellers","person","119"
"befolkning_verdensregion_9","2015","0227","nord_amerika_oseania","person","12"
"befolkning_verdensregion_9","2015","0227","asia","person","261"
"befolkning_verdensregion_9","2015","0227","afrika","person","85"
"befolkning_verdensregion_9","2015","0227","sor_og_mellom_amerika","person","34"
"befolkning_verdensregion_9","2015","0227","alle","person","1371"
"befolkning_verdensregion_9","2015","0228","norden","person","312"
"befolkning_verdensregion_9","2015","0228","vest_europa","person","182"
"befolkning_verdensregion_9","2015","0228","eu_ost_europa","person","664"
"befolkning_verdensregion_9","2015","0228","ost_europa_ellers","person","174"
"befolkning_verdensregion_9","2015","0228","nord_amerika_oseania","person","21"
"befolkning_verdensregion_9","2015","0228","asia","person","1116"
"befolkning_verdensregion_9","2015","0228","afrika","person","233"
"befolkning_verdensregion_9","2015","0228","sor_og_mellom_amerika","person","104"
"befolkning_verdensregion_9","2015","0228","alle","person","2806"
"befolkning_verdensregion_9","2015","0229","norden","person","141"
"befolkning_verdensregion_9","2015","0229","vest_europa","person","105"
"befolkning_verdensregion_9","2015","0229","eu_ost_europa","person","476"
"befolkning_verdensregion_9","2015","0229","ost_europa_ellers","person","98"
"befolkning_verdensregion_9","2015","0229","nord_amerika_oseania","person","11"
"befolkning_verdensregion_9","2015","0229","asia","person","280"
"befolkning_verdensregion_9","2015","0229","afrika","person","98"
"befolkning_verdensregion_9","2015","0229","sor_og_mellom_amerika","person","37"
"befolkning_verdensregion_9","2015","0229","alle","person","1246"
"befolkning_verdensregion_9","2015","0230","norden","person","595"
"befolkning_verdensregion_9","2015","0230","vest_europa","person","325"
"befolkning_verdensregion_9","2015","0230","eu_ost_europa","person","1442"
"befolkning_verdensregion_9","2015","0230","ost_europa_ellers","person","480"
