"aar","kommune_nr","enhet","tabell_navn","bosetting","tabellvariabel"
"2015","1532","promille","bosatt_befolkning","bosatt_per_1000","2.650176678"
"2015","1534","promille","bosatt_befolkning","bosatt_per_1000","1.864035088"
"2015","1535","promille","bosatt_befolkning","bosatt_per_1000","1.937984496"
"2015","1539","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1543","promille","bosatt_befolkning","bosatt_per_1000","3.361344538"
"2015","1545","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1546","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1547","promille","bosatt_befolkning","bosatt_per_1000","11.5406809"
"2015","1548","promille","bosatt_befolkning","bosatt_per_1000","0.715234495"
"2015","1551","promille","bosatt_befolkning","bosatt_per_1000","0.57753393"
"2015","1554","promille","bosatt_befolkning","bosatt_per_1000","1.725923369"
"2015","1557","promille","bosatt_befolkning","bosatt_per_1000","0.775193798"
"2015","1560","promille","bosatt_befolkning","bosatt_per_1000","3.55987055"
"2015","1563","promille","bosatt_befolkning","bosatt_per_1000","6.848357792"
"2015","1566","promille","bosatt_befolkning","bosatt_per_1000","2.677376171"
"2015","1567","promille","bosatt_befolkning","bosatt_per_1000","7.850834151"
"2015","1571","promille","bosatt_befolkning","bosatt_per_1000","10.87651951"
"2015","1573","promille","bosatt_befolkning","bosatt_per_1000","7.921714818"
"2015","1576","promille","bosatt_befolkning","bosatt_per_1000","5.353620738"
"2015","1601","promille","bosatt_befolkning","bosatt_per_1000","2.297794118"
"2015","1612","promille","bosatt_befolkning","bosatt_per_1000","3.291020216"
"2015","1613","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1617","promille","bosatt_befolkning","bosatt_per_1000","2.188662727"
"2015","1620","promille","bosatt_befolkning","bosatt_per_1000","3.668536901"
"2015","1621","promille","bosatt_befolkning","bosatt_per_1000","1.350569168"
"2015","1622","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1624","promille","bosatt_befolkning","bosatt_per_1000","1.797483523"
"2015","1627","promille","bosatt_befolkning","bosatt_per_1000","2.969247084"
"2015","1630","promille","bosatt_befolkning","bosatt_per_1000","3.694581281"
"2015","1632","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1633","promille","bosatt_befolkning","bosatt_per_1000","4.95049505"
"2015","1634","promille","bosatt_befolkning","bosatt_per_1000","4.232340922"
"2015","1635","promille","bosatt_befolkning","bosatt_per_1000","6.622516556"
"2015","1636","promille","bosatt_befolkning","bosatt_per_1000","4.789513486"
"2015","1638","promille","bosatt_befolkning","bosatt_per_1000","3.412386965"
"2015","1640","promille","bosatt_befolkning","bosatt_per_1000","2.860718756"
"2015","1644","promille","bosatt_befolkning","bosatt_per_1000","6.951340616"
"2015","1648","promille","bosatt_befolkning","bosatt_per_1000","2.367424242"
"2015","1653","promille","bosatt_befolkning","bosatt_per_1000","3.518471978"
"2015","1657","promille","bosatt_befolkning","bosatt_per_1000","1.956181534"
"2015","1662","promille","bosatt_befolkning","bosatt_per_1000","1.334445371"
"2015","1663","promille","bosatt_befolkning","bosatt_per_1000","3.259742184"
"2015","1664","promille","bosatt_befolkning","bosatt_per_1000","3.433055419"
"2015","1665","promille","bosatt_befolkning","bosatt_per_1000","12.74623407"
"2015","1702","promille","bosatt_befolkning","bosatt_per_1000","2.355658199"
"2015","1703","promille","bosatt_befolkning","bosatt_per_1000","3.684937817"
"2015","1711","promille","bosatt_befolkning","bosatt_per_1000","5.082095387"
"2015","1714","promille","bosatt_befolkning","bosatt_per_1000","2.352223723"
"2015","1717","promille","bosatt_befolkning","bosatt_per_1000","4.192073171"
"2015","1718","promille","bosatt_befolkning","bosatt_per_1000","5.419281232"
"2015","1719","promille","bosatt_befolkning","bosatt_per_1000","3.183732156"
"2015","1721","promille","bosatt_befolkning","bosatt_per_1000","3.038692687"
"2015","1724","promille","bosatt_befolkning","bosatt_per_1000","7.459756576"
"2015","1725","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1736","promille","bosatt_befolkning","bosatt_per_1000","5.573618207"
"2015","1738","promille","bosatt_befolkning","bosatt_per_1000","0.717360115"
"2015","1739","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1740","promille","bosatt_befolkning","bosatt_per_1000","13.4529148"
"2015","1742","promille","bosatt_befolkning","bosatt_per_1000","4.821213339"
"2015","1743","promille","bosatt_befolkning","bosatt_per_1000","8.785942492"
"2015","1744","promille","bosatt_befolkning","bosatt_per_1000","4.798720341"
"2015","1748","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1749","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1750","promille","bosatt_befolkning","bosatt_per_1000","3.896401559"
"2015","1751","promille","bosatt_befolkning","bosatt_per_1000","5.313914584"
"2015","1755","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1756","promille","bosatt_befolkning","bosatt_per_1000","4.726735598"
"2015","1804","promille","bosatt_befolkning","bosatt_per_1000","2.21181628"
"2015","1805","promille","bosatt_befolkning","bosatt_per_1000","1.591258686"
"2015","1811","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1812","promille","bosatt_befolkning","bosatt_per_1000","2.423654872"
"2015","1813","promille","bosatt_befolkning","bosatt_per_1000","3.403075372"
"2015","1815","promille","bosatt_befolkning","bosatt_per_1000","5.714285714"
"2015","1816","promille","bosatt_befolkning","bosatt_per_1000","15.68627451"
"2015","1818","promille","bosatt_befolkning","bosatt_per_1000","12.66551526"
"2015","1820","promille","bosatt_befolkning","bosatt_per_1000","5.902870942"
"2015","1822","promille","bosatt_befolkning","bosatt_per_1000","11.42595978"
"2015","1824","promille","bosatt_befolkning","bosatt_per_1000","2.920910725"
"2015","1825","promille","bosatt_befolkning","bosatt_per_1000","6.172839506"
"2015","1826","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1827","promille","bosatt_befolkning","bosatt_per_1000","12.08244492"
"2015","1828","promille","bosatt_befolkning","bosatt_per_1000","11.22394441"
"2015","1832","promille","bosatt_befolkning","bosatt_per_1000","2.208480565"
"2015","1833","promille","bosatt_befolkning","bosatt_per_1000","1.150394969"
"2015","1834","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1835","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1836","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1837","promille","bosatt_befolkning","bosatt_per_1000","2.943910753"
"2015","1838","promille","bosatt_befolkning","bosatt_per_1000","10.92353525"
"2015","1839","promille","bosatt_befolkning","bosatt_per_1000","9.451795841"
"2015","1840","promille","bosatt_befolkning","bosatt_per_1000","4.224757076"
"2015","1841","promille","bosatt_befolkning","bosatt_per_1000","4.884639368"
"2015","1845","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1848","promille","bosatt_befolkning","bosatt_per_1000","3.589948145"
"2015","1849","promille","bosatt_befolkning","bosatt_per_1000","11.04362231"
"2015","1850","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1851","promille","bosatt_befolkning","bosatt_per_1000","4.166666667"
"2015","1852","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1853","promille","bosatt_befolkning","bosatt_per_1000","12.27436823"
"2015","1854","promille","bosatt_befolkning","bosatt_per_1000","4.649360713"
"2015","1856","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1857","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1859","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1860","promille","bosatt_befolkning","bosatt_per_1000","3.9497307"
