"naringsregion_nr","bosetting","enhet","aar","tabellvariabel","tabell_navn"
"17","anmodning","prosent","2015","100","bosatt_anmodede"
"18","anmodning","prosent","2015","100","bosatt_anmodede"
"19","anmodning","prosent","2015","100","bosatt_anmodede"
"20","anmodning","prosent","2015","100","bosatt_anmodede"
"21","anmodning","prosent","2015","100","bosatt_anmodede"
"22","anmodning","prosent","2015","100","bosatt_anmodede"
"23","anmodning","prosent","2015","100","bosatt_anmodede"
"24","anmodning","prosent","2015","100","bosatt_anmodede"
"25","anmodning","prosent","2015","100","bosatt_anmodede"
"26","anmodning","prosent","2015","100","bosatt_anmodede"
"27","anmodning","prosent","2015","100","bosatt_anmodede"
"28","anmodning","prosent","2015","100","bosatt_anmodede"
"29","anmodning","prosent","2015","100","bosatt_anmodede"
"30","anmodning","prosent","2015","100","bosatt_anmodede"
"31","anmodning","prosent","2015","100","bosatt_anmodede"
"32","anmodning","prosent","2015","100","bosatt_anmodede"
"33","anmodning","prosent","2015","100","bosatt_anmodede"
"34","anmodning","prosent","2015","100","bosatt_anmodede"
"35","anmodning","prosent","2015","100","bosatt_anmodede"
"36","anmodning","prosent","2015","100","bosatt_anmodede"
"37","anmodning","prosent","2015","100","bosatt_anmodede"
"38","anmodning","prosent","2015","100","bosatt_anmodede"
"39","anmodning","prosent","2015","100","bosatt_anmodede"
"40","anmodning","prosent","2015","100","bosatt_anmodede"
"41","anmodning","prosent","2015","100","bosatt_anmodede"
"42","anmodning","prosent","2015","100","bosatt_anmodede"
"43","anmodning","prosent","2015","100","bosatt_anmodede"
"44","anmodning","prosent","2015","100","bosatt_anmodede"
"45","anmodning","prosent","2015","100","bosatt_anmodede"
"46","anmodning","prosent","2015","100","bosatt_anmodede"
"47","anmodning","prosent","2015","100","bosatt_anmodede"
"48","anmodning","prosent","2015","100","bosatt_anmodede"
"49","anmodning","prosent","2015","100","bosatt_anmodede"
"50","anmodning","prosent","2015","100","bosatt_anmodede"
"51","anmodning","prosent","2015","100","bosatt_anmodede"
"52","anmodning","prosent","2015","100","bosatt_anmodede"
"53","anmodning","prosent","2015","100","bosatt_anmodede"
"54","anmodning","prosent","2015","100","bosatt_anmodede"
"55","anmodning","prosent","2015","100","bosatt_anmodede"
"56","anmodning","prosent","2015","100","bosatt_anmodede"
"57","anmodning","prosent","2015","100","bosatt_anmodede"
