"tabell_navn","aar","naringsregion_nr","vreg_3","enhet","botid_5","tabellvariabel"
"befolkning_botid","2015","38","1","personer","10+","302"
"befolkning_botid","2015","38","2","personer","10+","296"
"befolkning_botid","2015","38","alle","personer","10+","598"
"befolkning_botid","2015","39","1","personer","10+","5738"
"befolkning_botid","2015","39","2","personer","10+","9982"
"befolkning_botid","2015","39","alle","personer","10+","15720"
"befolkning_botid","2015","40","1","personer","10+","3955"
"befolkning_botid","2015","40","2","personer","10+","8930"
"befolkning_botid","2015","40","alle","personer","10+","12885"
"befolkning_botid","2015","41","1","personer","10+","287"
"befolkning_botid","2015","41","2","personer","10+","296"
"befolkning_botid","2015","41","alle","personer","10+","583"
"befolkning_botid","2015","42","1","personer","10+","253"
"befolkning_botid","2015","42","2","personer","10+","219"
"befolkning_botid","2015","42","alle","personer","10+","472"
"befolkning_botid","2015","43","1","personer","10+","150"
"befolkning_botid","2015","43","2","personer","10+","104"
"befolkning_botid","2015","43","alle","personer","10+","254"
"befolkning_botid","2015","44","1","personer","10+","253"
"befolkning_botid","2015","44","2","personer","10+","258"
"befolkning_botid","2015","44","alle","personer","10+","511"
"befolkning_botid","2015","45","1","personer","10+","110"
"befolkning_botid","2015","45","2","personer","10+","78"
"befolkning_botid","2015","45","alle","personer","10+","188"
"befolkning_botid","2015","46","1","personer","10+","672"
"befolkning_botid","2015","46","2","personer","10+","664"
"befolkning_botid","2015","46","alle","personer","10+","1336"
"befolkning_botid","2015","47","1","personer","10+","650"
"befolkning_botid","2015","47","2","personer","10+","872"
"befolkning_botid","2015","47","alle","personer","10+","1522"
"befolkning_botid","2015","48","1","personer","10+","114"
"befolkning_botid","2015","48","2","personer","10+","66"
"befolkning_botid","2015","48","alle","personer","10+","180"
"befolkning_botid","2015","49","1","personer","10+","468"
"befolkning_botid","2015","49","2","personer","10+","341"
"befolkning_botid","2015","49","alle","personer","10+","809"
"befolkning_botid","2015","50","1","personer","10+","400"
"befolkning_botid","2015","50","2","personer","10+","291"
"befolkning_botid","2015","50","alle","personer","10+","691"
"befolkning_botid","2015","51","1","personer","10+","321"
