"tabell_navn","aar","kommune_nr","vreg_3","enhet","botid_5","tabellvariabel"
"befolkning_botid","2015","0517","2","personer","0_4","145"
"befolkning_botid","2015","0517","alle","personer","0_4","216"
"befolkning_botid","2015","0519","1","personer","0_4","88"
"befolkning_botid","2015","0519","2","personer","0_4","17"
"befolkning_botid","2015","0519","alle","personer","0_4","105"
"befolkning_botid","2015","0520","1","personer","0_4","99"
"befolkning_botid","2015","0520","2","personer","0_4","64"
"befolkning_botid","2015","0520","alle","personer","0_4","163"
"befolkning_botid","2015","0521","1","personer","0_4","196"
"befolkning_botid","2015","0521","2","personer","0_4","85"
"befolkning_botid","2015","0521","alle","personer","0_4","281"
"befolkning_botid","2015","0522","1","personer","0_4","97"
"befolkning_botid","2015","0522","2","personer","0_4","32"
"befolkning_botid","2015","0522","alle","personer","0_4","129"
"befolkning_botid","2015","0528","1","personer","0_4","355"
"befolkning_botid","2015","0528","2","personer","0_4","174"
"befolkning_botid","2015","0528","alle","personer","0_4","529"
"befolkning_botid","2015","0529","1","personer","0_4","182"
"befolkning_botid","2015","0529","2","personer","0_4","203"
"befolkning_botid","2015","0529","alle","personer","0_4","385"
"befolkning_botid","2015","0532","1","personer","0_4","110"
"befolkning_botid","2015","0532","2","personer","0_4","70"
"befolkning_botid","2015","0532","alle","personer","0_4","180"
"befolkning_botid","2015","0533","1","personer","0_4","144"
"befolkning_botid","2015","0533","2","personer","0_4","237"
"befolkning_botid","2015","0533","alle","personer","0_4","381"
"befolkning_botid","2015","0534","1","personer","0_4","250"
"befolkning_botid","2015","0534","2","personer","0_4","272"
"befolkning_botid","2015","0534","alle","personer","0_4","522"
"befolkning_botid","2015","0536","1","personer","0_4","79"
"befolkning_botid","2015","0536","2","personer","0_4","123"
"befolkning_botid","2015","0536","alle","personer","0_4","202"
"befolkning_botid","2015","0538","1","personer","0_4","106"
"befolkning_botid","2015","0538","2","personer","0_4","116"
"befolkning_botid","2015","0538","alle","personer","0_4","222"
"befolkning_botid","2015","0540","1","personer","0_4","52"
"befolkning_botid","2015","0540","2","personer","0_4","31"
"befolkning_botid","2015","0540","alle","personer","0_4","83"
"befolkning_botid","2015","0541","1","personer","0_4","28"
"befolkning_botid","2015","0541","2","personer","0_4","107"
"befolkning_botid","2015","0541","alle","personer","0_4","135"
"befolkning_botid","2015","0542","1","personer","0_4","177"
"befolkning_botid","2015","0542","2","personer","0_4","77"
"befolkning_botid","2015","0542","alle","personer","0_4","254"
"befolkning_botid","2015","0543","1","personer","0_4","38"
"befolkning_botid","2015","0543","2","personer","0_4","42"
"befolkning_botid","2015","0543","alle","personer","0_4","80"
"befolkning_botid","2015","0544","1","personer","0_4","85"
"befolkning_botid","2015","0544","2","personer","0_4","26"
"befolkning_botid","2015","0544","alle","personer","0_4","111"
"befolkning_botid","2015","0545","1","personer","0_4","80"
"befolkning_botid","2015","0545","2","personer","0_4","76"
"befolkning_botid","2015","0545","alle","personer","0_4","156"
"befolkning_botid","2015","0602","1","personer","0_4","2377"
"befolkning_botid","2015","0602","2","personer","0_4","1719"
"befolkning_botid","2015","0602","alle","personer","0_4","4096"
"befolkning_botid","2015","0604","1","personer","0_4","846"
"befolkning_botid","2015","0604","2","personer","0_4","722"
"befolkning_botid","2015","0604","alle","personer","0_4","1568"
"befolkning_botid","2015","0605","1","personer","0_4","631"
"befolkning_botid","2015","0605","2","personer","0_4","436"
"befolkning_botid","2015","0605","alle","personer","0_4","1067"
"befolkning_botid","2015","0612","1","personer","0_4","275"
"befolkning_botid","2015","0612","2","personer","0_4","77"
"befolkning_botid","2015","0612","alle","personer","0_4","352"
"befolkning_botid","2015","0615","1","personer","0_4","47"
"befolkning_botid","2015","0615","2","personer","0_4","16"
"befolkning_botid","2015","0615","alle","personer","0_4","63"
