"tabell_navn","aar","kommune_nr","innvkat_3","kjonn","enhet","alder_grupper","tabellvariabel"
"befolkning_alder","2015","0402","alle","0","personer","0_5","506"
"befolkning_alder","2015","0402","alle","1","personer","0_5","534"
"befolkning_alder","2015","0402","alle","alle","personer","0_5","1040"
"befolkning_alder","2015","0402","befolkningen_ellers","0","personer","0_5","492"
"befolkning_alder","2015","0402","befolkningen_ellers","1","personer","0_5","522"
"befolkning_alder","2015","0402","befolkningen_ellers","alle","personer","0_5","1014"
"befolkning_alder","2015","0402","innvandrere","0","personer","0_5","14"
"befolkning_alder","2015","0402","innvandrere","1","personer","0_5","12"
"befolkning_alder","2015","0402","innvandrere","alle","personer","0_5","26"
"befolkning_alder","2015","0403","alle","0","personer","0_5","818"
"befolkning_alder","2015","0403","alle","1","personer","0_5","960"
"befolkning_alder","2015","0403","alle","alle","personer","0_5","1778"
"befolkning_alder","2015","0403","befolkningen_ellers","0","personer","0_5","797"
"befolkning_alder","2015","0403","befolkningen_ellers","1","personer","0_5","923"
"befolkning_alder","2015","0403","befolkningen_ellers","alle","personer","0_5","1720"
"befolkning_alder","2015","0403","innvandrere","0","personer","0_5","21"
"befolkning_alder","2015","0403","innvandrere","1","personer","0_5","37"
"befolkning_alder","2015","0403","innvandrere","alle","personer","0_5","58"
"befolkning_alder","2015","0412","alle","0","personer","0_5","1011"
"befolkning_alder","2015","0412","alle","1","personer","0_5","1127"
"befolkning_alder","2015","0412","alle","alle","personer","0_5","2138"
"befolkning_alder","2015","0412","befolkningen_ellers","0","personer","0_5","989"
"befolkning_alder","2015","0412","befolkningen_ellers","1","personer","0_5","1098"
"befolkning_alder","2015","0412","befolkningen_ellers","alle","personer","0_5","2087"
"befolkning_alder","2015","0412","innvandrere","0","personer","0_5","22"
"befolkning_alder","2015","0412","innvandrere","1","personer","0_5","29"
"befolkning_alder","2015","0412","innvandrere","alle","personer","0_5","51"
"befolkning_alder","2015","0415","alle","0","personer","0_5","226"
"befolkning_alder","2015","0415","alle","1","personer","0_5","257"
"befolkning_alder","2015","0415","alle","alle","personer","0_5","483"
"befolkning_alder","2015","0415","befolkningen_ellers","0","personer","0_5","219"
"befolkning_alder","2015","0415","befolkningen_ellers","1","personer","0_5","247"
"befolkning_alder","2015","0415","befolkningen_ellers","alle","personer","0_5","466"
"befolkning_alder","2015","0415","innvandrere","0","personer","0_5","7"
"befolkning_alder","2015","0415","innvandrere","1","personer","0_5","10"
"befolkning_alder","2015","0415","innvandrere","alle","personer","0_5","17"
"befolkning_alder","2015","0417","alle","0","personer","0_5","647"
"befolkning_alder","2015","0417","alle","1","personer","0_5","712"
