"naringsregion_nr","bosetting","aar","enhet","tabellvariabel","tabell_navn"
"78","vedtak","2015","personer","140","bosatt_anmodede"
"79","vedtak","2015","personer","222","bosatt_anmodede"
"80","vedtak","2015","personer","60","bosatt_anmodede"
"81","vedtak","2015","personer","120","bosatt_anmodede"
"82","vedtak","2015","personer","40","bosatt_anmodede"
"83","vedtak","2015","personer","174","bosatt_anmodede"
"99","vedtak","2015","personer",".","bosatt_anmodede"
"01","anmodning","2016","personer","70","bosatt_anmodede"
"02","anmodning","2016","personer","225","bosatt_anmodede"
"03","anmodning","2016","personer","145","bosatt_anmodede"
"04","anmodning","2016","personer","340","bosatt_anmodede"
"05","anmodning","2016","personer","415","bosatt_anmodede"
"06","anmodning","2016","personer","340","bosatt_anmodede"
"07","anmodning","2016","personer","405","bosatt_anmodede"
"08","anmodning","2016","personer","250","bosatt_anmodede"
"09","anmodning","2016","personer","1000","bosatt_anmodede"
"10","anmodning","2016","personer","104","bosatt_anmodede"
"11","anmodning","2016","personer","195","bosatt_anmodede"
"12","anmodning","2016","personer","320","bosatt_anmodede"
"13","anmodning","2016","personer","141","bosatt_anmodede"
"14","anmodning","2016","personer","255","bosatt_anmodede"
"15","anmodning","2016","personer","115","bosatt_anmodede"
"16","anmodning","2016","personer","145","bosatt_anmodede"
"17","anmodning","2016","personer","57","bosatt_anmodede"
"18","anmodning","2016","personer","103","bosatt_anmodede"
"19","anmodning","2016","personer","100","bosatt_anmodede"
"20","anmodning","2016","personer","650","bosatt_anmodede"
"21","anmodning","2016","personer","100","bosatt_anmodede"
"22","anmodning","2016","personer","140","bosatt_anmodede"
"23","anmodning","2016","personer","82","bosatt_anmodede"
"24","anmodning","2016","personer","125","bosatt_anmodede"
"25","anmodning","2016","personer","435","bosatt_anmodede"
"26","anmodning","2016","personer","245","bosatt_anmodede"
"27","anmodning","2016","personer","435","bosatt_anmodede"
"28","anmodning","2016","personer","100","bosatt_anmodede"
"29","anmodning","2016","personer","115","bosatt_anmodede"
"30","anmodning","2016","personer","105","bosatt_anmodede"
"31","anmodning","2016","personer","70","bosatt_anmodede"
"32","anmodning","2016","personer","415","bosatt_anmodede"
"33","anmodning","2016","personer","250","bosatt_anmodede"
"34","anmodning","2016","personer","165","bosatt_anmodede"
