"tabell_navn","aar","bydel_nr","landbakgrunn","enhet","tabellvariabel"
"befolkning_opprinnelsesland","2007","030101","464","personer","11"
"befolkning_opprinnelsesland","2007","030101","476","personer",":"
"befolkning_opprinnelsesland","2007","030101","478","personer",":"
"befolkning_opprinnelsesland","2007","030101","480","personer",":"
"befolkning_opprinnelsesland","2007","030101","484","personer","121"
"befolkning_opprinnelsesland","2007","030101","488","personer","."
"befolkning_opprinnelsesland","2007","030101","492","personer","8"
"befolkning_opprinnelsesland","2007","030101","496","personer","7"
"befolkning_opprinnelsesland","2007","030101","500","personer",":"
"befolkning_opprinnelsesland","2007","030101","502","personer",":"
"befolkning_opprinnelsesland","2007","030101","504","personer",":"
"befolkning_opprinnelsesland","2007","030101","508","personer","131"
"befolkning_opprinnelsesland","2007","030101","510","personer",":"
"befolkning_opprinnelsesland","2007","030101","512","personer","13"
"befolkning_opprinnelsesland","2007","030101","513","personer","."
"befolkning_opprinnelsesland","2007","030101","516","personer","."
"befolkning_opprinnelsesland","2007","030101","520","personer","."
"befolkning_opprinnelsesland","2007","030101","524","personer","42"
"befolkning_opprinnelsesland","2007","030101","528","personer",":"
"befolkning_opprinnelsesland","2007","030101","534","personer","1163"
"befolkning_opprinnelsesland","2007","030101","537","personer","."
"befolkning_opprinnelsesland","2007","030101","540","personer",":"
"befolkning_opprinnelsesland","2007","030101","544","personer","8"
"befolkning_opprinnelsesland","2007","030101","548","personer","5"
"befolkning_opprinnelsesland","2007","030101","550","personer",":"
"befolkning_opprinnelsesland","2007","030101","552","personer","."
"befolkning_opprinnelsesland","2007","030101","554","personer",":"
"befolkning_opprinnelsesland","2007","030101","564","personer","37"
"befolkning_opprinnelsesland","2007","030101","568","personer","160"
"befolkning_opprinnelsesland","2007","030101","575","personer","407"
"befolkning_opprinnelsesland","2007","030101","578","personer","4"
"befolkning_opprinnelsesland","2007","030101","601","personer","."
"befolkning_opprinnelsesland","2007","030101","602","personer","."
"befolkning_opprinnelsesland","2007","030101","603","personer","."
"befolkning_opprinnelsesland","2007","030101","604","personer","."
"befolkning_opprinnelsesland","2007","030101","605","personer","."
"befolkning_opprinnelsesland","2007","030101","606","personer","."
"befolkning_opprinnelsesland","2007","030101","608","personer","."
"befolkning_opprinnelsesland","2007","030101","612","personer","24"
"befolkning_opprinnelsesland","2007","030101","613","personer","."
"befolkning_opprinnelsesland","2007","030101","616","personer",":"
"befolkning_opprinnelsesland","2007","030101","620","personer","45"
"befolkning_opprinnelsesland","2007","030101","622","personer",":"
"befolkning_opprinnelsesland","2007","030101","624","personer","22"
"befolkning_opprinnelsesland","2007","030101","629","personer",":"
"befolkning_opprinnelsesland","2007","030101","631","personer","."
"befolkning_opprinnelsesland","2007","030101","632","personer","."
"befolkning_opprinnelsesland","2007","030101","636","personer","."
"befolkning_opprinnelsesland","2007","030101","644","personer","."
"befolkning_opprinnelsesland","2007","030101","648","personer","8"
"befolkning_opprinnelsesland","2007","030101","650","personer","."
"befolkning_opprinnelsesland","2007","030101","652","personer","11"
"befolkning_opprinnelsesland","2007","030101","654","personer","."
"befolkning_opprinnelsesland","2007","030101","657","personer",":"
"befolkning_opprinnelsesland","2007","030101","658","personer","."
"befolkning_opprinnelsesland","2007","030101","659","personer","."
"befolkning_opprinnelsesland","2007","030101","660","personer","."
"befolkning_opprinnelsesland","2007","030101","661","personer","."
"befolkning_opprinnelsesland","2007","030101","664","personer","5"
"befolkning_opprinnelsesland","2007","030101","668","personer",":"
"befolkning_opprinnelsesland","2007","030101","672","personer","4"
"befolkning_opprinnelsesland","2007","030101","676","personer","."
"befolkning_opprinnelsesland","2007","030101","677","personer","."
"befolkning_opprinnelsesland","2007","030101","678","personer",":"
"befolkning_opprinnelsesland","2007","030101","679","personer",":"
"befolkning_opprinnelsesland","2007","030101","680","personer",":"
"befolkning_opprinnelsesland","2007","030101","681","personer","."
"befolkning_opprinnelsesland","2007","030101","684","personer","91"
"befolkning_opprinnelsesland","2007","030101","685","personer","."
"befolkning_opprinnelsesland","2007","030101","686","personer","."
"befolkning_opprinnelsesland","2007","030101","687","personer","."
"befolkning_opprinnelsesland","2007","030101","705","personer","22"
"befolkning_opprinnelsesland","2007","030101","710","personer","6"
"befolkning_opprinnelsesland","2007","030101","715","personer","42"
"befolkning_opprinnelsesland","2007","030101","720","personer",":"
"befolkning_opprinnelsesland","2007","030101","725","personer","150"
"befolkning_opprinnelsesland","2007","030101","730","personer","18"
"befolkning_opprinnelsesland","2007","030101","735","personer","8"
"befolkning_opprinnelsesland","2007","030101","740","personer","."
"befolkning_opprinnelsesland","2007","030101","745","personer","."
"befolkning_opprinnelsesland","2007","030101","755","personer","."
"befolkning_opprinnelsesland","2007","030101","760","personer","15"
"befolkning_opprinnelsesland","2007","030101","765","personer","."
"befolkning_opprinnelsesland","2007","030101","770","personer","6"
"befolkning_opprinnelsesland","2007","030101","775","personer","7"
"befolkning_opprinnelsesland","2007","030101","802","personer","."
"befolkning_opprinnelsesland","2007","030101","805","personer","22"
"befolkning_opprinnelsesland","2007","030101","806","personer","."
"befolkning_opprinnelsesland","2007","030101","807","personer","."
"befolkning_opprinnelsesland","2007","030101","808","personer","."
"befolkning_opprinnelsesland","2007","030101","809","personer","."
"befolkning_opprinnelsesland","2007","030101","811","personer","."
"befolkning_opprinnelsesland","2007","030101","812","personer","."
"befolkning_opprinnelsesland","2007","030101","813","personer","."
"befolkning_opprinnelsesland","2007","030101","814","personer","."
"befolkning_opprinnelsesland","2007","030101","815","personer","."
"befolkning_opprinnelsesland","2007","030101","816","personer","."
"befolkning_opprinnelsesland","2007","030101","817","personer","."
"befolkning_opprinnelsesland","2007","030101","818","personer","."
"befolkning_opprinnelsesland","2007","030101","819","personer","."
"befolkning_opprinnelsesland","2007","030101","820","personer",":"
"befolkning_opprinnelsesland","2007","030101","821","personer","."
"befolkning_opprinnelsesland","2007","030101","822","personer","."
"befolkning_opprinnelsesland","2007","030101","826","personer","."
"befolkning_opprinnelsesland","2007","030101","827","personer","."
"befolkning_opprinnelsesland","2007","030101","828","personer","."
"befolkning_opprinnelsesland","2007","030101","829","personer","."
"befolkning_opprinnelsesland","2007","030101","830","personer","."
"befolkning_opprinnelsesland","2007","030101","832","personer","."
"befolkning_opprinnelsesland","2007","030101","833","personer","."
