"kommune_nr","barnikommune","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"1129","alle","1_5","personer","87","2013","barnehagedeltakelse"
"1130","alle","1_5","personer","921","2013","barnehagedeltakelse"
"1133","alle","1_5","personer","205","2013","barnehagedeltakelse"
"1134","alle","1_5","personer","244","2013","barnehagedeltakelse"
"1135","alle","1_5","personer","268","2013","barnehagedeltakelse"
"1141","alle","1_5","personer","203","2013","barnehagedeltakelse"
"1142","alle","1_5","personer","410","2013","barnehagedeltakelse"
"1144","alle","1_5","personer","26","2013","barnehagedeltakelse"
"1145","alle","1_5","personer","50","2013","barnehagedeltakelse"
"1146","alle","1_5","personer","818","2013","barnehagedeltakelse"
"1149","alle","1_5","personer","2907","2013","barnehagedeltakelse"
"1151","alle","1_5","personer","11","2013","barnehagedeltakelse"
"1160","alle","1_5","personer","579","2013","barnehagedeltakelse"
"1201","alle","1_5","personer","16633","2013","barnehagedeltakelse"
"1211","alle","1_5","personer","272","2013","barnehagedeltakelse"
"1216","alle","1_5","personer","439","2013","barnehagedeltakelse"
"1219","alle","1_5","personer","803","2013","barnehagedeltakelse"
"1221","alle","1_5","personer","1279","2013","barnehagedeltakelse"
"1222","alle","1_5","personer","192","2013","barnehagedeltakelse"
"1223","alle","1_5","personer","146","2013","barnehagedeltakelse"
"1224","alle","1_5","personer","795","2013","barnehagedeltakelse"
"1227","alle","1_5","personer","53","2013","barnehagedeltakelse"
"1228","alle","1_5","personer","332","2013","barnehagedeltakelse"
"1231","alle","1_5","personer","191","2013","barnehagedeltakelse"
"1232","alle","1_5","personer","56","2013","barnehagedeltakelse"
"1233","alle","1_5","personer","57","2013","barnehagedeltakelse"
"1234","alle","1_5","personer","32","2013","barnehagedeltakelse"
"1235","alle","1_5","personer","829","2013","barnehagedeltakelse"
"1238","alle","1_5","personer","484","2013","barnehagedeltakelse"
"1241","alle","1_5","personer","201","2013","barnehagedeltakelse"
"1242","alle","1_5","personer","153","2013","barnehagedeltakelse"
"1243","alle","1_5","personer","1483","2013","barnehagedeltakelse"
"1244","alle","1_5","personer","373","2013","barnehagedeltakelse"
"1245","alle","1_5","personer","537","2013","barnehagedeltakelse"
"1246","alle","1_5","personer","1700","2013","barnehagedeltakelse"
"1247","alle","1_5","personer","2279","2013","barnehagedeltakelse"
"1251","alle","1_5","personer","239","2013","barnehagedeltakelse"
"1252","alle","1_5","personer","22","2013","barnehagedeltakelse"
"1253","alle","1_5","personer","467","2013","barnehagedeltakelse"
"1256","alle","1_5","personer","620","2013","barnehagedeltakelse"
"1259","alle","1_5","personer","332","2013","barnehagedeltakelse"
"1260","alle","1_5","personer","321","2013","barnehagedeltakelse"
"1263","alle","1_5","personer","1034","2013","barnehagedeltakelse"
"1264","alle","1_5","personer","173","2013","barnehagedeltakelse"
"1265","alle","1_5","personer","26","2013","barnehagedeltakelse"
"1266","alle","1_5","personer","95","2013","barnehagedeltakelse"
"1401","alle","1_5","personer","781","2013","barnehagedeltakelse"
"1411","alle","1_5","personer","100","2013","barnehagedeltakelse"
"1412","alle","1_5","personer","32","2013","barnehagedeltakelse"
"1413","alle","1_5","personer","47","2013","barnehagedeltakelse"
"1416","alle","1_5","personer","206","2013","barnehagedeltakelse"
"1417","alle","1_5","personer","138","2013","barnehagedeltakelse"
"1418","alle","1_5","personer","66","2013","barnehagedeltakelse"
"1419","alle","1_5","personer","131","2013","barnehagedeltakelse"
"1420","alle","1_5","personer","453","2013","barnehagedeltakelse"
"1421","alle","1_5","personer","71","2013","barnehagedeltakelse"
"1422","alle","1_5","personer","113","2013","barnehagedeltakelse"
"1424","alle","1_5","personer","278","2013","barnehagedeltakelse"
"1426","alle","1_5","personer","297","2013","barnehagedeltakelse"
"1428","alle","1_5","personer","158","2013","barnehagedeltakelse"
"1429","alle","1_5","personer","181","2013","barnehagedeltakelse"
"1430","alle","1_5","personer","196","2013","barnehagedeltakelse"
"1431","alle","1_5","personer","213","2013","barnehagedeltakelse"
"1432","alle","1_5","personer","920","2013","barnehagedeltakelse"
"1433","alle","1_5","personer","171","2013","barnehagedeltakelse"
"1438","alle","1_5","personer","196","2013","barnehagedeltakelse"
"1439","alle","1_5","personer","372","2013","barnehagedeltakelse"
"1441","alle","1_5","personer","130","2013","barnehagedeltakelse"
"1443","alle","1_5","personer","369","2013","barnehagedeltakelse"
"1444","alle","1_5","personer","69","2013","barnehagedeltakelse"
"1445","alle","1_5","personer","319","2013","barnehagedeltakelse"
"1449","alle","1_5","personer","446","2013","barnehagedeltakelse"
"1502","alle","1_5","personer","1487","2013","barnehagedeltakelse"
"1504","alle","1_5","personer","2812","2013","barnehagedeltakelse"
"1505","alle","1_5","personer","1429","2013","barnehagedeltakelse"
"1511","alle","1_5","personer","149","2013","barnehagedeltakelse"
"1514","alle","1_5","personer","124","2013","barnehagedeltakelse"
"1515","alle","1_5","personer","526","2013","barnehagedeltakelse"
"1516","alle","1_5","personer","508","2013","barnehagedeltakelse"
"1517","alle","1_5","personer","356","2013","barnehagedeltakelse"
"1519","alle","1_5","personer","517","2013","barnehagedeltakelse"
"1520","alle","1_5","personer","678","2013","barnehagedeltakelse"
"1523","alle","1_5","personer","136","2013","barnehagedeltakelse"
"1524","alle","1_5","personer","92","2013","barnehagedeltakelse"
"1525","alle","1_5","personer","224","2013","barnehagedeltakelse"
"1526","alle","1_5","personer","56","2013","barnehagedeltakelse"
"1528","alle","1_5","personer","475","2013","barnehagedeltakelse"
"1529","alle","1_5","personer","354","2013","barnehagedeltakelse"
"1531","alle","1_5","personer","672","2013","barnehagedeltakelse"
"1532","alle","1_5","personer","546","2013","barnehagedeltakelse"
"1534","alle","1_5","personer","537","2013","barnehagedeltakelse"
"1535","alle","1_5","personer","354","2013","barnehagedeltakelse"
"1539","alle","1_5","personer","441","2013","barnehagedeltakelse"
"1543","alle","1_5","personer","147","2013","barnehagedeltakelse"
"1545","alle","1_5","personer","121","2013","barnehagedeltakelse"
"1546","alle","1_5","personer","78","2013","barnehagedeltakelse"
"1547","alle","1_5","personer","215","2013","barnehagedeltakelse"
"1548","alle","1_5","personer","590","2013","barnehagedeltakelse"
"1551","alle","1_5","personer","236","2013","barnehagedeltakelse"
"1554","alle","1_5","personer","340","2013","barnehagedeltakelse"
