"bydel_nr","avslutta","kjonn","avslstat4","aar","enhet","tabellvariabel","tabell_navn"
"030102","treaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030103","treaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030104","treaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030105","treaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030106","treaar","1","annet","2013","prosent","0","intro_status_arbutd"
"030107","treaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030108","treaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030109","treaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030110","treaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030111","treaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030112","treaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030113","treaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030114","treaar","1","annet","2013","prosent","0","intro_status_arbutd"
"030115","treaar","1","annet","2013","prosent",":","intro_status_arbutd"
"030116","treaar","1","annet","2013","prosent","0","intro_status_arbutd"
"030117","treaar","1","annet","2013","prosent","0","intro_status_arbutd"
"030199","treaar","1","annet","2013","prosent",":","intro_status_arbutd"
"0301","treaar","0","alle","2013","personer","150","intro_status_arbutd"
"030101","treaar","0","alle","2013","personer","17","intro_status_arbutd"
"030102","treaar","0","alle","2013","personer","18","intro_status_arbutd"
"030103","treaar","0","alle","2013","personer","8","intro_status_arbutd"
"030104","treaar","0","alle","2013","personer","5","intro_status_arbutd"
"030105","treaar","0","alle","2013","personer",":","intro_status_arbutd"
"030106","treaar","0","alle","2013","personer",":","intro_status_arbutd"
"030107","treaar","0","alle","2013","personer",":","intro_status_arbutd"
"030108","treaar","0","alle","2013","personer","4","intro_status_arbutd"
"030109","treaar","0","alle","2013","personer","7","intro_status_arbutd"
"030110","treaar","0","alle","2013","personer","14","intro_status_arbutd"
"030111","treaar","0","alle","2013","personer","10","intro_status_arbutd"
"030112","treaar","0","alle","2013","personer","19","intro_status_arbutd"
"030113","treaar","0","alle","2013","personer",":","intro_status_arbutd"
"030114","treaar","0","alle","2013","personer",":","intro_status_arbutd"
"030115","treaar","0","alle","2013","personer","12","intro_status_arbutd"
"030116","treaar","0","alle","2013","personer","0","intro_status_arbutd"
"030117","treaar","0","alle","2013","personer","0","intro_status_arbutd"
"030199","treaar","0","alle","2013","personer",":","intro_status_arbutd"
"0301","treaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030101","treaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030102","treaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030103","treaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030104","treaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030105","treaar","0","alle","2013","prosent",":","intro_status_arbutd"
"030106","treaar","0","alle","2013","prosent",":","intro_status_arbutd"
"030107","treaar","0","alle","2013","prosent",":","intro_status_arbutd"
"030108","treaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030109","treaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030110","treaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030111","treaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030112","treaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030113","treaar","0","alle","2013","prosent",":","intro_status_arbutd"
"030114","treaar","0","alle","2013","prosent",":","intro_status_arbutd"
"030115","treaar","0","alle","2013","prosent","100","intro_status_arbutd"
"030116","treaar","0","alle","2013","prosent","0","intro_status_arbutd"
"030117","treaar","0","alle","2013","prosent","0","intro_status_arbutd"
"030199","treaar","0","alle","2013","prosent",":","intro_status_arbutd"
"0301","treaar","0","arbutd","2013","personer","78","intro_status_arbutd"
"030101","treaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030102","treaar","0","arbutd","2013","personer","8","intro_status_arbutd"
"030103","treaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030104","treaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030105","treaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030106","treaar","0","arbutd","2013","personer","0","intro_status_arbutd"
"030107","treaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030108","treaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030109","treaar","0","arbutd","2013","personer","3","intro_status_arbutd"
"030110","treaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030111","treaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030112","treaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030113","treaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030114","treaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030115","treaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"030116","treaar","0","arbutd","2013","personer","0","intro_status_arbutd"
"030117","treaar","0","arbutd","2013","personer","0","intro_status_arbutd"
"030199","treaar","0","arbutd","2013","personer",":","intro_status_arbutd"
"0301","treaar","0","ledig_tiltak","2013","personer","20","intro_status_arbutd"
"030101","treaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030102","treaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030103","treaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030104","treaar","0","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030105","treaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030106","treaar","0","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030107","treaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030108","treaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030109","treaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030110","treaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030111","treaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030112","treaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030113","treaar","0","ledig_tiltak","2013","personer","3","intro_status_arbutd"
"030114","treaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030115","treaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
"030116","treaar","0","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030117","treaar","0","ledig_tiltak","2013","personer","0","intro_status_arbutd"
"030199","treaar","0","ledig_tiltak","2013","personer",":","intro_status_arbutd"
