"naringsregion_nr","innvkat_3","vreg_3","enhet","aar","tabellvariabel","tabell_navn"
"38","befolkningen_ellers","alle","kroner","2014","366500","gjennomsnittsinntekt"
"39","befolkningen_ellers","alle","kroner","2014","398900","gjennomsnittsinntekt"
"40","befolkningen_ellers","alle","kroner","2014","371800","gjennomsnittsinntekt"
"41","befolkningen_ellers","alle","kroner","2014","365600","gjennomsnittsinntekt"
"42","befolkningen_ellers","alle","kroner","2014","352000","gjennomsnittsinntekt"
"43","befolkningen_ellers","alle","kroner","2014","347600","gjennomsnittsinntekt"
"44","befolkningen_ellers","alle","kroner","2014","362800","gjennomsnittsinntekt"
"45","befolkningen_ellers","alle","kroner","2014","340200","gjennomsnittsinntekt"
"46","befolkningen_ellers","alle","kroner","2014","359900","gjennomsnittsinntekt"
"47","befolkningen_ellers","alle","kroner","2014","370100","gjennomsnittsinntekt"
"48","befolkningen_ellers","alle","kroner","2014","349300","gjennomsnittsinntekt"
"49","befolkningen_ellers","alle","kroner","2014","344000","gjennomsnittsinntekt"
"50","befolkningen_ellers","alle","kroner","2014","351400","gjennomsnittsinntekt"
"51","befolkningen_ellers","alle","kroner","2014","360400","gjennomsnittsinntekt"
"52","befolkningen_ellers","alle","kroner","2014","350000","gjennomsnittsinntekt"
"53","befolkningen_ellers","alle","kroner","2014","359500","gjennomsnittsinntekt"
"54","befolkningen_ellers","alle","kroner","2014","342200","gjennomsnittsinntekt"
"55","befolkningen_ellers","alle","kroner","2014","360000","gjennomsnittsinntekt"
"56","befolkningen_ellers","alle","kroner","2014","363000","gjennomsnittsinntekt"
"57","befolkningen_ellers","alle","kroner","2014","330300","gjennomsnittsinntekt"
"58","befolkningen_ellers","alle","kroner","2014","345100","gjennomsnittsinntekt"
"59","befolkningen_ellers","alle","kroner","2014","328700","gjennomsnittsinntekt"
"60","befolkningen_ellers","alle","kroner","2014","336100","gjennomsnittsinntekt"
"61","befolkningen_ellers","alle","kroner","2014","360400","gjennomsnittsinntekt"
"62","befolkningen_ellers","alle","kroner","2014","337500","gjennomsnittsinntekt"
"63","befolkningen_ellers","alle","kroner","2014","341000","gjennomsnittsinntekt"
"64","befolkningen_ellers","alle","kroner","2014","332700","gjennomsnittsinntekt"
"65","befolkningen_ellers","alle","kroner","2014","331400","gjennomsnittsinntekt"
"66","befolkningen_ellers","alle","kroner","2014","337500","gjennomsnittsinntekt"
"67","befolkningen_ellers","alle","kroner","2014","336600","gjennomsnittsinntekt"
"68","befolkningen_ellers","alle","kroner","2014","333700","gjennomsnittsinntekt"
"69","befolkningen_ellers","alle","kroner","2014","343500","gjennomsnittsinntekt"
"70","befolkningen_ellers","alle","kroner","2014","323700","gjennomsnittsinntekt"
"71","befolkningen_ellers","alle","kroner","2014","337100","gjennomsnittsinntekt"
"72","befolkningen_ellers","alle","kroner","2014","338300","gjennomsnittsinntekt"
"73","befolkningen_ellers","alle","kroner","2014","355200","gjennomsnittsinntekt"
"74","befolkningen_ellers","alle","kroner","2014","347400","gjennomsnittsinntekt"
"75","befolkningen_ellers","alle","kroner","2014","335100","gjennomsnittsinntekt"
"76","befolkningen_ellers","alle","kroner","2014","335800","gjennomsnittsinntekt"
"77","befolkningen_ellers","alle","kroner","2014","346000","gjennomsnittsinntekt"
"78","befolkningen_ellers","alle","kroner","2014","346400","gjennomsnittsinntekt"
"79","befolkningen_ellers","alle","kroner","2014","363400","gjennomsnittsinntekt"
"80","befolkningen_ellers","alle","kroner","2014","338900","gjennomsnittsinntekt"
"81","befolkningen_ellers","alle","kroner","2014","364300","gjennomsnittsinntekt"
"82","befolkningen_ellers","alle","kroner","2014","336300","gjennomsnittsinntekt"
"83","befolkningen_ellers","alle","kroner","2014","361800","gjennomsnittsinntekt"
