"aar","bydel_nr","enhet","tabellvariabel","tabell_navn","vreg_9","fylke_nr","naringsregion_nr","kommune_nr"
2014,"NULL","personer","477","befolkning_verdensregion_9","nord_amerika_oseania","07","NULL","NULL"
2014,"NULL","personer","6456","befolkning_verdensregion_9","asia","07","NULL","NULL"
2014,"NULL","personer","2045","befolkning_verdensregion_9","afrika","07","NULL","NULL"
2014,"NULL","personer","599","befolkning_verdensregion_9","sor_og_mellom_amerika","07","NULL","NULL"
2014,"NULL","personer","1680","befolkning_verdensregion_9","norden","08","NULL","NULL"
2014,"NULL","personer","1859","befolkning_verdensregion_9","vest_europa","08","NULL","NULL"
2014,"NULL","personer","3354","befolkning_verdensregion_9","eu_ost_europa","08","NULL","NULL"
2014,"NULL","personer","1531","befolkning_verdensregion_9","ost_europa_ellers","08","NULL","NULL"
2014,"NULL","personer","245","befolkning_verdensregion_9","nord_amerika_oseania","08","NULL","NULL"
2014,"NULL","personer","4377","befolkning_verdensregion_9","asia","08","NULL","NULL"
2014,"NULL","personer","2610","befolkning_verdensregion_9","afrika","08","NULL","NULL"
2014,"NULL","personer","558","befolkning_verdensregion_9","sor_og_mellom_amerika","08","NULL","NULL"
2014,"NULL","personer","1252","befolkning_verdensregion_9","norden","09","NULL","NULL"
2014,"NULL","personer","1536","befolkning_verdensregion_9","vest_europa","09","NULL","NULL"
2014,"NULL","personer","2832","befolkning_verdensregion_9","eu_ost_europa","09","NULL","NULL"
2014,"NULL","personer","1023","befolkning_verdensregion_9","ost_europa_ellers","09","NULL","NULL"
2014,"NULL","personer","292","befolkning_verdensregion_9","nord_amerika_oseania","09","NULL","NULL"
2014,"NULL","personer","2891","befolkning_verdensregion_9","asia","09","NULL","NULL"
2014,"NULL","personer","1039","befolkning_verdensregion_9","afrika","09","NULL","NULL"
2014,"NULL","personer","242","befolkning_verdensregion_9","sor_og_mellom_amerika","09","NULL","NULL"
2014,"NULL","personer","1945","befolkning_verdensregion_9","norden","10","NULL","NULL"
2014,"NULL","personer","2414","befolkning_verdensregion_9","vest_europa","10","NULL","NULL"
2014,"NULL","personer","3609","befolkning_verdensregion_9","eu_ost_europa","10","NULL","NULL"
2014,"NULL","personer","2412","befolkning_verdensregion_9","ost_europa_ellers","10","NULL","NULL"
2014,"NULL","personer","557","befolkning_verdensregion_9","nord_amerika_oseania","10","NULL","NULL"
2014,"NULL","personer","5395","befolkning_verdensregion_9","asia","10","NULL","NULL"
2014,"NULL","personer","2127","befolkning_verdensregion_9","afrika","10","NULL","NULL"
2014,"NULL","personer","1084","befolkning_verdensregion_9","sor_og_mellom_amerika","10","NULL","NULL"
2014,"NULL","personer","5461","befolkning_verdensregion_9","norden","11","NULL","NULL"
