"kommune_nr","aar","bosetting","enhet","tabellvariabel","tabell_navn"
"1820",2015,"anmodning","personer","35","bosatt_anmodede"
"1822",2015,"anmodning","personer","20","bosatt_anmodede"
"1824",2015,"anmodning","personer","30","bosatt_anmodede"
"1825",2015,"anmodning","personer","15","bosatt_anmodede"
"1826",2015,"anmodning","personer","15","bosatt_anmodede"
"1827",2015,"anmodning","personer","10","bosatt_anmodede"
"1828",2015,"anmodning","personer","20","bosatt_anmodede"
"1832",2015,"anmodning","personer","10","bosatt_anmodede"
"1833",2015,"anmodning","personer","50","bosatt_anmodede"
"1834",2015,"anmodning","personer","15","bosatt_anmodede"
"1835",2015,"anmodning","personer","10","bosatt_anmodede"
"1836",2015,"anmodning","personer","15","bosatt_anmodede"
"1837",2015,"anmodning","personer","15","bosatt_anmodede"
"1838",2015,"anmodning","personer","15","bosatt_anmodede"
"1839",2015,"anmodning","personer","10","bosatt_anmodede"
"1840",2015,"anmodning","personer","20","bosatt_anmodede"
"1841",2015,"anmodning","personer","30","bosatt_anmodede"
"1845",2015,"anmodning","personer","10","bosatt_anmodede"
"1848",2015,"anmodning","personer","10","bosatt_anmodede"
"1849",2015,"anmodning","personer","20","bosatt_anmodede"
"1850",2015,"anmodning","personer","15","bosatt_anmodede"
"1851",2015,"anmodning","personer","15","bosatt_anmodede"
"1852",2015,"anmodning","personer","15","bosatt_anmodede"
"1853",2015,"anmodning","personer","15","bosatt_anmodede"
"1854",2015,"anmodning","personer","15","bosatt_anmodede"
"1856",2015,"anmodning","personer","10","bosatt_anmodede"
"1857",2015,"anmodning","personer","10","bosatt_anmodede"
"1859",2015,"anmodning","personer","15","bosatt_anmodede"
"1860",2015,"anmodning","personer","40","bosatt_anmodede"
"1865",2015,"anmodning","personer","40","bosatt_anmodede"
"1866",2015,"anmodning","personer","25","bosatt_anmodede"
"1867",2015,"anmodning","personer","15","bosatt_anmodede"
"1868",2015,"anmodning","personer","15","bosatt_anmodede"
"1870",2015,"anmodning","personer","35","bosatt_anmodede"
"1871",2015,"anmodning","personer","30","bosatt_anmodede"
"1874",2015,"anmodning","personer","15","bosatt_anmodede"
"1902",2015,"anmodning","personer","195","bosatt_anmodede"
"1903",2015,"anmodning","personer","70","bosatt_anmodede"
"1911",2015,"anmodning","personer","20","bosatt_anmodede"
"1913",2015,"anmodning","personer","15","bosatt_anmodede"
"1917",2015,"anmodning","personer","15","bosatt_anmodede"
"1919",2015,"anmodning","personer","10","bosatt_anmodede"
"1920",2015,"anmodning","personer","15","bosatt_anmodede"
"1922",2015,"anmodning","personer","15","bosatt_anmodede"
"1923",2015,"anmodning","personer","20","bosatt_anmodede"
"1924",2015,"anmodning","personer","20","bosatt_anmodede"
"1925",2015,"anmodning","personer","20","bosatt_anmodede"
"1926",2015,"anmodning","personer","15","bosatt_anmodede"
"1927",2015,"anmodning","personer","15","bosatt_anmodede"
"1928",2015,"anmodning","personer","10","bosatt_anmodede"
"1929",2015,"anmodning","personer","10","bosatt_anmodede"
"1931",2015,"anmodning","personer","45","bosatt_anmodede"
"1933",2015,"anmodning","personer","20","bosatt_anmodede"
"1936",2015,"anmodning","personer","10","bosatt_anmodede"
"1938",2015,"anmodning","personer","15","bosatt_anmodede"
"1939",2015,"anmodning","personer","10","bosatt_anmodede"
"1940",2015,"anmodning","personer","10","bosatt_anmodede"
"1941",2015,"anmodning","personer","10","bosatt_anmodede"
"1942",2015,"anmodning","personer","20","bosatt_anmodede"
"1943",2015,"anmodning","personer","15","bosatt_anmodede"
"2002",2015,"anmodning","personer","20","bosatt_anmodede"
"2003",2015,"anmodning","personer","90","bosatt_anmodede"
"2004",2015,"anmodning","personer","30","bosatt_anmodede"
"2011",2015,"anmodning","personer","20","bosatt_anmodede"
"2012",2015,"anmodning","personer","40","bosatt_anmodede"
"2014",2015,"anmodning","personer","15","bosatt_anmodede"
"2015",2015,"anmodning","personer","15","bosatt_anmodede"
"2017",2015,"anmodning","personer","10","bosatt_anmodede"
"2018",2015,"anmodning","personer","15","bosatt_anmodede"
"2019",2015,"anmodning","personer","10","bosatt_anmodede"
"2020",2015,"anmodning","personer","20","bosatt_anmodede"
"2021",2015,"anmodning","personer","20","bosatt_anmodede"
"2022",2015,"anmodning","personer","15","bosatt_anmodede"
"2023",2015,"anmodning","personer","15","bosatt_anmodede"
"2024",2015,"anmodning","personer","15","bosatt_anmodede"
"2025",2015,"anmodning","personer","15","bosatt_anmodede"
"2027",2015,"anmodning","personer","10","bosatt_anmodede"
"2028",2015,"anmodning","personer","10","bosatt_anmodede"
"2030",2015,"anmodning","personer","40","bosatt_anmodede"
"0101",2016,"anmodning","personer","70","bosatt_anmodede"
"0104",2016,"anmodning","personer","80","bosatt_anmodede"
"0105",2016,"anmodning","personer","130","bosatt_anmodede"
"0106",2016,"anmodning","personer","180","bosatt_anmodede"
"0111",2016,"anmodning","personer","30","bosatt_anmodede"
"0118",2016,"anmodning","personer","20","bosatt_anmodede"
"0119",2016,"anmodning","personer","15","bosatt_anmodede"
"0121",2016,"anmodning","personer","10","bosatt_anmodede"
"0122",2016,"anmodning","personer","15","bosatt_anmodede"
"0123",2016,"anmodning","personer","30","bosatt_anmodede"
"0124",2016,"anmodning","personer","40","bosatt_anmodede"
"0125",2016,"anmodning","personer","40","bosatt_anmodede"
"0127",2016,"anmodning","personer","20","bosatt_anmodede"
"0128",2016,"anmodning","personer","20","bosatt_anmodede"
"0135",2016,"anmodning","personer","20","bosatt_anmodede"
"0136",2016,"anmodning","personer","30","bosatt_anmodede"
"0137",2016,"anmodning","personer","15","bosatt_anmodede"
"0138",2016,"anmodning","personer","15","bosatt_anmodede"
"0211",2016,"anmodning","personer","35","bosatt_anmodede"
"0213",2016,"anmodning","personer","95","bosatt_anmodede"
"0214",2016,"anmodning","personer","40","bosatt_anmodede"
"0215",2016,"anmodning","personer","35","bosatt_anmodede"
"0216",2016,"anmodning","personer","35","bosatt_anmodede"
"0217",2016,"anmodning","personer","75","bosatt_anmodede"
"0219",2016,"anmodning","personer","280","bosatt_anmodede"
"0220",2016,"anmodning","personer","135","bosatt_anmodede"
"0221",2016,"anmodning","personer","35","bosatt_anmodede"
"0226",2016,"anmodning","personer","35","bosatt_anmodede"
"0227",2016,"anmodning","personer","25","bosatt_anmodede"
"0228",2016,"anmodning","personer","40","bosatt_anmodede"
"0229",2016,"anmodning","personer","25","bosatt_anmodede"
"0230",2016,"anmodning","personer","85","bosatt_anmodede"
"0231",2016,"anmodning","personer","130","bosatt_anmodede"
"0233",2016,"anmodning","personer","55","bosatt_anmodede"
"0234",2016,"anmodning","personer","20","bosatt_anmodede"
"0235",2016,"anmodning","personer","80","bosatt_anmodede"
"0236",2016,"anmodning","personer","50","bosatt_anmodede"
"0237",2016,"anmodning","personer","55","bosatt_anmodede"
"0238",2016,"anmodning","personer","25","bosatt_anmodede"
"0239",2016,"anmodning","personer","20","bosatt_anmodede"
"0301",2016,"anmodning","personer","1000","bosatt_anmodede"
"0402",2016,"anmodning","personer","65","bosatt_anmodede"
"0403",2016,"anmodning","personer","105","bosatt_anmodede"
"0412",2016,"anmodning","personer","115","bosatt_anmodede"
"0415",2016,"anmodning","personer","30","bosatt_anmodede"
"0417",2016,"anmodning","personer","70","bosatt_anmodede"
"0418",2016,"anmodning","personer","20","bosatt_anmodede"
"0419",2016,"anmodning","personer","25","bosatt_anmodede"
"0420",2016,"anmodning","personer","20","bosatt_anmodede"
