"tabell_navn","aar","naringsregion_nr","vreg_9","enhet","tabellvariabel"
"befolkning_verdensregion_9","2015","28","afrika","person","259"
"befolkning_verdensregion_9","2015","28","sor_og_mellom_amerika","person","36"
"befolkning_verdensregion_9","2015","28","alle","person","1715"
"befolkning_verdensregion_9","2015","29","norden","person","218"
"befolkning_verdensregion_9","2015","29","vest_europa","person","182"
"befolkning_verdensregion_9","2015","29","eu_ost_europa","person","444"
"befolkning_verdensregion_9","2015","29","ost_europa_ellers","person","122"
"befolkning_verdensregion_9","2015","29","nord_amerika_oseania","person","24"
"befolkning_verdensregion_9","2015","29","asia","person","448"
"befolkning_verdensregion_9","2015","29","afrika","person","352"
"befolkning_verdensregion_9","2015","29","sor_og_mellom_amerika","person","28"
"befolkning_verdensregion_9","2015","29","alle","person","1818"
"befolkning_verdensregion_9","2015","30","norden","person","136"
"befolkning_verdensregion_9","2015","30","vest_europa","person","301"
"befolkning_verdensregion_9","2015","30","eu_ost_europa","person","320"
"befolkning_verdensregion_9","2015","30","ost_europa_ellers","person","59"
"befolkning_verdensregion_9","2015","30","nord_amerika_oseania","person","20"
"befolkning_verdensregion_9","2015","30","asia","person","89"
"befolkning_verdensregion_9","2015","30","afrika","person","130"
"befolkning_verdensregion_9","2015","30","sor_og_mellom_amerika","person","26"
"befolkning_verdensregion_9","2015","30","alle","person","1081"
"befolkning_verdensregion_9","2015","31","norden","person","60"
"befolkning_verdensregion_9","2015","31","vest_europa","person","124"
"befolkning_verdensregion_9","2015","31","eu_ost_europa","person","142"
"befolkning_verdensregion_9","2015","31","ost_europa_ellers","person","56"
"befolkning_verdensregion_9","2015","31","nord_amerika_oseania","person","14"
"befolkning_verdensregion_9","2015","31","asia","person","248"
"befolkning_verdensregion_9","2015","31","afrika","person","57"
"befolkning_verdensregion_9","2015","31","sor_og_mellom_amerika","person","21"
"befolkning_verdensregion_9","2015","31","alle","person","722"
"befolkning_verdensregion_9","2015","32","norden","person","1012"
"befolkning_verdensregion_9","2015","32","vest_europa","person","1162"
"befolkning_verdensregion_9","2015","32","eu_ost_europa","person","2619"
"befolkning_verdensregion_9","2015","32","ost_europa_ellers","person","831"
"befolkning_verdensregion_9","2015","32","nord_amerika_oseania","person","250"
"befolkning_verdensregion_9","2015","32","asia","person","2428"
"befolkning_verdensregion_9","2015","32","afrika","person","1001"
"befolkning_verdensregion_9","2015","32","sor_og_mellom_amerika","person","200"
"befolkning_verdensregion_9","2015","32","alle","person","9503"
"befolkning_verdensregion_9","2015","33","norden","person","264"
"befolkning_verdensregion_9","2015","33","vest_europa","person","637"
"befolkning_verdensregion_9","2015","33","eu_ost_europa","person","788"
"befolkning_verdensregion_9","2015","33","ost_europa_ellers","person","442"
"befolkning_verdensregion_9","2015","33","nord_amerika_oseania","person","132"
"befolkning_verdensregion_9","2015","33","asia","person","766"
"befolkning_verdensregion_9","2015","33","afrika","person","336"
"befolkning_verdensregion_9","2015","33","sor_og_mellom_amerika","person","101"
"befolkning_verdensregion_9","2015","33","alle","person","3466"
"befolkning_verdensregion_9","2015","34","norden","person","191"
"befolkning_verdensregion_9","2015","34","vest_europa","person","419"
"befolkning_verdensregion_9","2015","34","eu_ost_europa","person","572"
"befolkning_verdensregion_9","2015","34","ost_europa_ellers","person","213"
"befolkning_verdensregion_9","2015","34","nord_amerika_oseania","person","93"
"befolkning_verdensregion_9","2015","34","asia","person","566"
"befolkning_verdensregion_9","2015","34","afrika","person","284"
"befolkning_verdensregion_9","2015","34","sor_og_mellom_amerika","person","68"
"befolkning_verdensregion_9","2015","34","alle","person","2406"
"befolkning_verdensregion_9","2015","35","norden","person","1713"
"befolkning_verdensregion_9","2015","35","vest_europa","person","1802"
"befolkning_verdensregion_9","2015","35","eu_ost_europa","person","2774"
"befolkning_verdensregion_9","2015","35","ost_europa_ellers","person","1954"
"befolkning_verdensregion_9","2015","35","nord_amerika_oseania","person","362"
"befolkning_verdensregion_9","2015","35","asia","person","4886"
"befolkning_verdensregion_9","2015","35","afrika","person","1925"
"befolkning_verdensregion_9","2015","35","sor_og_mellom_amerika","person","967"
"befolkning_verdensregion_9","2015","35","alle","person","16383"
"befolkning_verdensregion_9","2015","36","norden","person","222"
"befolkning_verdensregion_9","2015","36","vest_europa","person","296"
"befolkning_verdensregion_9","2015","36","eu_ost_europa","person","771"
"befolkning_verdensregion_9","2015","36","ost_europa_ellers","person","118"
"befolkning_verdensregion_9","2015","36","nord_amerika_oseania","person","47"
"befolkning_verdensregion_9","2015","36","asia","person","687"
"befolkning_verdensregion_9","2015","36","afrika","person","165"
"befolkning_verdensregion_9","2015","36","sor_og_mellom_amerika","person","34"
"befolkning_verdensregion_9","2015","36","alle","person","2340"
"befolkning_verdensregion_9","2015","37","norden","person","966"
"befolkning_verdensregion_9","2015","37","vest_europa","person","1092"
"befolkning_verdensregion_9","2015","37","eu_ost_europa","person","4473"
"befolkning_verdensregion_9","2015","37","ost_europa_ellers","person","883"
"befolkning_verdensregion_9","2015","37","nord_amerika_oseania","person","171"
"befolkning_verdensregion_9","2015","37","asia","person","2304"
"befolkning_verdensregion_9","2015","37","afrika","person","858"
"befolkning_verdensregion_9","2015","37","sor_og_mellom_amerika","person","370"
"befolkning_verdensregion_9","2015","37","alle","person","11117"
"befolkning_verdensregion_9","2015","38","norden","person","173"
