"tabell_navn","aar","naringsregion_nr","innvkat_3","kjonn","enhet","alder_grupper","tabellvariabel"
"befolkning_alder","2006","28","alle","alle","personer","0_5","1042"
"befolkning_alder","2006","28","befolkningen_ellers","0","personer","0_5","516"
"befolkning_alder","2006","28","befolkningen_ellers","1","personer","0_5","491"
"befolkning_alder","2006","28","befolkningen_ellers","alle","personer","0_5","1007"
"befolkning_alder","2006","28","innvandrere","0","personer","0_5","27"
"befolkning_alder","2006","28","innvandrere","1","personer","0_5","8"
"befolkning_alder","2006","28","innvandrere","alle","personer","0_5","35"
"befolkning_alder","2006","29","alle","0","personer","0_5","689"
"befolkning_alder","2006","29","alle","1","personer","0_5","661"
"befolkning_alder","2006","29","alle","alle","personer","0_5","1350"
"befolkning_alder","2006","29","befolkningen_ellers","0","personer","0_5","675"
"befolkning_alder","2006","29","befolkningen_ellers","1","personer","0_5","650"
"befolkning_alder","2006","29","befolkningen_ellers","alle","personer","0_5","1325"
"befolkning_alder","2006","29","innvandrere","0","personer","0_5","14"
"befolkning_alder","2006","29","innvandrere","1","personer","0_5","11"
"befolkning_alder","2006","29","innvandrere","alle","personer","0_5","25"
"befolkning_alder","2006","30","alle","0","personer","0_5","431"
"befolkning_alder","2006","30","alle","1","personer","0_5","437"
"befolkning_alder","2006","30","alle","alle","personer","0_5","868"
"befolkning_alder","2006","30","befolkningen_ellers","0","personer","0_5","422"
"befolkning_alder","2006","30","befolkningen_ellers","1","personer","0_5","434"
"befolkning_alder","2006","30","befolkningen_ellers","alle","personer","0_5","856"
"befolkning_alder","2006","30","innvandrere","0","personer","0_5","9"
"befolkning_alder","2006","30","innvandrere","1","personer","0_5","3"
"befolkning_alder","2006","30","innvandrere","alle","personer","0_5","12"
"befolkning_alder","2006","31","alle","0","personer","0_5","214"
"befolkning_alder","2006","31","alle","1","personer","0_5","257"
"befolkning_alder","2006","31","alle","alle","personer","0_5","471"
"befolkning_alder","2006","31","befolkningen_ellers","0","personer","0_5","210"
"befolkning_alder","2006","31","befolkningen_ellers","1","personer","0_5","250"
"befolkning_alder","2006","31","befolkningen_ellers","alle","personer","0_5","460"
"befolkning_alder","2006","31","innvandrere","0","personer","0_5","4"
"befolkning_alder","2006","31","innvandrere","1","personer","0_5","7"
"befolkning_alder","2006","31","innvandrere","alle","personer","0_5","11"
"befolkning_alder","2006","32","alle","0","personer","0_5","2865"
"befolkning_alder","2006","32","alle","1","personer","0_5","2940"
"befolkning_alder","2006","32","alle","alle","personer","0_5","5805"
"befolkning_alder","2006","32","befolkningen_ellers","0","personer","0_5","2812"
"befolkning_alder","2006","32","befolkningen_ellers","1","personer","0_5","2892"
"befolkning_alder","2006","32","befolkningen_ellers","alle","personer","0_5","5704"
"befolkning_alder","2006","32","innvandrere","0","personer","0_5","53"
"befolkning_alder","2006","32","innvandrere","1","personer","0_5","48"
"befolkning_alder","2006","32","innvandrere","alle","personer","0_5","101"
"befolkning_alder","2006","33","alle","0","personer","0_5","1310"
"befolkning_alder","2006","33","alle","1","personer","0_5","1298"
"befolkning_alder","2006","33","alle","alle","personer","0_5","2608"
"befolkning_alder","2006","33","befolkningen_ellers","0","personer","0_5","1288"
"befolkning_alder","2006","33","befolkningen_ellers","1","personer","0_5","1269"
"befolkning_alder","2006","33","befolkningen_ellers","alle","personer","0_5","2557"
"befolkning_alder","2006","33","innvandrere","0","personer","0_5","22"
"befolkning_alder","2006","33","innvandrere","1","personer","0_5","29"
"befolkning_alder","2006","33","innvandrere","alle","personer","0_5","51"
"befolkning_alder","2006","34","alle","0","personer","0_5","833"
"befolkning_alder","2006","34","alle","1","personer","0_5","917"
"befolkning_alder","2006","34","alle","alle","personer","0_5","1750"
