"naringsregion_nr","tilskudd_til_kommuner","tabellvariabel","tabell_navn","aar","enhet"
"29","eldre_tilsk",304400,"tilskudd","2015","kroner"
"30","eldre_tilsk",0,"tilskudd","2015","kroner"
"31","eldre_tilsk",0,"tilskudd","2015","kroner"
"32","eldre_tilsk",467200,"tilskudd","2015","kroner"
"33","eldre_tilsk",0,"tilskudd","2015","kroner"
"34","eldre_tilsk",0,"tilskudd","2015","kroner"
"35","eldre_tilsk",1083700,"tilskudd","2015","kroner"
"36","eldre_tilsk",157500,"tilskudd","2015","kroner"
"37","eldre_tilsk",472500,"tilskudd","2015","kroner"
"38","eldre_tilsk",0,"tilskudd","2015","kroner"
"39","eldre_tilsk",1417500,"tilskudd","2015","kroner"
"40","eldre_tilsk",309700,"tilskudd","2015","kroner"
"41","eldre_tilsk",0,"tilskudd","2015","kroner"
"42","eldre_tilsk",157500,"tilskudd","2015","kroner"
"43","eldre_tilsk",0,"tilskudd","2015","kroner"
"44","eldre_tilsk",0,"tilskudd","2015","kroner"
"45","eldre_tilsk",157500,"tilskudd","2015","kroner"
"46","eldre_tilsk",157500,"tilskudd","2015","kroner"
"47","eldre_tilsk",157500,"tilskudd","2015","kroner"
"48","eldre_tilsk",0,"tilskudd","2015","kroner"
"49","eldre_tilsk",157500,"tilskudd","2015","kroner"
"50","eldre_tilsk",157500,"tilskudd","2015","kroner"
"51","eldre_tilsk",315000,"tilskudd","2015","kroner"
"52","eldre_tilsk",309700,"tilskudd","2015","kroner"
"53","eldre_tilsk",157500,"tilskudd","2015","kroner"
"54","eldre_tilsk",0,"tilskudd","2015","kroner"
"55","eldre_tilsk",315000,"tilskudd","2015","kroner"
"56","eldre_tilsk",157500,"tilskudd","2015","kroner"
"57","eldre_tilsk",0,"tilskudd","2015","kroner"
"58","eldre_tilsk",0,"tilskudd","2015","kroner"
"59","eldre_tilsk",0,"tilskudd","2015","kroner"
"60","eldre_tilsk",157500,"tilskudd","2015","kroner"
"61","eldre_tilsk",1426000,"tilskudd","2015","kroner"
"62","eldre_tilsk",0,"tilskudd","2015","kroner"
"63","eldre_tilsk",0,"tilskudd","2015","kroner"
"64","eldre_tilsk",0,"tilskudd","2015","kroner"
"65","eldre_tilsk",0,"tilskudd","2015","kroner"
