"kommune_nr","innvkat_3","vreg_3","enhet","aar","tabellvariabel","tabell_navn"
"1838","alle","alle","kroner","2014","331100","gjennomsnittsinntekt"
"1839","alle","alle","kroner","2014","320300","gjennomsnittsinntekt"
"1840","alle","alle","kroner","2014","332400","gjennomsnittsinntekt"
"1841","alle","alle","kroner","2014","339600","gjennomsnittsinntekt"
"1845","alle","alle","kroner","2014","332100","gjennomsnittsinntekt"
"1848","alle","alle","kroner","2014","327400","gjennomsnittsinntekt"
"1849","alle","alle","kroner","2014","324600","gjennomsnittsinntekt"
"1850","alle","alle","kroner","2014","325800","gjennomsnittsinntekt"
"1851","alle","alle","kroner","2014","327500","gjennomsnittsinntekt"
"1852","alle","alle","kroner","2014","332700","gjennomsnittsinntekt"
"1853","alle","alle","kroner","2014","325400","gjennomsnittsinntekt"
"1854","alle","alle","kroner","2014","317200","gjennomsnittsinntekt"
"1856","alle","alle","kroner","2014","333600","gjennomsnittsinntekt"
"1857","alle","alle","kroner","2014","307400","gjennomsnittsinntekt"
"1859","alle","alle","kroner","2014","331800","gjennomsnittsinntekt"
"1860","alle","alle","kroner","2014","325700","gjennomsnittsinntekt"
"1865","alle","alle","kroner","2014","329300","gjennomsnittsinntekt"
"1866","alle","alle","kroner","2014","333400","gjennomsnittsinntekt"
"1867","alle","alle","kroner","2014","299900","gjennomsnittsinntekt"
"1868","alle","alle","kroner","2014","324700","gjennomsnittsinntekt"
"1870","alle","alle","kroner","2014","334600","gjennomsnittsinntekt"
"1871","alle","alle","kroner","2014","329300","gjennomsnittsinntekt"
"1874","alle","alle","kroner","2014","316200","gjennomsnittsinntekt"
"1902","alle","alle","kroner","2014","358800","gjennomsnittsinntekt"
"1903","alle","alle","kroner","2014","345900","gjennomsnittsinntekt"
"1911","alle","alle","kroner","2014","324800","gjennomsnittsinntekt"
"1913","alle","alle","kroner","2014","341700","gjennomsnittsinntekt"
"1917","alle","alle","kroner","2014","318300","gjennomsnittsinntekt"
"1919","alle","alle","kroner","2014","314600","gjennomsnittsinntekt"
"1920","alle","alle","kroner","2014","315000","gjennomsnittsinntekt"
"1922","alle","alle","kroner","2014","349000","gjennomsnittsinntekt"
"1923","alle","alle","kroner","2014","322600","gjennomsnittsinntekt"
"1924","alle","alle","kroner","2014","352000","gjennomsnittsinntekt"
"1925","alle","alle","kroner","2014","344600","gjennomsnittsinntekt"
"1926","alle","alle","kroner","2014","324700","gjennomsnittsinntekt"
"1927","alle","alle","kroner","2014","320100","gjennomsnittsinntekt"
"1928","alle","alle","kroner","2014","329000","gjennomsnittsinntekt"
"1929","alle","alle","kroner","2014","332000","gjennomsnittsinntekt"
"1931","alle","alle","kroner","2014","336800","gjennomsnittsinntekt"
"1933","alle","alle","kroner","2014","325500","gjennomsnittsinntekt"
"1936","alle","alle","kroner","2014","344300","gjennomsnittsinntekt"
"1938","alle","alle","kroner","2014","338300","gjennomsnittsinntekt"
"1939","alle","alle","kroner","2014","342700","gjennomsnittsinntekt"
"1940","alle","alle","kroner","2014","329100","gjennomsnittsinntekt"
