"naringsregion_nr","bosetting","enhet","aar","tabellvariabel","tabell_navn"
"11","bosatt","prosent","2016",".","bosatt_anmodede"
"12","bosatt","prosent","2016",".","bosatt_anmodede"
"13","bosatt","prosent","2016",".","bosatt_anmodede"
"14","bosatt","prosent","2016",".","bosatt_anmodede"
"15","bosatt","prosent","2016",".","bosatt_anmodede"
"16","bosatt","prosent","2016",".","bosatt_anmodede"
"17","bosatt","prosent","2016",".","bosatt_anmodede"
"18","bosatt","prosent","2016",".","bosatt_anmodede"
"19","bosatt","prosent","2016",".","bosatt_anmodede"
"20","bosatt","prosent","2016",".","bosatt_anmodede"
"21","bosatt","prosent","2016",".","bosatt_anmodede"
"22","bosatt","prosent","2016",".","bosatt_anmodede"
"23","bosatt","prosent","2016",".","bosatt_anmodede"
"24","bosatt","prosent","2016",".","bosatt_anmodede"
"25","bosatt","prosent","2016",".","bosatt_anmodede"
"26","bosatt","prosent","2016",".","bosatt_anmodede"
"27","bosatt","prosent","2016",".","bosatt_anmodede"
"28","bosatt","prosent","2016",".","bosatt_anmodede"
"29","bosatt","prosent","2016",".","bosatt_anmodede"
"30","bosatt","prosent","2016",".","bosatt_anmodede"
"31","bosatt","prosent","2016",".","bosatt_anmodede"
"32","bosatt","prosent","2016",".","bosatt_anmodede"
"33","bosatt","prosent","2016",".","bosatt_anmodede"
"34","bosatt","prosent","2016",".","bosatt_anmodede"
"35","bosatt","prosent","2016",".","bosatt_anmodede"
"36","bosatt","prosent","2016",".","bosatt_anmodede"
"37","bosatt","prosent","2016",".","bosatt_anmodede"
"38","bosatt","prosent","2016",".","bosatt_anmodede"
"39","bosatt","prosent","2016",".","bosatt_anmodede"
"40","bosatt","prosent","2016",".","bosatt_anmodede"
"41","bosatt","prosent","2016",".","bosatt_anmodede"
"42","bosatt","prosent","2016",".","bosatt_anmodede"
"43","bosatt","prosent","2016",".","bosatt_anmodede"
"44","bosatt","prosent","2016",".","bosatt_anmodede"
"45","bosatt","prosent","2016",".","bosatt_anmodede"
"46","bosatt","prosent","2016",".","bosatt_anmodede"
"47","bosatt","prosent","2016",".","bosatt_anmodede"
"48","bosatt","prosent","2016",".","bosatt_anmodede"
"49","bosatt","prosent","2016",".","bosatt_anmodede"
"50","bosatt","prosent","2016",".","bosatt_anmodede"
"51","bosatt","prosent","2016",".","bosatt_anmodede"
"52","bosatt","prosent","2016",".","bosatt_anmodede"
"53","bosatt","prosent","2016",".","bosatt_anmodede"
"54","bosatt","prosent","2016",".","bosatt_anmodede"
"55","bosatt","prosent","2016",".","bosatt_anmodede"
"56","bosatt","prosent","2016",".","bosatt_anmodede"
"57","bosatt","prosent","2016",".","bosatt_anmodede"
"58","bosatt","prosent","2016",".","bosatt_anmodede"
"59","bosatt","prosent","2016",".","bosatt_anmodede"
