"kommune_nr","bosetting","enhet","tabellvariabel","tabell_navn","aar"
"1422","anmodning","personer","10","bosatt_anmodede","2014"
"1424","anmodning","personer","15","bosatt_anmodede","2014"
"1426","anmodning","personer","15","bosatt_anmodede","2014"
"1428","anmodning","personer","10","bosatt_anmodede","2014"
"1429","anmodning","personer","10","bosatt_anmodede","2014"
"1430","anmodning","personer","10","bosatt_anmodede","2014"
"1431","anmodning","personer","15","bosatt_anmodede","2014"
"1432","anmodning","personer","35","bosatt_anmodede","2014"
"1433","anmodning","personer","10","bosatt_anmodede","2014"
"1438","anmodning","personer","15","bosatt_anmodede","2014"
"1439","anmodning","personer","10","bosatt_anmodede","2014"
"1441","anmodning","personer","10","bosatt_anmodede","2014"
"1443","anmodning","personer","30","bosatt_anmodede","2014"
"1444","anmodning","personer","8","bosatt_anmodede","2014"
"1445","anmodning","personer","20","bosatt_anmodede","2014"
"1449","anmodning","personer","25","bosatt_anmodede","2014"
"1502","anmodning","personer","60","bosatt_anmodede","2014"
"1504","anmodning","personer","90","bosatt_anmodede","2014"
"1505","anmodning","personer","50","bosatt_anmodede","2014"
"1511","anmodning","personer","15","bosatt_anmodede","2014"
"1514","anmodning","personer","10","bosatt_anmodede","2014"
"1515","anmodning","personer","30","bosatt_anmodede","2014"
"1516","anmodning","personer","20","bosatt_anmodede","2014"
"1517","anmodning","personer","15","bosatt_anmodede","2014"
"1519","anmodning","personer","30","bosatt_anmodede","2014"
"1520","anmodning","personer","30","bosatt_anmodede","2014"
"1523","anmodning","personer","10","bosatt_anmodede","2014"
"1524","anmodning","personer","10","bosatt_anmodede","2014"
"1525","anmodning","personer","10","bosatt_anmodede","2014"
"1526","anmodning","personer","10","bosatt_anmodede","2014"
"1528","anmodning","personer","20","bosatt_anmodede","2014"
"1529","anmodning","personer","10","bosatt_anmodede","2014"
"1531","anmodning","personer","25","bosatt_anmodede","2014"
"1532","anmodning","personer","15","bosatt_anmodede","2014"
