"kommune_nr","avslutta","kjonn","avslstat4","aar","enhet","tabellvariabel","tabell_navn"
"1412","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1413","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1416","ettaar","alle","alle","2014","personer","5","intro_status_arbutd"
"1417","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1418","ettaar","alle","alle","2014","personer","8","intro_status_arbutd"
"1419","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1420","ettaar","alle","alle","2014","personer","20","intro_status_arbutd"
"1421","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1422","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1424","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1426","ettaar","alle","alle","2014","personer","5","intro_status_arbutd"
"1428","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1429","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1430","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1431","ettaar","alle","alle","2014","personer","5","intro_status_arbutd"
"1432","ettaar","alle","alle","2014","personer","7","intro_status_arbutd"
"1433","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1438","ettaar","alle","alle","2014","personer","5","intro_status_arbutd"
"1439","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1441","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1443","ettaar","alle","alle","2014","personer","8","intro_status_arbutd"
"1444","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1445","ettaar","alle","alle","2014","personer","6","intro_status_arbutd"
"1449","ettaar","alle","alle","2014","personer","10","intro_status_arbutd"
"1502","ettaar","alle","alle","2014","personer","27","intro_status_arbutd"
"1504","ettaar","alle","alle","2014","personer","24","intro_status_arbutd"
"1505","ettaar","alle","alle","2014","personer","26","intro_status_arbutd"
"1511","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1514","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1515","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1516","ettaar","alle","alle","2014","personer","10","intro_status_arbutd"
"1517","ettaar","alle","alle","2014","personer","4","intro_status_arbutd"
