Kode;Tittel;Generell.note
1299;Uoppgitt kommune Hordaland;
1599;Uoppgitt kommune Møre og Romsdal;
1899;Uoppgitt kommune Nordland;
1799;Uoppgitt kommune Nord-Trøndelag;
0599;Uoppgitt kommune Oppland;
1199;Uoppgitt kommune Rogaland;
1499;Uoppgitt kommune Sogn og Fjordane;
2199;Uoppgitt kommune Svalbard;
1699;Uoppgitt kommune Sør-Trøndelag;
0899;Uoppgitt kommune Telemark;
1999;Uoppgitt kommune Troms;
1099;Uoppgitt kommune Vest-Agder;
0799;Uoppgitt kommune Vestfold;
0199;Uoppgitt kommune Østfold;
1151;Utsira;
2003;Vadsø;
1251;Vaksdal;
0940;Valle;
0545;Vang;
0414;Vang (-1991);
1511;Vanylven;Ved grenseregulering 1. januar 2002 ble ca. 380 personer overført fra 1514 Sande kommune til 1511 Vanylven kommune.
2002;Vardø;
0114;Varteig (-1991);
1824;Vefsn;
1815;Vega;
0912;Vegårshei;
1014;Vennesla;
1721;Verdal;
1724;Verran;
0211;Vestby;
1535;Vestnes;
0543;Vestre Slidre;
0529;Vestre Toten;
1860;Vestvågøy;
1816;Vevelstad;
1417;Vik;
1750;Vikna;
1160;Vindafjord;1. januar 2006 ble kommunene 1154 Vindafjord og 1159 Ølen slått sammen til en ny kommune 1160 Vindafjord.
1154;Vindafjord (1965-2005);1. januar 2006 ble kommunene 1154 Vindafjord og 1159 Ølen slått sammen til en ny kommune 1160 Vindafjord.
0834;Vinje;
1519;Volda;
1235;Voss;
1857;Værøy;
1865;Vågan;
1439;Vågsøy;
0515;Vågå;
0426;Våler (Hedm.);
0137;Våler (Østf.);
1868;Øksnes;
1214;Ølen (-2001);
1159;Ølen (-2005);1. januar 2006 ble kommunene 1154 Vindafjord og 1159 Ølen slått sammen til en ny kommune 1160 Vindafjord.
1621;Ørland;
1523;Ørskog;
1527;Ørskog (-1976);
1520;Ørsta;
0528;Østre Toten;
0624;Øvre Eiker;
0521;Øyer;
0920;Øyestad (-1991);
1259;Øygarden;
0544;Øystre Slidre;
1630;Åfjord;
0619;Ål;
1504;Ålesund;
1501;Ålesund (-1976);
0929;Åmli;
0429;Åmot;
1424;Årdal;
0214;Ås;
1255;Åsane (-1971);
1026;Åseral;
0425;Åsnes;
