"kommune_nr","kommune_navn","standard_utgave","kommune_note","fylke_nr","fylke_navn","fylke_note","naringsregion_nr","naringsregion_navn"
"0214","Ås","2014","","02","Akershus","","06","Follo"
"0215","Frogn","2008","","02","Akershus","","06","Follo"
"0215","Frogn","2003","","02","Akershus","","06","Follo"
"0215","Frogn","2012","","02","Akershus","","06","Follo"
"0215","Frogn","komplett_2016","","02","Akershus","","06","Follo"
"0215","Frogn","2005","","02","Akershus","","06","Follo"
"0215","Frogn","2006","","02","Akershus","","06","Follo"
"0215","Frogn","2002","","02","Akershus","","06","Follo"
"0215","Frogn","2014","","02","Akershus","","06","Follo"
"0215","Frogn","2013","","02","Akershus","","06","Follo"
"0216","Nesodden","2003","","02","Akershus","","06","Follo"
"0216","Nesodden","2006","","02","Akershus","","06","Follo"
"0216","Nesodden","2014","","02","Akershus","","06","Follo"
"0216","Nesodden","2013","","02","Akershus","","06","Follo"
"0216","Nesodden","komplett_2016","","02","Akershus","","06","Follo"
"0216","Nesodden","2012","","02","Akershus","","06","Follo"
"0216","Nesodden","2005","","02","Akershus","","06","Follo"
"0216","Nesodden","2002","","02","Akershus","","06","Follo"
"0216","Nesodden","2008","","02","Akershus","","06","Follo"
"0217","Oppegård","2002","","02","Akershus","","06","Follo"
"0217","Oppegård","2014","","02","Akershus","","06","Follo"
"0217","Oppegård","2008","","02","Akershus","","06","Follo"
"0217","Oppegård","2013","","02","Akershus","","06","Follo"
"0217","Oppegård","2005","","02","Akershus","","06","Follo"
"0217","Oppegård","2012","","02","Akershus","","06","Follo"
"0217","Oppegård","2006","","02","Akershus","","06","Follo"
"0217","Oppegård","komplett_2016","","02","Akershus","","06","Follo"
"0217","Oppegård","2003","","02","Akershus","","06","Follo"
"0219","Bærum","2012","","02","Akershus","","05","Akershus Vest"
"0219","Bærum","2013","","02","Akershus","","05","Akershus Vest"
"0219","Bærum","2005","","02","Akershus","","05","Akershus Vest"
"0219","Bærum","2002","","02","Akershus","","05","Akershus Vest"
"0219","Bærum","2008","","02","Akershus","","05","Akershus Vest"
"0219","Bærum","komplett_2016","","02","Akershus","","05","Akershus Vest"
"0219","Bærum","2003","","02","Akershus","","05","Akershus Vest"
"0219","Bærum","2006","","02","Akershus","","05","Akershus Vest"
"0219","Bærum","2014","","02","Akershus","","05","Akershus Vest"
"0220","Asker","2012","","02","Akershus","","05","Akershus Vest"
"0220","Asker","2008","","02","Akershus","","05","Akershus Vest"
"0220","Asker","2014","","02","Akershus","","05","Akershus Vest"
"0220","Asker","2002","Del av 0627 Røyken kommune ble den 1.1.96 overført til 0220 Asker kommune (ca. 70 personer, 0,2 km2).","02","Akershus","","05","Akershus Vest"
"0220","Asker","komplett_2016","","02","Akershus","","05","Akershus Vest"
"0220","Asker","2013","","02","Akershus","","05","Akershus Vest"
"0220","Asker","2005","","02","Akershus","","05","Akershus Vest"
