Nr;Kommune;Fylke;Fylkenr;IMDireg;IMDiregnr;Naringregnr;Naringreg;Sentralnr_2008;Sentral_2008
1416;1416 Høyanger;Sogn og Fjordane;14;IMDi Vest;4;50;Sogn;0;Minst sentrale kommuner
1417;1417 Vik;Sogn og Fjordane;14;IMDi Vest;4;50;Sogn;0;Minst sentrale kommuner
1418;1418 Balestrand;Sogn og Fjordane;14;IMDi Vest;4;50;Sogn;0;Minst sentrale kommuner
1419;1419 Leikanger;Sogn og Fjordane;14;IMDi Vest;4;50;Sogn;0;Minst sentrale kommuner
1420;1420 Sogndal;Sogn og Fjordane;14;IMDi Vest;4;50;Sogn;0;Minst sentrale kommuner
1421;1421 Aurland;Sogn og Fjordane;14;IMDi Vest;4;50;Sogn;0;Minst sentrale kommuner
1422;1422 Lærdal;Sogn og Fjordane;14;IMDi Vest;4;50;Sogn;0;Minst sentrale kommuner
1424;1424 Årdal;Sogn og Fjordane;14;IMDi Vest;4;50;Sogn;0;Minst sentrale kommuner
1426;1426 Luster;Sogn og Fjordane;14;IMDi Vest;4;50;Sogn;0;Minst sentrale kommuner
1428;1428 Askvoll;Sogn og Fjordane;14;IMDi Vest;4;48;HAFS;0;Minst sentrale kommuner
1429;1429 Fjaler;Sogn og Fjordane;14;IMDi Vest;4;48;HAFS;1;Mindre sentrale kommuner
1430;1430 Gaular;Sogn og Fjordane;14;IMDi Vest;4;51;Sunnfjord;1;Mindre sentrale kommuner
1431;1431 Jølster;Sogn og Fjordane;14;IMDi Vest;4;51;Sunnfjord;1;Mindre sentrale kommuner
1432;1432 Førde;Sogn og Fjordane;14;IMDi Vest;4;51;Sunnfjord;1;Mindre sentrale kommuner
1433;1433 Naustdal;Sogn og Fjordane;14;IMDi Vest;4;51;Sunnfjord;1;Mindre sentrale kommuner
1438;1438 Bremanger;Sogn og Fjordane;14;IMDi Vest;4;49;Nordfjord;0;Minst sentrale kommuner
1439;1439 Vågsøy;Sogn og Fjordane;14;IMDi Vest;4;49;Nordfjord;0;Minst sentrale kommuner
1441;1441 Selje;Sogn og Fjordane;14;IMDi Vest;4;49;Nordfjord;0;Minst sentrale kommuner
1443;1443 Eid;Sogn og Fjordane;14;IMDi Vest;4;49;Nordfjord;0;Minst sentrale kommuner
