Kommune nr & navn;kommune_nr;"Kommune
navn"
Nedbrytninger;;
;;
1569 Aure (-2005);1569;Aure (-2005)
1571 Halsa;1571;Halsa
1572 Tustna (-2005);1572;Tustna (-2005)
1573 Smøla;1573;Smøla
1576 Aure;1576;Aure
1599 Uoppgitt kommune Møre og Romsdal;1599;Uoppgitt kommune Møre og Romsdal
1601 Trondheim;1601;Trondheim
1612 Hemne;1612;Hemne
1613 Snillfjord;1613;Snillfjord
1617 Hitra;1617;Hitra
1620 Frøya;1620;Frøya
1621 Ørland;1621;Ørland
1622 Agdenes;1622;Agdenes
1624 Rissa;1624;Rissa
1627 Bjugn;1627;Bjugn
1630 Åfjord;1630;Åfjord
1632 Roan;1632;Roan
1633 Osen;1633;Osen
1634 Oppdal;1634;Oppdal
1635 Rennebu;1635;Rennebu
1636 Meldal;1636;Meldal
1638 Orkdal;1638;Orkdal
1640 Røros;1640;Røros
1644 Holtålen;1644;Holtålen
1645 Haltdalen (-1971);1645;Haltdalen (-1971)
1648 Midtre Gauldal;1648;Midtre Gauldal
1653 Melhus;1653;Melhus
1657 Skaun;1657;Skaun
1662 Klæbu;1662;Klæbu
1663 Malvik;1663;Malvik
1664 Selbu;1664;Selbu
1665 Tydal;1665;Tydal
1699 Uoppgitt kommune Sør-Trøndelag;1699;Uoppgitt kommune Sør-Trøndelag
1702 Steinkjer;1702;Steinkjer
1703 Namsos;1703;Namsos
1711 Meråker;1711;Meråker
1714 Stjørdal;1714;Stjørdal
1717 Frosta;1717;Frosta
1718 Leksvik;1718;Leksvik
1719 Levanger;1719;Levanger
1721 Verdal;1721;Verdal
1723 Mosvik  (-2011);1723;Mosvik  (-2011)
1724 Verran;1724;Verran
1725 Namdalseid;1725;Namdalseid
1729 Inderøy (-2011);1729;Inderøy (-2011)
1736 Snåase Snåsa;1736;Snåase Snåsa
1738 Lierne;1738;Lierne
1739 Raarvihke Røyrvik;1739;Raarvihke Røyrvik
1740 Namsskogan;1740;Namsskogan
1742 Grong;1742;Grong
1743 Høylandet;1743;Høylandet
1744 Overhalla;1744;Overhalla
1748 Fosnes;1748;Fosnes
1749 Flatanger;1749;Flatanger
1750 Vikna;1750;Vikna
1751 Nærøy;1751;Nærøy
1755 Leka;1755;Leka
1756 Inderøy;1756;Inderøy
1799 Uoppgitt kommune Nord-Trøndelag;1799;Uoppgitt kommune Nord-Trøndelag
1804 Bodø;1804;Bodø
1805 Narvik;1805;Narvik
1811 Bindal;1811;Bindal
1812 Sømna;1812;Sømna
1813 Brønnøy;1813;Brønnøy
1814 Brønnøy (-1976);1814;Brønnøy (-1976)
1815 Vega;1815;Vega
1816 Vevelstad;1816;Vevelstad
1818 Herøy (Nordl.);1818;Herøy (Nordl.)
1820 Alstahaug;1820;Alstahaug
1822 Leirfjord;1822;Leirfjord
1824 Vefsn;1824;Vefsn
1825 Grane;1825;Grane
1826 Hattfjelldal;1826;Hattfjelldal
1827 Dønna;1827;Dønna
1828 Nesna;1828;Nesna
1832 Hemnes;1832;Hemnes
1833 Rana;1833;Rana
1834 Lurøy;1834;Lurøy
1835 Træna;1835;Træna
1836 Rødøy;1836;Rødøy
1837 Meløy;1837;Meløy
1838 Gildeskål;1838;Gildeskål
1839 Beiarn;1839;Beiarn
1840 Saltdal;1840;Saltdal
