Identifikasjon (rad nr.);Kode;Nivånr.;Tittel;Fotnoter;Generell note;Omfatter;Omfatter også;Ekskluderer;Kort tittel;Middels lang tittel
318;1662;1;Klæbu;;;;;;;
319;1663;1;Malvik;;;;;;;
320;1664;1;Selbu;;;;;;;
321;1665;1;Tydal;;;;;;;
322;1702;1;Steinkjer;;;;;;;
323;1703;1;Namsos;;;;;;;
324;1711;1;Meråker;;;;;;;
325;1714;1;Stjørdal;;;;;;;
326;1717;1;Frosta;;;;;;;
327;1718;1;Leksvik;;;;;;;
328;1719;1;Levanger;;;;;;;
329;1721;1;Verdal;;;;;;;
330;1723;1;Mosvik;;;;;;;
331;1724;1;Verran;;;;;;;
332;1725;1;Namdalseid;;;;;;;
333;1729;1;Inderøy;;;;;;;
334;1736;1;Snåsa;;;;;;;
335;1738;1;Lierne;;;;;;;
336;1739;1;Røyrvik;;;;;;;
337;1740;1;Namsskogan;;;;;;;
338;1742;1;Grong;;;;;;;
339;1743;1;Høylandet;;;;;;;
340;1744;1;Overhalla;;;;;;;
341;1748;1;Fosnes;;;;;;;
342;1749;1;Flatanger;;;;;;;
343;1750;1;Vikna;;;;;;;
344;1751;1;Nærøy;;;;;;;
345;1755;1;Leka;;;;;;;
346;1804;1;Bodø;;Fra 1.januar 2005 ble kommunene 1804 Bodø og 1842 Skjerstad slått sammen til 1804 Bodø kommune.;;;;;
347;1805;1;Narvik;;;;;;;
348;1811;1;Bindal;;;;;;;
349;1812;1;Sømna;;;;;;;
350;1813;1;Brønnøy;;;;;;;
351;1815;1;Vega;;;;;;;
352;1816;1;Vevelstad;;;;;;;
353;1818;1;Herøy;;;;;;;
354;1820;1;Alstahaug;;;;;;;
355;1822;1;Leirfjord;;;;;;;
356;1824;1;Vefsn;;;;;;;
357;1825;1;Grane;;;;;;;
358;1826;1;Hattfjelldal;;;;;;;
359;1827;1;Dønna;;;;;;;
360;1828;1;Nesna;;;;;;;
361;1832;1;Hemnes;;;;;;;
362;1833;1;Rana;;;;;;;
363;1834;1;Lurøy;;;;;;;
364;1835;1;Træna;;;;;;;
365;1836;1;Rødøy;;;;;;;
366;1837;1;Meløy;;;;;;;
367;1838;1;Gildeskål;;;;;;;
368;1839;1;Beiarn;;;;;;;
369;1840;1;Saltdal;;;;;;;
370;1841;1;Fauske;;;;;;;
371;1845;1;Sørfold;;;;;;;
372;1848;1;Steigen;;;;;;;
373;1849;1;Hamarøy;;;;;;;
374;1850;1;Tysfjord;;;;;;;
375;1851;1;Lødingen;;;;;;;
376;1852;1;Tjeldsund;;;;;;;
377;1853;1;Evenes;;;;;;;
378;1854;1;Ballangen;;;;;;;
379;1856;1;Røst;;;;;;;
380;1857;1;Værøy;;;;;;;
381;1859;1;Flakstad;;;;;;;
382;1860;1;Vestvågøy;;;;;;;
383;1865;1;Vågan;;;;;;;
384;1866;1;Hadsel;;;;;;;
385;1867;1;Bø;;;;;;;
386;1868;1;Øksnes;;;;;;;
387;1870;1;Sortland;;;;;;;
388;1871;1;Andøy;;;;;;;
389;1874;1;Moskenes;;;;;;;
390;1901;1;Harstad;;;;;;;
391;1902;1;Tromsø;;;;;;;
392;1911;1;Kvæfjord;;;;;;;
393;1913;1;Skånland;;;;;;;
394;1915;1;Bjarkøy;;;;;;;
395;1917;1;Ibestad;;;;;;;
396;1919;1;Gratangen;;;;;;;
397;1920;1;Lavangen;;;;;;;
398;1922;1;Bardu;;;;;;;
399;1923;1;Salangen;;;;;;;
400;1924;1;Målselv;;;;;;;
401;1925;1;Sørreisa;;;;;;;
402;1926;1;Dyrøy;;;;;;;
403;1927;1;Tranøy;;;;;;;
404;1928;1;Torsken;;;;;;;
405;1929;1;Berg;;;;;;;
406;1931;1;Lenvik;;;;;;;
407;1933;1;Balsfjord;;;;;;;
408;1936;1;Karlsøy;;;;;;;
409;1938;1;Lyngen;;;;;;;
410;1939;1;Storfjord;;;;;;;
411;1940;1;Gáivuotna Kåfjord;;;;;;;
412;1941;1;Skjervøy;;;;;;;
413;1942;1;Nordreisa;;;;;;;
414;1943;1;Kvænangen;;;;;;;
415;2002;1;Vardø;;;;;;;
416;2003;1;Vadsø;;;;;;;
417;2004;1;Hammerfest;;;;;;;
418;2011;1;Guovdageaidnu Kautokeino;;;;;;;
419;2012;1;Alta;;;;;;;
420;2014;1;Loppa;;;;;;;
421;2015;1;Hasvik;;;;;;;
422;2017;1;Kvalsund;;;;;;;
423;2018;1;Måsøy;;;;;;;
424;2019;1;Nordkapp;;;;;;;
425;2020;1;Porsanger Porsángu Porsanki;;;;;;;
426;2021;1;Kárásjohka Karasjok;;;;;;;
427;2022;1;Lebesby;;;;;;;
428;2023;1;Gamvik;;;;;;;
429;2024;1;Berlevåg;;;;;;;
430;2025;1;Deatnu Tana;;;;;;;
431;2027;1;Unjárga Nesseby;;;;;;;
432;2028;1;Båtsfjord;;;;;;;
433;2030;1;Sør-Varanger;;;;;;;
434;9999;1;Uoppgitt;;;;;;;
