aar,bydel_nr,innvkat_3,vreg_3,tabellvariabel,tabell_navn,enhet
2008,030107,innvandrere,2,347,arbledige_innvkat_land,personer
2008,030107,innvandrere,alle,401,arbledige_innvkat_land,personer
2008,030108,alle,1,45,arbledige_innvkat_land,personer
2008,030108,alle,2,276,arbledige_innvkat_land,personer
2008,030108,alle,alle,321,arbledige_innvkat_land,personer
2008,030108,innvandrere,1,45,arbledige_innvkat_land,personer
2008,030108,innvandrere,2,276,arbledige_innvkat_land,personer
2008,030108,innvandrere,alle,321,arbledige_innvkat_land,personer
2008,030109,alle,1,32,arbledige_innvkat_land,personer
2008,030109,alle,2,252,arbledige_innvkat_land,personer
2008,030109,alle,alle,284,arbledige_innvkat_land,personer
2008,030109,innvandrere,1,32,arbledige_innvkat_land,personer
2008,030109,innvandrere,2,252,arbledige_innvkat_land,personer
2008,030109,innvandrere,alle,284,arbledige_innvkat_land,personer
2008,030110,alle,1,37,arbledige_innvkat_land,personer
2008,030110,alle,2,270,arbledige_innvkat_land,personer
2008,030110,alle,alle,307,arbledige_innvkat_land,personer
2008,030110,innvandrere,1,37,arbledige_innvkat_land,personer
2008,030110,innvandrere,2,270,arbledige_innvkat_land,personer
2008,030110,innvandrere,alle,307,arbledige_innvkat_land,personer
2008,030111,alle,1,18,arbledige_innvkat_land,personer
2008,030111,alle,2,156,arbledige_innvkat_land,personer
2008,030111,alle,alle,174,arbledige_innvkat_land,personer
2008,030111,innvandrere,1,18,arbledige_innvkat_land,personer
2008,030111,innvandrere,2,156,arbledige_innvkat_land,personer
2008,030111,innvandrere,alle,174,arbledige_innvkat_land,personer
2008,030112,alle,1,23,arbledige_innvkat_land,personer
2008,030112,alle,2,89,arbledige_innvkat_land,personer
2008,030112,alle,alle,112,arbledige_innvkat_land,personer
2008,030112,innvandrere,1,23,arbledige_innvkat_land,personer
2008,030112,innvandrere,2,89,arbledige_innvkat_land,personer
2008,030112,innvandrere,alle,112,arbledige_innvkat_land,personer
2008,030113,alle,1,31,arbledige_innvkat_land,personer
2008,030113,alle,2,202,arbledige_innvkat_land,personer
2008,030113,alle,alle,233,arbledige_innvkat_land,personer
2008,030113,innvandrere,1,31,arbledige_innvkat_land,personer
2008,030113,innvandrere,2,202,arbledige_innvkat_land,personer
2008,030113,innvandrere,alle,233,arbledige_innvkat_land,personer
2008,030114,alle,1,11,arbledige_innvkat_land,personer
2008,030114,alle,2,109,arbledige_innvkat_land,personer
2008,030114,alle,alle,120,arbledige_innvkat_land,personer
2008,030114,innvandrere,1,11,arbledige_innvkat_land,personer
2008,030114,innvandrere,2,109,arbledige_innvkat_land,personer
2008,030114,innvandrere,alle,120,arbledige_innvkat_land,personer
2008,030115,alle,1,5,arbledige_innvkat_land,personer
2008,030115,alle,2,125,arbledige_innvkat_land,personer
2008,030115,alle,alle,130,arbledige_innvkat_land,personer
2008,030115,innvandrere,1,5,arbledige_innvkat_land,personer
2008,030115,innvandrere,2,125,arbledige_innvkat_land,personer
2008,030115,innvandrere,alle,130,arbledige_innvkat_land,personer
2008,030116,alle,1,4,arbledige_innvkat_land,personer
2008,030116,alle,2,105,arbledige_innvkat_land,personer
2008,030116,alle,alle,109,arbledige_innvkat_land,personer
2008,030116,innvandrere,1,4,arbledige_innvkat_land,personer
2008,030116,innvandrere,2,105,arbledige_innvkat_land,personer
2008,030116,innvandrere,alle,109,arbledige_innvkat_land,personer
2008,030117,alle,1,9,arbledige_innvkat_land,personer
2008,030117,alle,2,250,arbledige_innvkat_land,personer
2008,030117,alle,alle,259,arbledige_innvkat_land,personer
2008,030117,innvandrere,1,9,arbledige_innvkat_land,personer
2008,030117,innvandrere,2,250,arbledige_innvkat_land,personer
2008,030117,innvandrere,alle,259,arbledige_innvkat_land,personer
2008,030199,alle,1,20,arbledige_innvkat_land,personer
2008,030199,alle,2,30,arbledige_innvkat_land,personer
2008,030199,alle,alle,50,arbledige_innvkat_land,personer
2008,030199,innvandrere,1,20,arbledige_innvkat_land,personer
2008,030199,innvandrere,2,30,arbledige_innvkat_land,personer
2008,030199,innvandrere,alle,50,arbledige_innvkat_land,personer
2009,00,alle,1,7879,arbledige_innvkat_land,personer
2009,00,alle,2,17768,arbledige_innvkat_land,personer
2009,00,alle,alle,25647,arbledige_innvkat_land,personer
2009,00,innvandrere,1,7879,arbledige_innvkat_land,personer
2009,00,innvandrere,2,17768,arbledige_innvkat_land,personer
2009,00,innvandrere,alle,25647,arbledige_innvkat_land,personer
2009,030101,alle,1,208,arbledige_innvkat_land,personer
2009,030101,alle,2,595,arbledige_innvkat_land,personer
2009,030101,alle,alle,803,arbledige_innvkat_land,personer
2009,030101,innvandrere,1,208,arbledige_innvkat_land,personer
2009,030101,innvandrere,2,595,arbledige_innvkat_land,personer
2009,030101,innvandrere,alle,803,arbledige_innvkat_land,personer
2009,030102,alle,1,132,arbledige_innvkat_land,personer
2009,030102,alle,2,416,arbledige_innvkat_land,personer
2009,030102,alle,alle,548,arbledige_innvkat_land,personer
2009,030102,innvandrere,1,132,arbledige_innvkat_land,personer
2009,030102,innvandrere,2,416,arbledige_innvkat_land,personer
2009,030102,innvandrere,alle,548,arbledige_innvkat_land,personer
2009,030103,alle,1,153,arbledige_innvkat_land,personer
2009,030103,alle,2,520,arbledige_innvkat_land,personer
2009,030103,alle,alle,673,arbledige_innvkat_land,personer
2009,030103,innvandrere,1,153,arbledige_innvkat_land,personer
2009,030103,innvandrere,2,520,arbledige_innvkat_land,personer
2009,030103,innvandrere,alle,673,arbledige_innvkat_land,personer
2009,030104,alle,1,173,arbledige_innvkat_land,personer
2009,030104,alle,2,535,arbledige_innvkat_land,personer
2009,030104,alle,alle,708,arbledige_innvkat_land,personer
2009,030104,innvandrere,1,173,arbledige_innvkat_land,personer
2009,030104,innvandrere,2,535,arbledige_innvkat_land,personer
2009,030104,innvandrere,alle,708,arbledige_innvkat_land,personer
2009,030105,alle,1,149,arbledige_innvkat_land,personer
2009,030105,alle,2,396,arbledige_innvkat_land,personer
2009,030105,alle,alle,545,arbledige_innvkat_land,personer
2009,030105,innvandrere,1,149,arbledige_innvkat_land,personer
2009,030105,innvandrere,2,396,arbledige_innvkat_land,personer
2009,030105,innvandrere,alle,545,arbledige_innvkat_land,personer
2009,030106,alle,1,128,arbledige_innvkat_land,personer
2009,030106,alle,2,433,arbledige_innvkat_land,personer
2009,030106,alle,alle,561,arbledige_innvkat_land,personer
2009,030106,innvandrere,1,128,arbledige_innvkat_land,personer
2009,030106,innvandrere,2,433,arbledige_innvkat_land,personer
2009,030106,innvandrere,alle,561,arbledige_innvkat_land,personer
2009,030107,alle,1,111,arbledige_innvkat_land,personer
2009,030107,alle,2,435,arbledige_innvkat_land,personer
2009,030107,alle,alle,546,arbledige_innvkat_land,personer
2009,030107,innvandrere,1,111,arbledige_innvkat_land,personer
2009,030107,innvandrere,2,435,arbledige_innvkat_land,personer
2009,030107,innvandrere,alle,546,arbledige_innvkat_land,personer
2009,030108,alle,1,115,arbledige_innvkat_land,personer
2009,030108,alle,2,382,arbledige_innvkat_land,personer
2009,030108,alle,alle,497,arbledige_innvkat_land,personer
2009,030108,innvandrere,1,115,arbledige_innvkat_land,personer
2009,030108,innvandrere,2,382,arbledige_innvkat_land,personer
2009,030108,innvandrere,alle,497,arbledige_innvkat_land,personer
2009,030109,alle,1,85,arbledige_innvkat_land,personer
2009,030109,alle,2,365,arbledige_innvkat_land,personer
2009,030109,alle,alle,450,arbledige_innvkat_land,personer
2009,030109,innvandrere,1,85,arbledige_innvkat_land,personer
2009,030109,innvandrere,2,365,arbledige_innvkat_land,personer
