aar,naringsregion_nr,innvkat_3,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,13,innvandrere,2,0,22,ikke_arbutd_innvkat_land,personer
2006,13,innvandrere,2,1,17,ikke_arbutd_innvkat_land,personer
2006,13,innvandrere,2,alle,39,ikke_arbutd_innvkat_land,personer
2006,13,innvandrere,alle,0,44,ikke_arbutd_innvkat_land,personer
2006,13,innvandrere,alle,1,28,ikke_arbutd_innvkat_land,personer
2006,13,innvandrere,alle,alle,72,ikke_arbutd_innvkat_land,personer
2006,14,alle,1,0,26,ikke_arbutd_innvkat_land,personer
2006,14,alle,1,1,19,ikke_arbutd_innvkat_land,personer
2006,14,alle,1,alle,45,ikke_arbutd_innvkat_land,personer
2006,14,alle,2,0,69,ikke_arbutd_innvkat_land,personer
2006,14,alle,2,1,54,ikke_arbutd_innvkat_land,personer
2006,14,alle,2,alle,123,ikke_arbutd_innvkat_land,personer
2006,14,alle,alle,0,95,ikke_arbutd_innvkat_land,personer
2006,14,alle,alle,1,73,ikke_arbutd_innvkat_land,personer
2006,14,alle,alle,alle,168,ikke_arbutd_innvkat_land,personer
2006,14,innvandrere,1,0,26,ikke_arbutd_innvkat_land,personer
2006,14,innvandrere,1,1,19,ikke_arbutd_innvkat_land,personer
2006,14,innvandrere,1,alle,45,ikke_arbutd_innvkat_land,personer
2006,14,innvandrere,2,0,69,ikke_arbutd_innvkat_land,personer
2006,14,innvandrere,2,1,54,ikke_arbutd_innvkat_land,personer
2006,14,innvandrere,2,alle,123,ikke_arbutd_innvkat_land,personer
2006,14,innvandrere,alle,0,95,ikke_arbutd_innvkat_land,personer
2006,14,innvandrere,alle,1,73,ikke_arbutd_innvkat_land,personer
2006,14,innvandrere,alle,alle,168,ikke_arbutd_innvkat_land,personer
2006,15,alle,1,0,4,ikke_arbutd_innvkat_land,personer
2006,15,alle,1,1,0,ikke_arbutd_innvkat_land,personer
2006,15,alle,1,alle,5,ikke_arbutd_innvkat_land,personer
2006,15,alle,2,0,15,ikke_arbutd_innvkat_land,personer
2006,15,alle,2,1,9,ikke_arbutd_innvkat_land,personer
2006,15,alle,2,alle,24,ikke_arbutd_innvkat_land,personer
2006,15,alle,alle,0,19,ikke_arbutd_innvkat_land,personer
2006,15,alle,alle,1,10,ikke_arbutd_innvkat_land,personer
2006,15,alle,alle,alle,29,ikke_arbutd_innvkat_land,personer
2006,15,innvandrere,1,0,4,ikke_arbutd_innvkat_land,personer
2006,15,innvandrere,1,1,0,ikke_arbutd_innvkat_land,personer
2006,15,innvandrere,1,alle,5,ikke_arbutd_innvkat_land,personer
2006,15,innvandrere,2,0,15,ikke_arbutd_innvkat_land,personer
2006,15,innvandrere,2,1,9,ikke_arbutd_innvkat_land,personer
2006,15,innvandrere,2,alle,24,ikke_arbutd_innvkat_land,personer
2006,15,innvandrere,alle,0,19,ikke_arbutd_innvkat_land,personer
2006,15,innvandrere,alle,1,10,ikke_arbutd_innvkat_land,personer
2006,15,innvandrere,alle,alle,29,ikke_arbutd_innvkat_land,personer
2006,16,alle,1,0,20,ikke_arbutd_innvkat_land,personer
2006,16,alle,1,1,8,ikke_arbutd_innvkat_land,personer
2006,16,alle,1,alle,28,ikke_arbutd_innvkat_land,personer
2006,16,alle,2,0,30,ikke_arbutd_innvkat_land,personer
2006,16,alle,2,1,38,ikke_arbutd_innvkat_land,personer
2006,16,alle,2,alle,68,ikke_arbutd_innvkat_land,personer
2006,16,alle,alle,0,50,ikke_arbutd_innvkat_land,personer
2006,16,alle,alle,1,46,ikke_arbutd_innvkat_land,personer
2006,16,alle,alle,alle,96,ikke_arbutd_innvkat_land,personer
2006,16,innvandrere,1,0,20,ikke_arbutd_innvkat_land,personer
2006,16,innvandrere,1,1,8,ikke_arbutd_innvkat_land,personer
2006,16,innvandrere,1,alle,28,ikke_arbutd_innvkat_land,personer
2006,16,innvandrere,2,0,30,ikke_arbutd_innvkat_land,personer
2006,16,innvandrere,2,1,38,ikke_arbutd_innvkat_land,personer
2006,16,innvandrere,2,alle,68,ikke_arbutd_innvkat_land,personer
2006,16,innvandrere,alle,0,50,ikke_arbutd_innvkat_land,personer
2006,16,innvandrere,alle,1,46,ikke_arbutd_innvkat_land,personer
2006,16,innvandrere,alle,alle,96,ikke_arbutd_innvkat_land,personer
2006,17,alle,1,0,0,ikke_arbutd_innvkat_land,personer
2006,17,alle,1,1,0,ikke_arbutd_innvkat_land,personer
2006,17,alle,1,alle,0,ikke_arbutd_innvkat_land,personer
2006,17,alle,2,0,6,ikke_arbutd_innvkat_land,personer
2006,17,alle,2,1,0,ikke_arbutd_innvkat_land,personer
2006,17,alle,2,alle,8,ikke_arbutd_innvkat_land,personer
