fylke_nr,vreg_3,kjonn,aar,tabellvariabel,tabellnavn,enhet
06,2,alle,2008,9037,sysselsatte_kjonn_land,personer
06,alle,0,2008,9622,sysselsatte_kjonn_land,personer
06,alle,1,2008,11542,sysselsatte_kjonn_land,personer
06,alle,alle,2008,21164,sysselsatte_kjonn_land,personer
07,1,0,2008,4709,sysselsatte_kjonn_land,personer
07,1,1,2008,6079,sysselsatte_kjonn_land,personer
07,1,alle,2008,10788,sysselsatte_kjonn_land,personer
07,2,0,2008,2918,sysselsatte_kjonn_land,personer
07,2,1,2008,2770,sysselsatte_kjonn_land,personer
07,2,alle,2008,5688,sysselsatte_kjonn_land,personer
07,alle,0,2008,7627,sysselsatte_kjonn_land,personer
07,alle,1,2008,8849,sysselsatte_kjonn_land,personer
07,alle,alle,2008,16476,sysselsatte_kjonn_land,personer
08,1,0,2008,2484,sysselsatte_kjonn_land,personer
08,1,1,2008,3064,sysselsatte_kjonn_land,personer
08,1,alle,2008,5548,sysselsatte_kjonn_land,personer
08,2,0,2008,1995,sysselsatte_kjonn_land,personer
08,2,1,2008,1864,sysselsatte_kjonn_land,personer
08,2,alle,2008,3859,sysselsatte_kjonn_land,personer
08,alle,0,2008,4479,sysselsatte_kjonn_land,personer
08,alle,1,2008,4928,sysselsatte_kjonn_land,personer
08,alle,alle,2008,9407,sysselsatte_kjonn_land,personer
09,1,0,2008,2110,sysselsatte_kjonn_land,personer
09,1,1,2008,2549,sysselsatte_kjonn_land,personer
09,1,alle,2008,4659,sysselsatte_kjonn_land,personer
09,2,0,2008,1090,sysselsatte_kjonn_land,personer
09,2,1,2008,1093,sysselsatte_kjonn_land,personer
09,2,alle,2008,2183,sysselsatte_kjonn_land,personer
09,alle,0,2008,3200,sysselsatte_kjonn_land,personer
09,alle,1,2008,3642,sysselsatte_kjonn_land,personer
09,alle,alle,2008,6842,sysselsatte_kjonn_land,personer
10,1,0,2008,3600,sysselsatte_kjonn_land,personer
10,1,1,2008,4799,sysselsatte_kjonn_land,personer
10,1,alle,2008,8399,sysselsatte_kjonn_land,personer
10,2,0,2008,2532,sysselsatte_kjonn_land,personer
10,2,1,2008,2727,sysselsatte_kjonn_land,personer
10,2,alle,2008,5259,sysselsatte_kjonn_land,personer
10,alle,0,2008,6132,sysselsatte_kjonn_land,personer
10,alle,1,2008,7526,sysselsatte_kjonn_land,personer
10,alle,alle,2008,13658,sysselsatte_kjonn_land,personer
11,1,0,2008,7841,sysselsatte_kjonn_land,personer
11,1,1,2008,13273,sysselsatte_kjonn_land,personer
11,1,alle,2008,21114,sysselsatte_kjonn_land,personer
11,2,0,2008,6391,sysselsatte_kjonn_land,personer
11,2,1,2008,7095,sysselsatte_kjonn_land,personer
11,2,alle,2008,13486,sysselsatte_kjonn_land,personer
11,alle,0,2008,14232,sysselsatte_kjonn_land,personer
11,alle,1,2008,20368,sysselsatte_kjonn_land,personer
11,alle,alle,2008,34600,sysselsatte_kjonn_land,personer
12,1,0,2008,7170,sysselsatte_kjonn_land,personer
12,1,1,2008,10541,sysselsatte_kjonn_land,personer
12,1,alle,2008,17711,sysselsatte_kjonn_land,personer
12,2,0,2008,6015,sysselsatte_kjonn_land,personer
12,2,1,2008,6015,sysselsatte_kjonn_land,personer
12,2,alle,2008,12030,sysselsatte_kjonn_land,personer
12,alle,0,2008,13185,sysselsatte_kjonn_land,personer
