aar,bydel_nr,innvkat_3,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,030110,innvandrere,2,1,123,ikke_arbutd_innvkat_land,personer
2006,030110,innvandrere,2,alle,241,ikke_arbutd_innvkat_land,personer
2006,030110,innvandrere,alle,0,146,ikke_arbutd_innvkat_land,personer
2006,030110,innvandrere,alle,1,140,ikke_arbutd_innvkat_land,personer
2006,030110,innvandrere,alle,alle,286,ikke_arbutd_innvkat_land,personer
2006,030111,alle,1,0,43,ikke_arbutd_innvkat_land,personer
2006,030111,alle,1,1,18,ikke_arbutd_innvkat_land,personer
2006,030111,alle,1,alle,61,ikke_arbutd_innvkat_land,personer
2006,030111,alle,2,0,91,ikke_arbutd_innvkat_land,personer
2006,030111,alle,2,1,81,ikke_arbutd_innvkat_land,personer
2006,030111,alle,2,alle,172,ikke_arbutd_innvkat_land,personer
2006,030111,alle,alle,0,134,ikke_arbutd_innvkat_land,personer
2006,030111,alle,alle,1,99,ikke_arbutd_innvkat_land,personer
2006,030111,alle,alle,alle,233,ikke_arbutd_innvkat_land,personer
2006,030111,innvandrere,1,0,43,ikke_arbutd_innvkat_land,personer
2006,030111,innvandrere,1,1,18,ikke_arbutd_innvkat_land,personer
2006,030111,innvandrere,1,alle,61,ikke_arbutd_innvkat_land,personer
2006,030111,innvandrere,2,0,91,ikke_arbutd_innvkat_land,personer
2006,030111,innvandrere,2,1,81,ikke_arbutd_innvkat_land,personer
2006,030111,innvandrere,2,alle,172,ikke_arbutd_innvkat_land,personer
2006,030111,innvandrere,alle,0,134,ikke_arbutd_innvkat_land,personer
2006,030111,innvandrere,alle,1,99,ikke_arbutd_innvkat_land,personer
2006,030111,innvandrere,alle,alle,233,ikke_arbutd_innvkat_land,personer
2006,030112,alle,1,0,16,ikke_arbutd_innvkat_land,personer
2006,030112,alle,1,1,8,ikke_arbutd_innvkat_land,personer
2006,030112,alle,1,alle,24,ikke_arbutd_innvkat_land,personer
2006,030112,alle,2,0,46,ikke_arbutd_innvkat_land,personer
2006,030112,alle,2,1,41,ikke_arbutd_innvkat_land,personer
2006,030112,alle,2,alle,87,ikke_arbutd_innvkat_land,personer
2006,030112,alle,alle,0,62,ikke_arbutd_innvkat_land,personer
2006,030112,alle,alle,1,49,ikke_arbutd_innvkat_land,personer
2006,030112,alle,alle,alle,111,ikke_arbutd_innvkat_land,personer
2006,030112,innvandrere,1,0,16,ikke_arbutd_innvkat_land,personer
2006,030112,innvandrere,1,1,8,ikke_arbutd_innvkat_land,personer
2006,030112,innvandrere,1,alle,24,ikke_arbutd_innvkat_land,personer
2006,030112,innvandrere,2,0,46,ikke_arbutd_innvkat_land,personer
2006,030112,innvandrere,2,1,41,ikke_arbutd_innvkat_land,personer
2006,030112,innvandrere,2,alle,87,ikke_arbutd_innvkat_land,personer
2006,030112,innvandrere,alle,0,62,ikke_arbutd_innvkat_land,personer
2006,030112,innvandrere,alle,1,49,ikke_arbutd_innvkat_land,personer
2006,030112,innvandrere,alle,alle,111,ikke_arbutd_innvkat_land,personer
2006,030113,alle,1,0,24,ikke_arbutd_innvkat_land,personer
2006,030113,alle,1,1,8,ikke_arbutd_innvkat_land,personer
2006,030113,alle,1,alle,32,ikke_arbutd_innvkat_land,personer
2006,030113,alle,2,0,73,ikke_arbutd_innvkat_land,personer
2006,030113,alle,2,1,58,ikke_arbutd_innvkat_land,personer
2006,030113,alle,2,alle,131,ikke_arbutd_innvkat_land,personer
2006,030113,alle,alle,0,97,ikke_arbutd_innvkat_land,personer
2006,030113,alle,alle,1,66,ikke_arbutd_innvkat_land,personer
2006,030113,alle,alle,alle,163,ikke_arbutd_innvkat_land,personer
2006,030113,innvandrere,1,0,24,ikke_arbutd_innvkat_land,personer
2006,030113,innvandrere,1,1,8,ikke_arbutd_innvkat_land,personer
2006,030113,innvandrere,1,alle,32,ikke_arbutd_innvkat_land,personer
2006,030113,innvandrere,2,0,73,ikke_arbutd_innvkat_land,personer
2006,030113,innvandrere,2,1,58,ikke_arbutd_innvkat_land,personer
2006,030113,innvandrere,2,alle,131,ikke_arbutd_innvkat_land,personer
2006,030113,innvandrere,alle,0,97,ikke_arbutd_innvkat_land,personer
2006,030113,innvandrere,alle,1,66,ikke_arbutd_innvkat_land,personer
2006,030113,innvandrere,alle,alle,163,ikke_arbutd_innvkat_land,personer
2006,030114,alle,1,0,13,ikke_arbutd_innvkat_land,personer
