aar,naringsregion_nr,innvkat_3,vreg_3,tabellvariabel,tabell_navn,enhet
2006,64,alle,2,79,arbledige_innvkat_land,personer
2006,64,alle,alle,99,arbledige_innvkat_land,personer
2006,64,innvandrere,1,20,arbledige_innvkat_land,personer
2006,64,innvandrere,2,79,arbledige_innvkat_land,personer
2006,64,innvandrere,alle,99,arbledige_innvkat_land,personer
2006,65,alle,1,0,arbledige_innvkat_land,personer
2006,65,alle,2,0,arbledige_innvkat_land,personer
2006,65,alle,alle,0,arbledige_innvkat_land,personer
2006,65,innvandrere,1,0,arbledige_innvkat_land,personer
2006,65,innvandrere,2,0,arbledige_innvkat_land,personer
2006,65,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,66,alle,1,3,arbledige_innvkat_land,personer
2006,66,alle,2,10,arbledige_innvkat_land,personer
2006,66,alle,alle,13,arbledige_innvkat_land,personer
2006,66,innvandrere,1,3,arbledige_innvkat_land,personer
2006,66,innvandrere,2,10,arbledige_innvkat_land,personer
2006,66,innvandrere,alle,13,arbledige_innvkat_land,personer
2006,67,alle,1,4,arbledige_innvkat_land,personer
2006,67,alle,2,20,arbledige_innvkat_land,personer
2006,67,alle,alle,24,arbledige_innvkat_land,personer
2006,67,innvandrere,1,4,arbledige_innvkat_land,personer
2006,67,innvandrere,2,20,arbledige_innvkat_land,personer
2006,67,innvandrere,alle,24,arbledige_innvkat_land,personer
2006,68,alle,1,4,arbledige_innvkat_land,personer
2006,68,alle,2,15,arbledige_innvkat_land,personer
2006,68,alle,alle,19,arbledige_innvkat_land,personer
2006,68,innvandrere,1,4,arbledige_innvkat_land,personer
2006,68,innvandrere,2,15,arbledige_innvkat_land,personer
2006,68,innvandrere,alle,19,arbledige_innvkat_land,personer
2006,69,alle,1,5,arbledige_innvkat_land,personer
2006,69,alle,2,25,arbledige_innvkat_land,personer
2006,69,alle,alle,30,arbledige_innvkat_land,personer
2006,69,innvandrere,1,5,arbledige_innvkat_land,personer
