aar,fylke_nr,innvkat_3,vreg_3,tabellvariabel,tabell_navn,enhet
2009,02,innvandrere,2,1806,arbledige_innvkat_land,personer
2009,02,innvandrere,alle,2776,arbledige_innvkat_land,personer
2009,03,alle,1,1587,arbledige_innvkat_land,personer
2009,03,alle,2,6299,arbledige_innvkat_land,personer
2009,03,alle,alle,7886,arbledige_innvkat_land,personer
2009,03,innvandrere,1,1587,arbledige_innvkat_land,personer
2009,03,innvandrere,2,6299,arbledige_innvkat_land,personer
2009,03,innvandrere,alle,7886,arbledige_innvkat_land,personer
2009,04,alle,1,229,arbledige_innvkat_land,personer
2009,04,alle,2,349,arbledige_innvkat_land,personer
2009,04,alle,alle,578,arbledige_innvkat_land,personer
2009,04,innvandrere,1,229,arbledige_innvkat_land,personer
2009,04,innvandrere,2,349,arbledige_innvkat_land,personer
2009,04,innvandrere,alle,578,arbledige_innvkat_land,personer
2009,05,alle,1,200,arbledige_innvkat_land,personer
2009,05,alle,2,408,arbledige_innvkat_land,personer
2009,05,alle,alle,608,arbledige_innvkat_land,personer
2009,05,innvandrere,1,200,arbledige_innvkat_land,personer
2009,05,innvandrere,2,408,arbledige_innvkat_land,personer
2009,05,innvandrere,alle,608,arbledige_innvkat_land,personer
2009,06,alle,1,439,arbledige_innvkat_land,personer
2009,06,alle,2,1002,arbledige_innvkat_land,personer
2009,06,alle,alle,1441,arbledige_innvkat_land,personer
2009,06,innvandrere,1,439,arbledige_innvkat_land,personer
2009,06,innvandrere,2,1002,arbledige_innvkat_land,personer
2009,06,innvandrere,alle,1441,arbledige_innvkat_land,personer
2009,07,alle,1,336,arbledige_innvkat_land,personer
2009,07,alle,2,720,arbledige_innvkat_land,personer
2009,07,alle,alle,1056,arbledige_innvkat_land,personer
2009,07,innvandrere,1,336,arbledige_innvkat_land,personer
2009,07,innvandrere,2,720,arbledige_innvkat_land,personer
2009,07,innvandrere,alle,1056,arbledige_innvkat_land,personer
2009,08,alle,1,237,arbledige_innvkat_land,personer
2009,08,alle,2,620,arbledige_innvkat_land,personer
2009,08,alle,alle,857,arbledige_innvkat_land,personer
2009,08,innvandrere,1,237,arbledige_innvkat_land,personer
2009,08,innvandrere,2,620,arbledige_innvkat_land,personer
2009,08,innvandrere,alle,857,arbledige_innvkat_land,personer
2009,09,alle,1,201,arbledige_innvkat_land,personer
