aar,naringsregion_nr,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,33,alle,1,9252,sysselsatte_kjonn_land,personer
2006,33,alle,alle,17163,sysselsatte_kjonn_land,personer
2006,34,1,0,101,sysselsatte_kjonn_land,personer
2006,34,1,1,140,sysselsatte_kjonn_land,personer
2006,34,1,alle,241,sysselsatte_kjonn_land,personer
2006,34,2,0,131,sysselsatte_kjonn_land,personer
2006,34,2,1,119,sysselsatte_kjonn_land,personer
2006,34,2,alle,250,sysselsatte_kjonn_land,personer
2006,34,alle,0,5114,sysselsatte_kjonn_land,personer
2006,34,alle,1,6144,sysselsatte_kjonn_land,personer
2006,34,alle,alle,11258,sysselsatte_kjonn_land,personer
2006,35,1,0,691,sysselsatte_kjonn_land,personer
2006,35,1,1,930,sysselsatte_kjonn_land,personer
2006,35,1,alle,1621,sysselsatte_kjonn_land,personer
2006,35,2,0,1316,sysselsatte_kjonn_land,personer
2006,35,2,1,1551,sysselsatte_kjonn_land,personer
2006,35,2,alle,2867,sysselsatte_kjonn_land,personer
2006,35,alle,0,27646,sysselsatte_kjonn_land,personer
2006,35,alle,1,31698,sysselsatte_kjonn_land,personer
2006,35,alle,alle,59344,sysselsatte_kjonn_land,personer
2006,36,1,0,103,sysselsatte_kjonn_land,personer
2006,36,1,1,157,sysselsatte_kjonn_land,personer
2006,36,1,alle,260,sysselsatte_kjonn_land,personer
2006,36,2,0,128,sysselsatte_kjonn_land,personer
2006,36,2,1,111,sysselsatte_kjonn_land,personer
2006,36,2,alle,239,sysselsatte_kjonn_land,personer
2006,36,alle,0,5289,sysselsatte_kjonn_land,personer
2006,36,alle,1,6254,sysselsatte_kjonn_land,personer
2006,36,alle,alle,11543,sysselsatte_kjonn_land,personer
2006,37,1,0,430,sysselsatte_kjonn_land,personer
2006,37,1,1,1001,sysselsatte_kjonn_land,personer
2006,37,1,alle,1431,sysselsatte_kjonn_land,personer
2006,37,2,0,561,sysselsatte_kjonn_land,personer
2006,37,2,1,604,sysselsatte_kjonn_land,personer
2006,37,2,alle,1165,sysselsatte_kjonn_land,personer
2006,37,alle,0,21499,sysselsatte_kjonn_land,personer
2006,37,alle,1,25552,sysselsatte_kjonn_land,personer
2006,37,alle,alle,47051,sysselsatte_kjonn_land,personer
2006,38,1,0,126,sysselsatte_kjonn_land,personer
2006,38,1,1,150,sysselsatte_kjonn_land,personer
2006,38,1,alle,276,sysselsatte_kjonn_land,personer
2006,38,2,0,133,sysselsatte_kjonn_land,personer
2006,38,2,1,88,sysselsatte_kjonn_land,personer
2006,38,2,alle,221,sysselsatte_kjonn_land,personer
2006,38,alle,0,5119,sysselsatte_kjonn_land,personer
2006,38,alle,1,5839,sysselsatte_kjonn_land,personer
2006,38,alle,alle,10958,sysselsatte_kjonn_land,personer
2006,39,1,0,2094,sysselsatte_kjonn_land,personer
2006,39,1,1,3925,sysselsatte_kjonn_land,personer
2006,39,1,alle,6019,sysselsatte_kjonn_land,personer
2006,39,2,0,2882,sysselsatte_kjonn_land,personer
2006,39,2,1,3418,sysselsatte_kjonn_land,personer
2006,39,2,alle,6300,sysselsatte_kjonn_land,personer
2006,39,alle,0,66063,sysselsatte_kjonn_land,personer
2006,39,alle,1,76062,sysselsatte_kjonn_land,personer
2006,39,alle,alle,142125,sysselsatte_kjonn_land,personer
2006,40,1,0,1722,sysselsatte_kjonn_land,personer
2006,40,1,1,2614,sysselsatte_kjonn_land,personer
2006,40,1,alle,4336,sysselsatte_kjonn_land,personer
2006,40,2,0,2501,sysselsatte_kjonn_land,personer
2006,40,2,1,3056,sysselsatte_kjonn_land,personer
2006,40,2,alle,5557,sysselsatte_kjonn_land,personer
2006,40,alle,0,60199,sysselsatte_kjonn_land,personer
2006,40,alle,1,66552,sysselsatte_kjonn_land,personer
2006,40,alle,alle,126751,sysselsatte_kjonn_land,personer
2006,41,1,0,88,sysselsatte_kjonn_land,personer
2006,41,1,1,163,sysselsatte_kjonn_land,personer
2006,41,1,alle,251,sysselsatte_kjonn_land,personer
2006,41,2,0,136,sysselsatte_kjonn_land,personer
2006,41,2,1,108,sysselsatte_kjonn_land,personer
2006,41,2,alle,244,sysselsatte_kjonn_land,personer
2006,41,alle,0,5309,sysselsatte_kjonn_land,personer
2006,41,alle,1,6101,sysselsatte_kjonn_land,personer
2006,41,alle,alle,11410,sysselsatte_kjonn_land,personer
2006,42,1,0,111,sysselsatte_kjonn_land,personer
2006,42,1,1,124,sysselsatte_kjonn_land,personer
2006,42,1,alle,235,sysselsatte_kjonn_land,personer
2006,42,2,0,127,sysselsatte_kjonn_land,personer
2006,42,2,1,84,sysselsatte_kjonn_land,personer
2006,42,2,alle,211,sysselsatte_kjonn_land,personer
2006,42,alle,0,5417,sysselsatte_kjonn_land,personer
2006,42,alle,1,6142,sysselsatte_kjonn_land,personer
2006,42,alle,alle,11559,sysselsatte_kjonn_land,personer
2006,43,1,0,54,sysselsatte_kjonn_land,personer
2006,43,1,1,64,sysselsatte_kjonn_land,personer
2006,43,1,alle,118,sysselsatte_kjonn_land,personer
2006,43,2,0,52,sysselsatte_kjonn_land,personer
2006,43,2,1,66,sysselsatte_kjonn_land,personer
2006,43,2,alle,118,sysselsatte_kjonn_land,personer
2006,43,alle,0,3366,sysselsatte_kjonn_land,personer
2006,43,alle,1,3646,sysselsatte_kjonn_land,personer
2006,43,alle,alle,7012,sysselsatte_kjonn_land,personer
2006,44,1,0,98,sysselsatte_kjonn_land,personer
2006,44,1,1,154,sysselsatte_kjonn_land,personer
2006,44,1,alle,252,sysselsatte_kjonn_land,personer
2006,44,2,0,118,sysselsatte_kjonn_land,personer
2006,44,2,1,71,sysselsatte_kjonn_land,personer
2006,44,2,alle,189,sysselsatte_kjonn_land,personer
2006,44,alle,0,6784,sysselsatte_kjonn_land,personer
2006,44,alle,1,8199,sysselsatte_kjonn_land,personer
2006,44,alle,alle,14983,sysselsatte_kjonn_land,personer
2006,45,1,0,33,sysselsatte_kjonn_land,personer
2006,45,1,1,62,sysselsatte_kjonn_land,personer
2006,45,1,alle,95,sysselsatte_kjonn_land,personer
2006,45,2,0,38,sysselsatte_kjonn_land,personer
2006,45,2,1,26,sysselsatte_kjonn_land,personer
2006,45,2,alle,64,sysselsatte_kjonn_land,personer
2006,45,alle,0,2636,sysselsatte_kjonn_land,personer
2006,45,alle,1,3124,sysselsatte_kjonn_land,personer
2006,45,alle,alle,5760,sysselsatte_kjonn_land,personer
2006,46,1,0,237,sysselsatte_kjonn_land,personer
2006,46,1,1,385,sysselsatte_kjonn_land,personer
2006,46,1,alle,622,sysselsatte_kjonn_land,personer
2006,46,2,0,264,sysselsatte_kjonn_land,personer
2006,46,2,1,262,sysselsatte_kjonn_land,personer
2006,46,2,alle,526,sysselsatte_kjonn_land,personer
2006,46,alle,0,13558,sysselsatte_kjonn_land,personer
2006,46,alle,1,16424,sysselsatte_kjonn_land,personer
2006,46,alle,alle,29982,sysselsatte_kjonn_land,personer
2006,47,1,0,221,sysselsatte_kjonn_land,personer
2006,47,1,1,349,sysselsatte_kjonn_land,personer
2006,47,1,alle,570,sysselsatte_kjonn_land,personer
2006,47,2,0,256,sysselsatte_kjonn_land,personer
2006,47,2,1,223,sysselsatte_kjonn_land,personer
2006,47,2,alle,479,sysselsatte_kjonn_land,personer
2006,47,alle,0,12656,sysselsatte_kjonn_land,personer
2006,47,alle,1,14505,sysselsatte_kjonn_land,personer
2006,47,alle,alle,27161,sysselsatte_kjonn_land,personer
2006,48,1,0,30,sysselsatte_kjonn_land,personer
2006,48,1,1,52,sysselsatte_kjonn_land,personer
2006,48,1,alle,82,sysselsatte_kjonn_land,personer
2006,48,2,0,27,sysselsatte_kjonn_land,personer
2006,48,2,1,18,sysselsatte_kjonn_land,personer
2006,48,2,alle,45,sysselsatte_kjonn_land,personer
2006,48,alle,0,1780,sysselsatte_kjonn_land,personer
2006,48,alle,1,2205,sysselsatte_kjonn_land,personer
2006,48,alle,alle,3985,sysselsatte_kjonn_land,personer
2006,49,1,0,184,sysselsatte_kjonn_land,personer
2006,49,1,1,279,sysselsatte_kjonn_land,personer
2006,49,1,alle,463,sysselsatte_kjonn_land,personer
2006,49,2,0,186,sysselsatte_kjonn_land,personer
2006,49,2,1,144,sysselsatte_kjonn_land,personer
2006,49,2,alle,330,sysselsatte_kjonn_land,personer
2006,49,alle,0,7590,sysselsatte_kjonn_land,personer
2006,49,alle,1,9029,sysselsatte_kjonn_land,personer
2006,49,alle,alle,16619,sysselsatte_kjonn_land,personer
2006,50,1,0,202,sysselsatte_kjonn_land,personer
2006,50,1,1,194,sysselsatte_kjonn_land,personer
2006,50,1,alle,396,sysselsatte_kjonn_land,personer
2006,50,2,0,165,sysselsatte_kjonn_land,personer
2006,50,2,1,133,sysselsatte_kjonn_land,personer
2006,50,2,alle,298,sysselsatte_kjonn_land,personer
2006,50,alle,0,7729,sysselsatte_kjonn_land,personer
