tabell_navn;aar;kommune_nr;botid_5;vreg_3;enhet;tabellvariabel
Befolkning_botid;2015;0626;5_9;alle;person;938
Befolkning_botid;2015;0626;10+;alle;person;1605
Befolkning_botid;2015;0627;0_4;alle;person;920
Befolkning_botid;2015;0627;5_9;alle;person;743
Befolkning_botid;2015;0627;10+;alle;person;937
Befolkning_botid;2015;0628;0_4;alle;person;397
Befolkning_botid;2015;0628;5_9;alle;person;256
Befolkning_botid;2015;0628;10+;alle;person;355
Befolkning_botid;2015;0631;0_4;alle;person;146
Befolkning_botid;2015;0631;5_9;alle;person;36
Befolkning_botid;2015;0631;10+;alle;person;50
Befolkning_botid;2015;0632;0_4;alle;person;45
Befolkning_botid;2015;0632;5_9;alle;person;18
Befolkning_botid;2015;0632;10+;alle;person;25
Befolkning_botid;2015;0633;0_4;alle;person;127
Befolkning_botid;2015;0633;5_9;alle;person;55
Befolkning_botid;2015;0633;10+;alle;person;31
Befolkning_botid;2015;0701;0_4;alle;person;1041
Befolkning_botid;2015;0701;5_9;alle;person;710
Befolkning_botid;2015;0701;10+;alle;person;1439
Befolkning_botid;2015;0702;0_4;alle;person;350
Befolkning_botid;2015;0702;5_9;alle;person;223
Befolkning_botid;2015;0702;10+;alle;person;399
Befolkning_botid;2015;0704;0_4;alle;person;1685
Befolkning_botid;2015;0704;5_9;alle;person;1139
Befolkning_botid;2015;0704;10+;alle;person;1883
Befolkning_botid;2015;0706;0_4;alle;person;1804
Befolkning_botid;2015;0706;5_9;alle;person;1328
Befolkning_botid;2015;0706;10+;alle;person;2636
Befolkning_botid;2015;0709;0_4;alle;person;1399
Befolkning_botid;2015;0709;5_9;alle;person;1119
Befolkning_botid;2015;0709;10+;alle;person;1950
Befolkning_botid;2015;0711;0_4;alle;person;234
Befolkning_botid;2015;0711;5_9;alle;person;190
Befolkning_botid;2015;0711;10+;alle;person;253
Befolkning_botid;2015;0713;0_4;alle;person;385
Befolkning_botid;2015;0713;5_9;alle;person;220
Befolkning_botid;2015;0713;10+;alle;person;312
Befolkning_botid;2015;0714;0_4;alle;person;99
Befolkning_botid;2015;0714;5_9;alle;person;56
Befolkning_botid;2015;0714;10+;alle;person;68
Befolkning_botid;2015;0716;0_4;alle;person;324
Befolkning_botid;2015;0716;5_9;alle;person;221
Befolkning_botid;2015;0716;10+;alle;person;271
Befolkning_botid;2015;0719;0_4;alle;person;277
Befolkning_botid;2015;0719;5_9;alle;person;112
Befolkning_botid;2015;0719;10+;alle;person;162
Befolkning_botid;2015;0720;0_4;alle;person;538
Befolkning_botid;2015;0720;5_9;alle;person;346
Befolkning_botid;2015;0720;10+;alle;person;391
Befolkning_botid;2015;0722;0_4;alle;person;632
Befolkning_botid;2015;0722;5_9;alle;person;397
Befolkning_botid;2015;0722;10+;alle;person;1016
Befolkning_botid;2015;0723;0_4;alle;person;210
Befolkning_botid;2015;0723;5_9;alle;person;147
Befolkning_botid;2015;0723;10+;alle;person;149
Befolkning_botid;2015;0728;0_4;alle;person;75
Befolkning_botid;2015;0728;5_9;alle;person;46
Befolkning_botid;2015;0728;10+;alle;person;47
Befolkning_botid;2015;0805;0_4;alle;person;1136
Befolkning_botid;2015;0805;5_9;alle;person;766
Befolkning_botid;2015;0805;10+;alle;person;1592
Befolkning_botid;2015;0806;0_4;alle;person;1789
Befolkning_botid;2015;0806;5_9;alle;person;1412
Befolkning_botid;2015;0806;10+;alle;person;3092
Befolkning_botid;2015;0807;0_4;alle;person;502
Befolkning_botid;2015;0807;5_9;alle;person;283
Befolkning_botid;2015;0807;10+;alle;person;357
