tabell_navn;aar;fylke_id;landbakgrunn;kjonn;enhet;tabellvariabel;
befolkning_opprinnelsesland;2015;02;124;alle;person;972;
befolkning_opprinnelsesland;2015;02;126;alle;person;8;
befolkning_opprinnelsesland;2015;02;127;alle;person;775;
befolkning_opprinnelsesland;2015;02;128;alle;person;:;
befolkning_opprinnelsesland;2015;02;129;alle;person;:;
befolkning_opprinnelsesland;2015;02;130;alle;person;:;
befolkning_opprinnelsesland;2015;02;131;alle;person;12953;
befolkning_opprinnelsesland;2015;02;132;alle;person;301;
befolkning_opprinnelsesland;2015;02;133;alle;person;1178;
befolkning_opprinnelsesland;2015;02;134;alle;person;.;
befolkning_opprinnelsesland;2015;02;136;alle;person;4244;
befolkning_opprinnelsesland;2015;02;137;alle;person;563;
befolkning_opprinnelsesland;2015;02;138;alle;person;72;
befolkning_opprinnelsesland;2015;02;139;alle;person;2142;
befolkning_opprinnelsesland;2015;02;140;alle;person;2040;
befolkning_opprinnelsesland;2015;02;141;alle;person;206;
befolkning_opprinnelsesland;2015;02;143;alle;person;1001;
befolkning_opprinnelsesland;2015;02;144;alle;person;2899;
befolkning_opprinnelsesland;2015;02;146;alle;person;44;
befolkning_opprinnelsesland;2015;02;148;alle;person;454;
befolkning_opprinnelsesland;2015;02;152;alle;person;543;
befolkning_opprinnelsesland;2015;02;153;alle;person;173;
befolkning_opprinnelsesland;2015;02;154;alle;person;.;
befolkning_opprinnelsesland;2015;02;155;alle;person;1262;
befolkning_opprinnelsesland;2015;02;156;alle;person;305;
befolkning_opprinnelsesland;2015;02;157;alle;person;443;
befolkning_opprinnelsesland;2015;02;158;alle;person;273;
befolkning_opprinnelsesland;2015;02;159;alle;person;478;
befolkning_opprinnelsesland;2015;02;160;alle;person;53;
befolkning_opprinnelsesland;2015;02;161;alle;person;1348;
befolkning_opprinnelsesland;2015;02;162;alle;person;.;
befolkning_opprinnelsesland;2015;02;163;alle;person;.;
befolkning_opprinnelsesland;2015;02;164;alle;person;.;
befolkning_opprinnelsesland;2015;02;203;alle;person;100;
befolkning_opprinnelsesland;2015;02;204;alle;person;53;
befolkning_opprinnelsesland;2015;02;205;alle;person;6;
befolkning_opprinnelsesland;2015;02;209;alle;person;.;
befolkning_opprinnelsesland;2015;02;213;alle;person;:;
befolkning_opprinnelsesland;2015;02;216;alle;person;74;
befolkning_opprinnelsesland;2015;02;220;alle;person;.;
befolkning_opprinnelsesland;2015;02;229;alle;person;:;
befolkning_opprinnelsesland;2015;02;235;alle;person;4;
befolkning_opprinnelsesland;2015;02;239;alle;person;22;
befolkning_opprinnelsesland;2015;02;241;alle;person;1325;
befolkning_opprinnelsesland;2015;02;246;alle;person;601;
befolkning_opprinnelsesland;2015;02;249;alle;person;139;
befolkning_opprinnelsesland;2015;02;250;alle;person;16;
befolkning_opprinnelsesland;2015;02;254;alle;person;:;
befolkning_opprinnelsesland;2015;02;256;alle;person;97;
befolkning_opprinnelsesland;2015;02;260;alle;person;232;
befolkning_opprinnelsesland;2015;02;264;alle;person;32;
befolkning_opprinnelsesland;2015;02;266;alle;person;:;
befolkning_opprinnelsesland;2015;02;270;alle;person;66;
befolkning_opprinnelsesland;2015;02;273;alle;person;47;
befolkning_opprinnelsesland;2015;02;276;alle;person;223;
befolkning_opprinnelsesland;2015;02;278;alle;person;16;
befolkning_opprinnelsesland;2015;02;279;alle;person;191;
befolkning_opprinnelsesland;2015;02;281;alle;person;:;
befolkning_opprinnelsesland;2015;02;283;alle;person;76;
befolkning_opprinnelsesland;2015;02;286;alle;person;30;
befolkning_opprinnelsesland;2015;02;289;alle;person;28;
befolkning_opprinnelsesland;2015;02;296;alle;person;12;
befolkning_opprinnelsesland;2015;02;299;alle;person;4;
befolkning_opprinnelsesland;2015;02;303;alle;person;443;
befolkning_opprinnelsesland;2015;02;304;alle;person;:;
befolkning_opprinnelsesland;2015;02;306;alle;person;:;
befolkning_opprinnelsesland;2015;02;307;alle;person;27;
befolkning_opprinnelsesland;2015;02;308;alle;person;11;
befolkning_opprinnelsesland;2015;02;309;alle;person;6;
befolkning_opprinnelsesland;2015;02;313;alle;person;158;
befolkning_opprinnelsesland;2015;02;319;alle;person;19;
befolkning_opprinnelsesland;2015;02;322;alle;person;.;
