kommune_nr,aar,enhet,tabell_navn,tilskudd_til_kommuner,tabellvariabel
1520,2015,kroner,tilskudd,barnehage_tilsk,73200
1523,2015,kroner,tilskudd,barnehage_tilsk,0
1524,2015,kroner,tilskudd,barnehage_tilsk,0
1525,2015,kroner,tilskudd,barnehage_tilsk,0
1526,2015,kroner,tilskudd,barnehage_tilsk,0
1528,2015,kroner,tilskudd,barnehage_tilsk,0
1529,2015,kroner,tilskudd,barnehage_tilsk,97600
1531,2015,kroner,tilskudd,barnehage_tilsk,0
1532,2015,kroner,tilskudd,barnehage_tilsk,0
1534,2015,kroner,tilskudd,barnehage_tilsk,119000
1535,2015,kroner,tilskudd,barnehage_tilsk,48800
1539,2015,kroner,tilskudd,barnehage_tilsk,0
1543,2015,kroner,tilskudd,barnehage_tilsk,48800
1545,2015,kroner,tilskudd,barnehage_tilsk,0
1546,2015,kroner,tilskudd,barnehage_tilsk,0
1547,2015,kroner,tilskudd,barnehage_tilsk,24400
1548,2015,kroner,tilskudd,barnehage_tilsk,24400
1551,2015,kroner,tilskudd,barnehage_tilsk,0
1554,2015,kroner,tilskudd,barnehage_tilsk,24400
1557,2015,kroner,tilskudd,barnehage_tilsk,0
1560,2015,kroner,tilskudd,barnehage_tilsk,0
1563,2015,kroner,tilskudd,barnehage_tilsk,121000
1566,2015,kroner,tilskudd,barnehage_tilsk,47800
1567,2015,kroner,tilskudd,barnehage_tilsk,24400
1571,2015,kroner,tilskudd,barnehage_tilsk,0
1573,2015,kroner,tilskudd,barnehage_tilsk,24400
1576,2015,kroner,tilskudd,barnehage_tilsk,0
1601,2015,kroner,tilskudd,barnehage_tilsk,1381300
1612,2015,kroner,tilskudd,barnehage_tilsk,24400
1613,2015,kroner,tilskudd,barnehage_tilsk,0
1617,2015,kroner,tilskudd,barnehage_tilsk,0
1620,2015,kroner,tilskudd,barnehage_tilsk,0
1621,2015,kroner,tilskudd,barnehage_tilsk,97600
1622,2015,kroner,tilskudd,barnehage_tilsk,0
1624,2015,kroner,tilskudd,barnehage_tilsk,47800
1627,2015,kroner,tilskudd,barnehage_tilsk,24400
1630,2015,kroner,tilskudd,barnehage_tilsk,73200
1632,2015,kroner,tilskudd,barnehage_tilsk,0
1633,2015,kroner,tilskudd,barnehage_tilsk,0
1634,2015,kroner,tilskudd,barnehage_tilsk,119000
1635,2015,kroner,tilskudd,barnehage_tilsk,48800
1636,2015,kroner,tilskudd,barnehage_tilsk,48800
1638,2015,kroner,tilskudd,barnehage_tilsk,96600
1640,2015,kroner,tilskudd,barnehage_tilsk,0
1644,2015,kroner,tilskudd,barnehage_tilsk,0
1648,2015,kroner,tilskudd,barnehage_tilsk,23400
1653,2015,kroner,tilskudd,barnehage_tilsk,146400
1657,2015,kroner,tilskudd,barnehage_tilsk,0
1662,2015,kroner,tilskudd,barnehage_tilsk,0
1663,2015,kroner,tilskudd,barnehage_tilsk,48800
1664,2015,kroner,tilskudd,barnehage_tilsk,72200
