tabell_navn;aar;naringsregion_nr;vreg_3;botid_5;enhet;tabellvariabel
Befolkning_botid;2015;11;2;5_9;person;368
Befolkning_botid;2015;11;1;10+;person;824
Befolkning_botid;2015;11;2;10+;person;892
Befolkning_botid;2015;12;1;0_4;person;1776
Befolkning_botid;2015;12;2;0_4;person;1286
Befolkning_botid;2015;12;1;5_9;person;904
Befolkning_botid;2015;12;2;5_9;person;930
Befolkning_botid;2015;12;1;10+;person;1215
Befolkning_botid;2015;12;2;10+;person;1519
Befolkning_botid;2015;13;1;0_4;person;697
Befolkning_botid;2015;13;2;0_4;person;660
Befolkning_botid;2015;13;1;5_9;person;323
Befolkning_botid;2015;13;2;5_9;person;316
Befolkning_botid;2015;13;1;10+;person;546
Befolkning_botid;2015;13;2;10+;person;530
Befolkning_botid;2015;14;1;0_4;person;1351
Befolkning_botid;2015;14;2;0_4;person;1201
Befolkning_botid;2015;14;1;5_9;person;664
Befolkning_botid;2015;14;2;5_9;person;669
Befolkning_botid;2015;14;1;10+;person;751
Befolkning_botid;2015;14;2;10+;person;1392
Befolkning_botid;2015;15;1;0_4;person;504
Befolkning_botid;2015;15;2;0_4;person;579
Befolkning_botid;2015;15;1;5_9;person;313
Befolkning_botid;2015;15;2;5_9;person;251
Befolkning_botid;2015;15;1;10+;person;353
Befolkning_botid;2015;15;2;10+;person;393
Befolkning_botid;2015;16;1;0_4;person;739
Befolkning_botid;2015;16;2;0_4;person;559
Befolkning_botid;2015;16;1;5_9;person;403
Befolkning_botid;2015;16;2;5_9;person;499
Befolkning_botid;2015;16;1;10+;person;584
Befolkning_botid;2015;16;2;10+;person;726
Befolkning_botid;2015;17;1;0_4;person;294
Befolkning_botid;2015;17;2;0_4;person;154
Befolkning_botid;2015;17;1;5_9;person;230
Befolkning_botid;2015;17;2;5_9;person;63
Befolkning_botid;2015;17;1;10+;person;117
Befolkning_botid;2015;17;2;10+;person;98
Befolkning_botid;2015;18;1;0_4;person;270
Befolkning_botid;2015;18;2;0_4;person;394
Befolkning_botid;2015;18;1;5_9;person;174
Befolkning_botid;2015;18;2;5_9;person;102
Befolkning_botid;2015;18;1;10+;person;126
Befolkning_botid;2015;18;2;10+;person;86
Befolkning_botid;2015;19;1;0_4;person;460
Befolkning_botid;2015;19;2;0_4;person;359
Befolkning_botid;2015;19;1;5_9;person;309
Befolkning_botid;2015;19;2;5_9;person;102
Befolkning_botid;2015;19;1;10+;person;216
Befolkning_botid;2015;19;2;10+;person;147
Befolkning_botid;2015;20;1;0_4;person;6040
Befolkning_botid;2015;20;2;0_4;person;3163
Befolkning_botid;2015;20;1;5_9;person;3546
Befolkning_botid;2015;20;2;5_9;person;2746
Befolkning_botid;2015;20;1;10+;person;3895
Befolkning_botid;2015;20;2;10+;person;8955
Befolkning_botid;2015;21;1;0_4;person;832
Befolkning_botid;2015;21;2;0_4;person;414
Befolkning_botid;2015;21;1;5_9;person;520
Befolkning_botid;2015;21;2;5_9;person;174
Befolkning_botid;2015;21;1;10+;person;430
Befolkning_botid;2015;21;2;10+;person;243
Befolkning_botid;2015;22;1;0_4;person;1007
Befolkning_botid;2015;22;2;0_4;person;879
Befolkning_botid;2015;22;1;5_9;person;479
Befolkning_botid;2015;22;2;5_9;person;463
Befolkning_botid;2015;22;1;10+;person;610
Befolkning_botid;2015;22;2;10+;person;688
Befolkning_botid;2015;23;1;0_4;person;438
Befolkning_botid;2015;23;2;0_4;person;209
Befolkning_botid;2015;23;1;5_9;person;354
Befolkning_botid;2015;23;2;5_9;person;170
Befolkning_botid;2015;23;1;10+;person;238
Befolkning_botid;2015;23;2;10+;person;224
Befolkning_botid;2015;24;1;0_4;person;906
Befolkning_botid;2015;24;2;0_4;person;513
Befolkning_botid;2015;24;1;5_9;person;641
Befolkning_botid;2015;24;2;5_9;person;410
Befolkning_botid;2015;24;1;10+;person;658
Befolkning_botid;2015;24;2;10+;person;881
Befolkning_botid;2015;25;1;0_4;person;3310
Befolkning_botid;2015;25;2;0_4;person;1846
Befolkning_botid;2015;25;1;5_9;person;2048
Befolkning_botid;2015;25;2;5_9;person;1303
Befolkning_botid;2015;25;1;10+;person;2458
Befolkning_botid;2015;25;2;10+;person;3320
Befolkning_botid;2015;26;1;0_4;person;2135
Befolkning_botid;2015;26;2;0_4;person;1143
Befolkning_botid;2015;26;1;5_9;person;1422
Befolkning_botid;2015;26;2;5_9;person;1071
Befolkning_botid;2015;26;1;10+;person;1654
Befolkning_botid;2015;26;2;10+;person;2979
Befolkning_botid;2015;27;1;0_4;person;1778
Befolkning_botid;2015;27;2;0_4;person;2146
Befolkning_botid;2015;27;1;5_9;person;1219
Befolkning_botid;2015;27;2;5_9;person;1645
Befolkning_botid;2015;27;1;10+;person;1906
Befolkning_botid;2015;27;2;10+;person;3551
Befolkning_botid;2015;28;1;0_4;person;483
Befolkning_botid;2015;28;2;0_4;person;351
Befolkning_botid;2015;28;1;5_9;person;179
Befolkning_botid;2015;28;2;5_9;person;197
Befolkning_botid;2015;28;1;10+;person;220
Befolkning_botid;2015;28;2;10+;person;285
Befolkning_botid;2015;29;1;0_4;person;360
Befolkning_botid;2015;29;2;0_4;person;445
Befolkning_botid;2015;29;1;5_9;person;205
Befolkning_botid;2015;29;2;5_9;person;178
Befolkning_botid;2015;29;1;10+;person;303
Befolkning_botid;2015;29;2;10+;person;328
Befolkning_botid;2015;30;1;0_4;person;304
Befolkning_botid;2015;30;2;0_4;person;128
Befolkning_botid;2015;30;1;5_9;person;241
Befolkning_botid;2015;30;2;5_9;person;62
Befolkning_botid;2015;30;1;10+;person;232
Befolkning_botid;2015;30;2;10+;person;114
Befolkning_botid;2015;31;1;0_4;person;107
Befolkning_botid;2015;31;2;0_4;person;132
Befolkning_botid;2015;31;1;5_9;person;121
Befolkning_botid;2015;31;2;5_9;person;127
Befolkning_botid;2015;31;1;10+;person;112
Befolkning_botid;2015;31;2;10+;person;123
Befolkning_botid;2015;32;1;0_4;person;2003
Befolkning_botid;2015;32;2;0_4;person;1595
Befolkning_botid;2015;32;1;5_9;person;1476
Befolkning_botid;2015;32;2;5_9;person;1002
Befolkning_botid;2015;32;1;10+;person;1561
Befolkning_botid;2015;32;2;10+;person;1867
Befolkning_botid;2015;33;1;0_4;person;608
Befolkning_botid;2015;33;2;0_4;person;774
Befolkning_botid;2015;33;1;5_9;person;535
Befolkning_botid;2015;33;2;5_9;person;332
Befolkning_botid;2015;33;1;10+;person;678
Befolkning_botid;2015;33;2;10+;person;539
Befolkning_botid;2015;34;1;0_4;person;446
Befolkning_botid;2015;34;2;0_4;person;479
Befolkning_botid;2015;34;1;5_9;person;456
Befolkning_botid;2015;34;2;5_9;person;252
Befolkning_botid;2015;34;1;10+;person;377
Befolkning_botid;2015;34;2;10+;person;396
Befolkning_botid;2015;35;1;0_4;person;2559
Befolkning_botid;2015;35;2;0_4;person;2651
Befolkning_botid;2015;35;1;5_9;person;1747
Befolkning_botid;2015;35;2;5_9;person;1979
Befolkning_botid;2015;35;1;10+;person;2347
Befolkning_botid;2015;35;2;10+;person;5101
Befolkning_botid;2015;36;1;0_4;person;588
Befolkning_botid;2015;36;2;0_4;person;443
Befolkning_botid;2015;36;1;5_9;person;424
Befolkning_botid;2015;36;2;5_9;person;266
Befolkning_botid;2015;36;1;10+;person;324
Befolkning_botid;2015;36;2;10+;person;295
Befolkning_botid;2015;37;1;0_4;person;3387
Befolkning_botid;2015;37;2;0_4;person;1497
Befolkning_botid;2015;37;1;5_9;person;2031
Befolkning_botid;2015;37;2;5_9;person;1102
Befolkning_botid;2015;37;1;10+;person;1284
Befolkning_botid;2015;37;2;10+;person;1816
Befolkning_botid;2015;38;1;0_4;person;767
Befolkning_botid;2015;38;2;0_4;person;415
Befolkning_botid;2015;38;1;5_9;person;506
Befolkning_botid;2015;38;2;5_9;person;169
Befolkning_botid;2015;38;1;10+;person;302
