"naringsregion_nr","bosetting","enhet","tabellvariabel","tabell_navn","aar"
"83","vedtak","personer","130","bosatt_anmodede","2014"
"99","vedtak","personer","0","bosatt_anmodede","2014"
"01","anmodning","prosent","100","bosatt_anmodede","2014"
"02","anmodning","prosent","100","bosatt_anmodede","2014"
"03","anmodning","prosent","100","bosatt_anmodede","2014"
"04","anmodning","prosent","100","bosatt_anmodede","2014"
"05","anmodning","prosent","100","bosatt_anmodede","2014"
"06","anmodning","prosent","100","bosatt_anmodede","2014"
"07","anmodning","prosent","100","bosatt_anmodede","2014"
"08","anmodning","prosent","100","bosatt_anmodede","2014"
"09","anmodning","prosent","100","bosatt_anmodede","2014"
"10","anmodning","prosent","100","bosatt_anmodede","2014"
"11","anmodning","prosent","100","bosatt_anmodede","2014"
"12","anmodning","prosent","100","bosatt_anmodede","2014"
"13","anmodning","prosent","100","bosatt_anmodede","2014"
"14","anmodning","prosent","100","bosatt_anmodede","2014"
"15","anmodning","prosent","100","bosatt_anmodede","2014"
"16","anmodning","prosent","100","bosatt_anmodede","2014"
"17","anmodning","prosent","100","bosatt_anmodede","2014"
"18","anmodning","prosent","100","bosatt_anmodede","2014"
"19","anmodning","prosent","100","bosatt_anmodede","2014"
"20","anmodning","prosent","100","bosatt_anmodede","2014"
"21","anmodning","prosent","100","bosatt_anmodede","2014"
"22","anmodning","prosent","100","bosatt_anmodede","2014"
"23","anmodning","prosent","100","bosatt_anmodede","2014"
"24","anmodning","prosent","100","bosatt_anmodede","2014"
"25","anmodning","prosent","100","bosatt_anmodede","2014"
"26","anmodning","prosent","100","bosatt_anmodede","2014"
"27","anmodning","prosent","100","bosatt_anmodede","2014"
"28","anmodning","prosent","100","bosatt_anmodede","2014"
"29","anmodning","prosent","100","bosatt_anmodede","2014"
"30","anmodning","prosent","100","bosatt_anmodede","2014"
"31","anmodning","prosent","100","bosatt_anmodede","2014"
"32","anmodning","prosent","100","bosatt_anmodede","2014"
"33","anmodning","prosent","100","bosatt_anmodede","2014"
"34","anmodning","prosent","100","bosatt_anmodede","2014"
"35","anmodning","prosent","100","bosatt_anmodede","2014"
"36","anmodning","prosent","100","bosatt_anmodede","2014"
"37","anmodning","prosent","100","bosatt_anmodede","2014"
"38","anmodning","prosent","100","bosatt_anmodede","2014"
"39","anmodning","prosent","100","bosatt_anmodede","2014"
"40","anmodning","prosent","100","bosatt_anmodede","2014"
"41","anmodning","prosent","100","bosatt_anmodede","2014"
"42","anmodning","prosent","100","bosatt_anmodede","2014"
"43","anmodning","prosent","100","bosatt_anmodede","2014"
"44","anmodning","prosent","100","bosatt_anmodede","2014"
"45","anmodning","prosent","100","bosatt_anmodede","2014"
"46","anmodning","prosent","100","bosatt_anmodede","2014"
"47","anmodning","prosent","100","bosatt_anmodede","2014"
"48","anmodning","prosent","100","bosatt_anmodede","2014"
"49","anmodning","prosent","100","bosatt_anmodede","2014"
"50","anmodning","prosent","100","bosatt_anmodede","2014"
"51","anmodning","prosent","100","bosatt_anmodede","2014"
"52","anmodning","prosent","100","bosatt_anmodede","2014"
"53","anmodning","prosent","100","bosatt_anmodede","2014"
"54","anmodning","prosent","100","bosatt_anmodede","2014"
"55","anmodning","prosent","100","bosatt_anmodede","2014"
"56","anmodning","prosent","100","bosatt_anmodede","2014"
"57","anmodning","prosent","100","bosatt_anmodede","2014"
