"aar","bydel_nr","vreg_2","kjonn","enhet","tabellvariabel","tabell_navn","vreg_5","vreg_9","fylke_nr","naringsregion_nr","kommune_nr"
"2014","030109","NULL","alle","personer","1481","befolkning_verdensregion","NULL","afrika","NULL","NULL","NULL"
"2014","030109","NULL","alle","personer","248","befolkning_verdensregion","NULL","sor_og_mellom_amerika","NULL","NULL","NULL"
"2014","030110","1","0","personer","719","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030110","1","1","personer","926","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030110","1","alle","personer","1645","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030110","2","0","personer","3531","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030110","2","1","personer","3468","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030110","2","alle","personer","6999","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030110","NULL","alle","personer","2243","befolkning_verdensregion","europa","NULL","NULL","NULL","NULL"
"2014","030110","NULL","alle","personer","4204","befolkning_verdensregion","asia","NULL","NULL","NULL","NULL"
"2014","030110","NULL","alle","personer","1777","befolkning_verdensregion","afrika","NULL","NULL","NULL","NULL"
"2014","030110","NULL","alle","personer","48","befolkning_verdensregion","nord_amerika_oseania","NULL","NULL","NULL","NULL"
"2014","030110","NULL","alle","personer","364","befolkning_verdensregion","sor_og_mellom_amerika","NULL","NULL","NULL","NULL"
"2014","030110","NULL","alle","personer","315","befolkning_verdensregion","NULL","norden","NULL","NULL","NULL"
"2014","030110","NULL","alle","personer","254","befolkning_verdensregion","NULL","vest_europa","NULL","NULL","NULL"
"2014","030110","NULL","alle","personer","1028","befolkning_verdensregion","NULL","eu_ost_europa","NULL","NULL","NULL"
"2014","030110","NULL","alle","personer","646","befolkning_verdensregion","NULL","ost_europa_ellers","NULL","NULL","NULL"
"2014","030110","NULL","alle","personer","48","befolkning_verdensregion","NULL","nord_amerika_oseania","NULL","NULL","NULL"
"2014","030110","NULL","alle","personer","4204","befolkning_verdensregion","NULL","asia","NULL","NULL","NULL"
"2014","030110","NULL","alle","personer","1777","befolkning_verdensregion","NULL","afrika","NULL","NULL","NULL"
"2014","030110","NULL","alle","personer","364","befolkning_verdensregion","NULL","sor_og_mellom_amerika","NULL","NULL","NULL"
"2014","030111","1","0","personer","680","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030111","1","1","personer","1149","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030111","1","alle","personer","1829","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030111","2","0","personer","4336","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030111","2","1","personer","4343","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030111","2","alle","personer","8679","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030111","NULL","alle","personer","2284","befolkning_verdensregion","europa","NULL","NULL","NULL","NULL"
"2014","030111","NULL","alle","personer","6321","befolkning_verdensregion","asia","NULL","NULL","NULL","NULL"
"2014","030111","NULL","alle","personer","1684","befolkning_verdensregion","afrika","NULL","NULL","NULL","NULL"
"2014","030111","NULL","alle","personer","27","befolkning_verdensregion","nord_amerika_oseania","NULL","NULL","NULL","NULL"
"2014","030111","NULL","alle","personer","190","befolkning_verdensregion","sor_og_mellom_amerika","NULL","NULL","NULL","NULL"
"2014","030111","NULL","alle","personer","356","befolkning_verdensregion","NULL","norden","NULL","NULL","NULL"
"2014","030111","NULL","alle","personer","286","befolkning_verdensregion","NULL","vest_europa","NULL","NULL","NULL"
"2014","030111","NULL","alle","personer","1162","befolkning_verdensregion","NULL","eu_ost_europa","NULL","NULL","NULL"
"2014","030111","NULL","alle","personer","480","befolkning_verdensregion","NULL","ost_europa_ellers","NULL","NULL","NULL"
"2014","030111","NULL","alle","personer","27","befolkning_verdensregion","NULL","nord_amerika_oseania","NULL","NULL","NULL"
"2014","030111","NULL","alle","personer","6321","befolkning_verdensregion","NULL","asia","NULL","NULL","NULL"
"2014","030111","NULL","alle","personer","1684","befolkning_verdensregion","NULL","afrika","NULL","NULL","NULL"
"2014","030111","NULL","alle","personer","190","befolkning_verdensregion","NULL","sor_og_mellom_amerika","NULL","NULL","NULL"
"2014","030112","1","0","personer","1171","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030112","1","1","personer","1631","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030112","1","alle","personer","2802","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030112","2","0","personer","6733","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030112","2","1","personer","6657","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030112","2","alle","personer","13390","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030112","NULL","alle","personer","4251","befolkning_verdensregion","europa","NULL","NULL","NULL","NULL"
"2014","030112","NULL","alle","personer","8756","befolkning_verdensregion","asia","NULL","NULL","NULL","NULL"
"2014","030112","NULL","alle","personer","2661","befolkning_verdensregion","afrika","NULL","NULL","NULL","NULL"
"2014","030112","NULL","alle","personer","76","befolkning_verdensregion","nord_amerika_oseania","NULL","NULL","NULL","NULL"
"2014","030112","NULL","alle","personer","442","befolkning_verdensregion","sor_og_mellom_amerika","NULL","NULL","NULL","NULL"
"2014","030112","NULL","alle","personer","538","befolkning_verdensregion","NULL","norden","NULL","NULL","NULL"
"2014","030112","NULL","alle","personer","531","befolkning_verdensregion","NULL","vest_europa","NULL","NULL","NULL"
"2014","030112","NULL","alle","personer","1654","befolkning_verdensregion","NULL","eu_ost_europa","NULL","NULL","NULL"
"2014","030112","NULL","alle","personer","1528","befolkning_verdensregion","NULL","ost_europa_ellers","NULL","NULL","NULL"
"2014","030112","NULL","alle","personer","76","befolkning_verdensregion","NULL","nord_amerika_oseania","NULL","NULL","NULL"
"2014","030112","NULL","alle","personer","8756","befolkning_verdensregion","NULL","asia","NULL","NULL","NULL"
"2014","030112","NULL","alle","personer","2661","befolkning_verdensregion","NULL","afrika","NULL","NULL","NULL"
"2014","030112","NULL","alle","personer","442","befolkning_verdensregion","NULL","sor_og_mellom_amerika","NULL","NULL","NULL"
"2014","030113","1","0","personer","1236","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030113","1","1","personer","1417","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030113","1","alle","personer","2653","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030113","2","0","personer","3027","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030113","2","1","personer","2665","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030113","2","alle","personer","5692","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030113","NULL","alle","personer","3504","befolkning_verdensregion","europa","NULL","NULL","NULL","NULL"
"2014","030113","NULL","alle","personer","3161","befolkning_verdensregion","asia","NULL","NULL","NULL","NULL"
"2014","030113","NULL","alle","personer","1298","befolkning_verdensregion","afrika","NULL","NULL","NULL","NULL"
"2014","030113","NULL","alle","personer","112","befolkning_verdensregion","nord_amerika_oseania","NULL","NULL","NULL","NULL"
"2014","030113","NULL","alle","personer","267","befolkning_verdensregion","sor_og_mellom_amerika","NULL","NULL","NULL","NULL"
