tabell_navn;aar;kommune_id;vreg_2;kjonn;enhet;tabellvariabel;
befolkning_verdensregion;2015;0419;1;alle;person;282;
befolkning_verdensregion;2015;0419;2;alle;person;164;
befolkning_verdensregion;2015;0419;1;1;person;146;
befolkning_verdensregion;2015;0419;2;1;person;64;
befolkning_verdensregion;2015;0419;1;0;person;136;
befolkning_verdensregion;2015;0419;2;0;person;100;
befolkning_verdensregion;2015;0420;1;alle;person;241;
befolkning_verdensregion;2015;0420;2;alle;person;166;
befolkning_verdensregion;2015;0420;1;1;person;113;
befolkning_verdensregion;2015;0420;2;1;person;53;
befolkning_verdensregion;2015;0420;1;0;person;128;
befolkning_verdensregion;2015;0420;2;0;person;113;
befolkning_verdensregion;2015;0423;1;alle;person;183;
befolkning_verdensregion;2015;0423;2;alle;person;147;
befolkning_verdensregion;2015;0423;1;1;person;88;
befolkning_verdensregion;2015;0423;2;1;person;75;
befolkning_verdensregion;2015;0423;1;0;person;95;
befolkning_verdensregion;2015;0423;2;0;person;72;
befolkning_verdensregion;2015;0425;1;alle;person;233;
befolkning_verdensregion;2015;0425;2;alle;person;285;
befolkning_verdensregion;2015;0425;1;1;person;125;
befolkning_verdensregion;2015;0425;2;1;person;158;
befolkning_verdensregion;2015;0425;1;0;person;108;
befolkning_verdensregion;2015;0425;2;0;person;127;
befolkning_verdensregion;2015;0426;1;alle;person;179;
befolkning_verdensregion;2015;0426;2;alle;person;57;
befolkning_verdensregion;2015;0426;1;1;person;94;
befolkning_verdensregion;2015;0426;2;1;person;15;
befolkning_verdensregion;2015;0426;1;0;person;85;
befolkning_verdensregion;2015;0426;2;0;person;42;
befolkning_verdensregion;2015;0427;1;alle;person;745;
befolkning_verdensregion;2015;0427;2;alle;person;990;
befolkning_verdensregion;2015;0427;1;1;person;402;
befolkning_verdensregion;2015;0427;2;1;person;461;
befolkning_verdensregion;2015;0427;1;0;person;343;
befolkning_verdensregion;2015;0427;2;0;person;529;
befolkning_verdensregion;2015;0428;1;alle;person;397;
befolkning_verdensregion;2015;0428;2;alle;person;174;
befolkning_verdensregion;2015;0428;1;1;person;210;
befolkning_verdensregion;2015;0428;2;1;person;86;
befolkning_verdensregion;2015;0428;1;0;person;187;
befolkning_verdensregion;2015;0428;2;0;person;88;
befolkning_verdensregion;2015;0429;1;alle;person;221;
befolkning_verdensregion;2015;0429;2;alle;person;85;
befolkning_verdensregion;2015;0429;1;1;person;111;
befolkning_verdensregion;2015;0429;2;1;person;35;
befolkning_verdensregion;2015;0429;1;0;person;110;
befolkning_verdensregion;2015;0429;2;0;person;50;
befolkning_verdensregion;2015;0430;1;alle;person;145;
befolkning_verdensregion;2015;0430;2;alle;person;169;
befolkning_verdensregion;2015;0430;1;1;person;72;
befolkning_verdensregion;2015;0430;2;1;person;123;
befolkning_verdensregion;2015;0430;1;0;person;73;
befolkning_verdensregion;2015;0430;2;0;person;46;
befolkning_verdensregion;2015;0432;1;alle;person;63;
befolkning_verdensregion;2015;0432;2;alle;person;36;
befolkning_verdensregion;2015;0432;1;1;person;35;
befolkning_verdensregion;2015;0432;2;1;person;12;
befolkning_verdensregion;2015;0432;1;0;person;28;
befolkning_verdensregion;2015;0432;2;0;person;24;
befolkning_verdensregion;2015;0434;1;alle;person;58;
befolkning_verdensregion;2015;0434;2;alle;person;88;
befolkning_verdensregion;2015;0434;1;1;person;20;
befolkning_verdensregion;2015;0434;2;1;person;44;
befolkning_verdensregion;2015;0434;1;0;person;38;
befolkning_verdensregion;2015;0434;2;0;person;44;
befolkning_verdensregion;2015;0436;1;alle;person;100;
befolkning_verdensregion;2015;0436;2;alle;person;74;
befolkning_verdensregion;2015;0436;1;1;person;52;
befolkning_verdensregion;2015;0436;2;1;person;37;
befolkning_verdensregion;2015;0436;1;0;person;48;
befolkning_verdensregion;2015;0436;2;0;person;37;
befolkning_verdensregion;2015;0437;1;alle;person;322;
befolkning_verdensregion;2015;0437;2;alle;person;208;
befolkning_verdensregion;2015;0437;1;1;person;185;
befolkning_verdensregion;2015;0437;2;1;person;103;
befolkning_verdensregion;2015;0437;1;0;person;137;
befolkning_verdensregion;2015;0437;2;0;person;105;
befolkning_verdensregion;2015;0438;1;alle;person;65;
befolkning_verdensregion;2015;0438;2;alle;person;67;
befolkning_verdensregion;2015;0438;1;1;person;33;
befolkning_verdensregion;2015;0438;2;1;person;28;
befolkning_verdensregion;2015;0438;1;0;person;32;
befolkning_verdensregion;2015;0438;2;0;person;39;
befolkning_verdensregion;2015;0439;1;alle;person;41;
befolkning_verdensregion;2015;0439;2;alle;person;24;
befolkning_verdensregion;2015;0439;1;1;person;17;
befolkning_verdensregion;2015;0439;2;1;person;10;
befolkning_verdensregion;2015;0439;1;0;person;24;
befolkning_verdensregion;2015;0439;2;0;person;14;
befolkning_verdensregion;2015;0441;1;alle;person;115;
befolkning_verdensregion;2015;0441;2;alle;person;53;
befolkning_verdensregion;2015;0441;1;1;person;63;
befolkning_verdensregion;2015;0441;2;1;person;24;
befolkning_verdensregion;2015;0441;1;0;person;52;
befolkning_verdensregion;2015;0441;2;0;person;29;
befolkning_verdensregion;2015;0501;1;alle;person;1170;
befolkning_verdensregion;2015;0501;2;alle;person;1462;
befolkning_verdensregion;2015;0501;1;1;person;623;
befolkning_verdensregion;2015;0501;2;1;person;699;
befolkning_verdensregion;2015;0501;1;0;person;547;
befolkning_verdensregion;2015;0501;2;0;person;763;
befolkning_verdensregion;2015;0502;1;alle;person;1275;
befolkning_verdensregion;2015;0502;2;alle;person;1926;
befolkning_verdensregion;2015;0502;1;1;person;707;
befolkning_verdensregion;2015;0502;2;1;person;949;
befolkning_verdensregion;2015;0502;1;0;person;568;
befolkning_verdensregion;2015;0502;2;0;person;977;
befolkning_verdensregion;2015;0511;1;alle;person;131;
befolkning_verdensregion;2015;0511;2;alle;person;118;
befolkning_verdensregion;2015;0511;1;1;person;66;
befolkning_verdensregion;2015;0511;2;1;person;49;
befolkning_verdensregion;2015;0511;1;0;person;65;
befolkning_verdensregion;2015;0511;2;0;person;69;
befolkning_verdensregion;2015;0512;1;alle;person;113;
befolkning_verdensregion;2015;0512;2;alle;person;21;
befolkning_verdensregion;2015;0512;1;1;person;58;
befolkning_verdensregion;2015;0512;2;1;person;6;
befolkning_verdensregion;2015;0512;1;0;person;55;
befolkning_verdensregion;2015;0512;2;0;person;15;
befolkning_verdensregion;2015;0513;1;alle;person;73;
befolkning_verdensregion;2015;0513;2;alle;person;62;
befolkning_verdensregion;2015;0513;1;1;person;51;
befolkning_verdensregion;2015;0513;2;1;person;29;
befolkning_verdensregion;2015;0513;1;0;person;22;
befolkning_verdensregion;2015;0513;2;0;person;33;
befolkning_verdensregion;2015;0514;1;alle;person;54;
befolkning_verdensregion;2015;0514;2;alle;person;62;
befolkning_verdensregion;2015;0514;1;1;person;33;
befolkning_verdensregion;2015;0514;2;1;person;32;
befolkning_verdensregion;2015;0514;1;0;person;21;
befolkning_verdensregion;2015;0514;2;0;person;30;
befolkning_verdensregion;2015;0515;1;alle;person;72;
befolkning_verdensregion;2015;0515;2;alle;person;98;
befolkning_verdensregion;2015;0515;1;1;person;41;
befolkning_verdensregion;2015;0515;2;1;person;30;
befolkning_verdensregion;2015;0515;1;0;person;31;
befolkning_verdensregion;2015;0515;2;0;person;68;
befolkning_verdensregion;2015;0516;1;alle;person;196;
