tabell_navn;aar;naringsregion_id;vreg_9;kjonn;enhet;tabellvariabel;
befolkning_verdensregion;2015;28;vest_europa;alle;person;240;
befolkning_verdensregion;2015;28;eu_ost_europa;alle;person;393;
befolkning_verdensregion;2015;28;ost_europa_ellers;alle;person;146;
befolkning_verdensregion;2015;28;nord_amerika_oseania;alle;person;29;
befolkning_verdensregion;2015;28;asia;alle;person;392;
befolkning_verdensregion;2015;28;afrika;alle;person;259;
befolkning_verdensregion;2015;28;sor_og_mellom_amerika;alle;person;36;
befolkning_verdensregion;2015;28;alle;alle;person;1715;
befolkning_verdensregion;2015;29;norden;alle;person;218;
befolkning_verdensregion;2015;29;vest_europa;alle;person;182;
befolkning_verdensregion;2015;29;eu_ost_europa;alle;person;444;
befolkning_verdensregion;2015;29;ost_europa_ellers;alle;person;122;
befolkning_verdensregion;2015;29;nord_amerika_oseania;alle;person;24;
befolkning_verdensregion;2015;29;asia;alle;person;448;
befolkning_verdensregion;2015;29;afrika;alle;person;352;
befolkning_verdensregion;2015;29;sor_og_mellom_amerika;alle;person;28;
befolkning_verdensregion;2015;29;alle;alle;person;1818;
befolkning_verdensregion;2015;30;norden;alle;person;136;
befolkning_verdensregion;2015;30;vest_europa;alle;person;301;
befolkning_verdensregion;2015;30;eu_ost_europa;alle;person;320;
befolkning_verdensregion;2015;30;ost_europa_ellers;alle;person;59;
befolkning_verdensregion;2015;30;nord_amerika_oseania;alle;person;20;
befolkning_verdensregion;2015;30;asia;alle;person;89;
befolkning_verdensregion;2015;30;afrika;alle;person;130;
befolkning_verdensregion;2015;30;sor_og_mellom_amerika;alle;person;26;
befolkning_verdensregion;2015;30;alle;alle;person;1081;
befolkning_verdensregion;2015;31;norden;alle;person;60;
befolkning_verdensregion;2015;31;vest_europa;alle;person;124;
befolkning_verdensregion;2015;31;eu_ost_europa;alle;person;142;
befolkning_verdensregion;2015;31;ost_europa_ellers;alle;person;56;
befolkning_verdensregion;2015;31;nord_amerika_oseania;alle;person;14;
befolkning_verdensregion;2015;31;asia;alle;person;248;
befolkning_verdensregion;2015;31;afrika;alle;person;57;
befolkning_verdensregion;2015;31;sor_og_mellom_amerika;alle;person;21;
befolkning_verdensregion;2015;31;alle;alle;person;722;
befolkning_verdensregion;2015;32;norden;alle;person;1012;
befolkning_verdensregion;2015;32;vest_europa;alle;person;1162;
befolkning_verdensregion;2015;32;eu_ost_europa;alle;person;2619;
befolkning_verdensregion;2015;32;ost_europa_ellers;alle;person;831;
befolkning_verdensregion;2015;32;nord_amerika_oseania;alle;person;250;
befolkning_verdensregion;2015;32;asia;alle;person;2428;
befolkning_verdensregion;2015;32;afrika;alle;person;1001;
befolkning_verdensregion;2015;32;sor_og_mellom_amerika;alle;person;200;
befolkning_verdensregion;2015;32;alle;alle;person;9503;
befolkning_verdensregion;2015;33;norden;alle;person;264;
befolkning_verdensregion;2015;33;vest_europa;alle;person;637;
befolkning_verdensregion;2015;33;eu_ost_europa;alle;person;788;
befolkning_verdensregion;2015;33;ost_europa_ellers;alle;person;442;
befolkning_verdensregion;2015;33;nord_amerika_oseania;alle;person;132;
befolkning_verdensregion;2015;33;asia;alle;person;766;
befolkning_verdensregion;2015;33;afrika;alle;person;336;
befolkning_verdensregion;2015;33;sor_og_mellom_amerika;alle;person;101;
befolkning_verdensregion;2015;33;alle;alle;person;3466;
befolkning_verdensregion;2015;34;norden;alle;person;191;
befolkning_verdensregion;2015;34;vest_europa;alle;person;419;
befolkning_verdensregion;2015;34;eu_ost_europa;alle;person;572;
befolkning_verdensregion;2015;34;ost_europa_ellers;alle;person;213;
befolkning_verdensregion;2015;34;nord_amerika_oseania;alle;person;93;
befolkning_verdensregion;2015;34;asia;alle;person;566;
befolkning_verdensregion;2015;34;afrika;alle;person;284;
befolkning_verdensregion;2015;34;sor_og_mellom_amerika;alle;person;68;
befolkning_verdensregion;2015;34;alle;alle;person;2406;
befolkning_verdensregion;2015;35;norden;alle;person;1713;
befolkning_verdensregion;2015;35;vest_europa;alle;person;1802;
befolkning_verdensregion;2015;35;eu_ost_europa;alle;person;2774;
befolkning_verdensregion;2015;35;ost_europa_ellers;alle;person;1954;
befolkning_verdensregion;2015;35;nord_amerika_oseania;alle;person;362;
befolkning_verdensregion;2015;35;asia;alle;person;4886;
befolkning_verdensregion;2015;35;afrika;alle;person;1925;
befolkning_verdensregion;2015;35;sor_og_mellom_amerika;alle;person;967;
befolkning_verdensregion;2015;35;alle;alle;person;16383;
befolkning_verdensregion;2015;36;norden;alle;person;222;
befolkning_verdensregion;2015;36;vest_europa;alle;person;296;
befolkning_verdensregion;2015;36;eu_ost_europa;alle;person;771;
befolkning_verdensregion;2015;36;ost_europa_ellers;alle;person;118;
befolkning_verdensregion;2015;36;nord_amerika_oseania;alle;person;47;
befolkning_verdensregion;2015;36;asia;alle;person;687;
befolkning_verdensregion;2015;36;afrika;alle;person;165;
befolkning_verdensregion;2015;36;sor_og_mellom_amerika;alle;person;34;
befolkning_verdensregion;2015;36;alle;alle;person;2340;
befolkning_verdensregion;2015;37;norden;alle;person;966;
