Nr;Navn;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24
430;Stor-Elvdal;3;4;5;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1939;Storfjord;4;5;5;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1130;Strand;29;27;27;27;28;52;70;19;38;48;19;67;34;0;11;15;0;0;0;0;0;0;0;0
1525;Stranda;4;7;7;7;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1449;Stryn;19;28;28;28;37;57;57;21;47;29;18;50;11;14;21;29;5;0;4;0;0;0;0;0
1134;Suldal;2;2;2;2;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1245;Sund;4;5;5;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1563;Sunndal;24;25;25;24;17;44;40;12;71;44;28;42;8;4;28;42;4;8;4;0;0;0;0;0
1566;Surnadal;6;6;6;6;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1216;Sveio;9;9;9;9;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1528;Sykkylven;16;35;35;35;0;57;57;9;100;37;20;46;0;6;17;40;0;0;6;0;0;0;0;0
540;Sør-Aurdal;4;13;13;13;:;31;23;8;:;46;38;23;:;23;38;69;:;0;0;0;:;0;0;0
226;Sørum;14;17;17;17;36;59;59;24;50;35;12;53;14;6;29;24;0;0;0;0;0;0;0;0
2030;Sør-Varanger;29;37;37;37;17;35;59;24;69;57;24;46;14;8;11;24;0;0;5;5;0;0;0;5
1121;Time;46;50;50;50;39;58;62;24;46;40;28;48;15;2;8;28;0;0;2;0;0;0;0;0
1560;Tingvoll;1;1;1;1;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
826;Tinn;13;15;15;15;31;47;67;20;54;53;13;53;15;0;20;27;0;0;0;0;0;0;0;0
1927;Tranøy;8;12;12;12;:;17;25;0;:;50;42;42;:;33;25;50;:;0;8;8;:;0;0;8
1902;Tromsø;132;134;134;134;20;49;50;10;61;37;28;56;16;14;16;28;0;0;7;1;2;0;0;1
1601;Trondheim;229;234;234;234;27;53;57;14;50;38;28;53;11;9;12;31;0;0;3;0;11;0;0;0
428;Trysil;2;4;4;4;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
437;Tynset;14;15;15;15;29;27;33;13;36;73;53;33;36;0;13;53;0;0;0;0;0;0;0;0
1850;Tysfjord;6;5;5;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1146;Tysvær;5;10;10;10;:;20;20;0;:;80;70;70;:;0;10;30;:;0;0;0;:;0;0;0
704;Tønsberg;56;76;76;76;59;74;67;28;32;14;9;46;9;12;18;24;0;0;5;0;0;0;0;0
235;Ullensaker;67;90;90;90;48;56;53;16;37;39;30;53;15;6;16;24;0;0;1;4;0;0;0;4
1231;Ullensvang;18;19;19;19;0;26;37;16;56;42;11;26;33;26;37;47;6;5;16;0;6;0;0;0
1516;Ulstein;24;23;23;23;50;52;61;9;50;48;13;70;0;0;26;22;0;0;0;0;0;0;0;0
2003;Vadsø;23;23;23;23;35;48;30;13;26;22;26;43;22;26;22;22;0;4;22;4;17;0;0;2
940;Valle;10;10;10;10;60;40;100;20;40;50;0;70;0;10;0;10;0;0;0;0;0;0;0;0
1824;Vefsn;7;8;8;8;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1014;Vennesla;25;28;28;28;40;43;39;18;36;39;43;39;20;18;14;39;4;0;4;4;0;0;0;3
1721;Verdal;12;15;15;15;58;60;87;47;42;40;13;53;0;0;0;0;0;0;0;0;0;0;0;0
1535;Vestnes;11;12;12;12;45;75;75;33;27;25;25;67;18;0;0;0;0;0;0;0;9;0;0;0
543;Vestre Slidre;3;5;5;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
529;Vestre Toten;31;31;31;31;42;58;77;16;39;32;10;55;19;10;10;16;0;0;3;10;0;0;0;9
1860;Vestvågøy;39;39;35;37;10;38;26;5;72;33;29;41;18;23;31;38;0;5;14;3;0;0;0;2
1750;Vikna;2;3;3;3;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1160;Vindafjord;9;12;12;12;:;33;42;17;:;58;50;50;:;8;8;33;:;0;0;0;:;0;0;0
1519;Volda;12;13;13;13;25;38;69;23;75;54;31;54;0;8;0;23;0;0;0;0;0;0;0;0
1235;Voss;42;40;39;40;19;45;46;12;57;45;44;62;21;10;10;25;0;0;0;0;2;0;0;0
1865;Vågan;9;9;9;9;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1439;Vågsøy;11;11;11;11;55;73;91;45;45;27;0;45;0;0;9;9;0;0;0;0;0;0;0;0
