Nr;Navn;2010;2011;2012;2013;2014
1740;Namsskogan;928;928;916;902;922
1742;Grong;2361;2357;2409;2465;2449
1743;Høylandet;1270;1270;1264;1263;1257
1744;Overhalla;3577;3636;3679;3688;3732
1748;Fosnes;670;653;668;669;642
1749;Flatanger;1104;1109;1141;1158;1120
1750;Vikna;4122;4135;4241;4300;4321
1751;Nærøy;4990;4999;5069;5097;5064
1755;Leka;593;589;573;574;556
1756;Inderøy;0;0;6682;6692;6720
1804;Bodø;47282;47847;48422;49203;49731
1805;Narvik;18402;18380;18473;18509;18705
1811;Bindal;1601;1592;1562;1545;1503
1812;Sømna;2041;2025;2038;2033;2047
1813;Brønnøy;7660;7719;7778;7859;7897
1815;Vega;1288;1270;1256;1238;1223
1816;Vevelstad;510;520;511;500;495
1818;Herøy (Nordl.);1618;1649;1711;1759;1733
1820;Alstahaug;7196;7296;7372;7361;7394
1822;Leirfjord;2140;2160;2107;2144;2188
1824;Vefsn;13388;13307;13258;13252;13286
1825;Grane;1496;1487;1455;1459;1465
1826;Hattfjelldal;1444;1463;1456;1471;1500
1827;Dønna;1431;1449;1433;1431;1420
1828;Nesna;1786;1808;1813;1875;1902
1832;Hemnes;4584;4600;4585;4620;4553
1833;Rana;25282;25499;25652;25752;25943
1834;Lurøy;1900;1912;1937;1916;1901
1835;Træna;489;490;497;506;489
1836;Rødøy;1281;1294;1320;1310;1305
1837;Meløy;6639;6650;6657;6582;6491
1838;Gildeskål;1996;2020;2000;2006;2023
1839;Beiarn;1114;1103;1097;1075;1088
1840;Saltdal;4692;4672;4710;4745;4690
1841;Fauske;9552;9533;9513;9513;9556
1845;Sørfold;1984;1989;2003;1981;1987
1848;Steigen;2619;2619;2609;2552;2579
1849;Hábmer Hamarøy;1752;1771;1783;1791;1820
1850;Divtasvuodna Tysfjord;2007;2002;1956;1978;2000
1851;Lødingen;2181;2196;2179;2220;2248
1852;Tjeldsund;1345;1325;1284;1278;1256
1853;Evenes;1357;1342;1359;1376;1391
1854;Ballangen;2616;2620;2616;2599;2591
1856;Røst;612;605;595;565;566
1857;Værøy;761;748;751;754;777
1859;Flakstad;1369;1360;1383;1376;1368
1860;Vestvågøy;10674;10780;10848;10870;10997
1865;Vågan;9023;9023;9086;9207;9223
1866;Hadsel;7981;7924;7937;8050;8112
1867;Bø (Nordl.);2789;2790;2720;2654;2642
1868;Øksnes;4438;4432;4467;4472;4562
1870;Sortland;9819;9856;9983;10082;10129
1871;Andøy;5002;5033;5032;5024;4993
1874;Moskenes;1130;1120;1116;1118;1108
1902;Tromsø;67305;68239;69116;70358;71590
1903;Harstad;0;0;0;24291;24441
1911;Kvæfjord;3049;3050;3025;3082;3107
1913;Skånland;2855;2896;2972;2940;2951
1917;Ibestad;1408;1419;1410;1421;1436
1919;Gratangen;1150;1115;1136;1119;1135
1920;Lavangen;1012;1003;1016;1012;1014
1922;Bardu;3949;3942;3875;3933;3985
1923;Salangen;2211;2179;2214;2220;2223
1924;Målselv;6510;6563;6599;6630;6634
1925;Sørreisa;3366;3371;3381;3407;3450
1926;Dyrøy;1233;1205;1188;1190;1171
1927;Tranøy;1552;1538;1524;1514;1510
1928;Torsken;899;911;892;880;878
1929;Berg;926;907;887;924;918
1931;Lenvik;11243;11294;11345;11455;11557
1933;Balsfjord;5515;5517;5502;5562;5593
1936;Karlsøy;2371;2357;2355;2317;2334
1938;Lyngen;3152;3086;3028;3013;2992
1939;Omasvuotna Storfjord Omasvuonon;1888;1894;1909;1942;1941
1940;Gáivuotna Kåfjord;2207;2185;2210;2208;2221
1941;Skjervøy;2881;2885;2880;2905;2881
1942;Nordreisa;4757;4805;4807;4850;4854
1943;Kvænangen;1316;1294;1284;1245;1234
2002;Vardø;2124;2111;2122;2128;2119
2003;Vadsø;6101;6095;6125;6163;6223
2004;Hammerfest;9724;9912;9934;10072;10287
2011;Guovdageaidnu Kautokeino;2949;2935;2927;2923;2931
2012;Alta;18680;19071;19282;19646;19822
2014;Loppa;1087;1078;1087;1070;1027
2015;Hasvik;934;972;995;1023;1037
2017;Kvalsund;1026;998;1010;1036;1051
2018;Måsøy;1267;1228;1243;1240;1241
2019;Nordkapp;3185;3224;3228;3205;3213
2020;Porsanger Porsángu Porsanki;3991;3980;3946;3968;3963
2021;Kárásjohka Karasjok;2789;2768;2763;2721;2698
2022;Lebesby;1342;1336;1356;1339;1341
2023;Gamvik;1009;991;1008;1063;1098
2024;Berlevåg;1044;1031;1015;1025;1057
2025;Deatnu Tana;2912;2897;2896;2900;2883
2027;Unjárga Nesseby;884;893;901;882;919
2028;Båtsfjord;2070;2071;2089;2162;2207
2030;Sør-Varanger;9738;9826;9860;9968;10090
