"kommune_nr","aar","enhet","tabell_navn","barnehage_tilsk","ekstra_bosetting_tilsk","eldre_tilsk","em_tilsk","funkhem","inttilsk_1","inttilsk_1_5","inttilsk_2_5","norsk_samf_tilsk","skole_tilsk","totalt","totalt_2","sjekk"
622,2015,"kroner","tilskudd",73200,200000,0,0,0,1820000,2428000,608000,876000,0,3577200,3577200,0
623,2015,"kroner","tilskudd",146400,0,0,3028425,0,7519000,19029600,11510600,3795175,0,25999600,25999600,0
624,2015,"kroner","tilskudd",97600,0,315000,924617,0,5793000,17247450,11454450,3045712.5,0,21630379.5,21630379.5,0
625,2015,"kroner","tilskudd",339600,0,315000,191300,170500,9116000,21870200,12754200,5308350,0,28194950,28194950,0
626,2015,"kroner","tilskudd",73200,0,0,1147800,341000,6462000,21667600,15205600,4499412.5,0,27729012.5,27729012.5,0
627,2015,"kroner","tilskudd",118000,0,157500,0,0,5492000,18084000,12592000,3846800,0,22206300,22206300,0
628,2015,"kroner","tilskudd",97600,50000,0,573900,2690283,5616000,18201000,12585000,2399187.5,0,24011970.5,24011970.5,0
631,2015,"kroner","tilskudd",48800,0,0,0,0,2149000,8696000,6547000,1613800,0,10358600,10358600,0
632,2015,"kroner","tilskudd",0,0,0,0,0,2429000,7521600,5092600,1565650,0,9087250,9087250,0
633,2015,"kroner","tilskudd",24400,0,0,0,2336534,2334000,7056600,4722600,1252487.5,0,10670021.5,10670021.5,0
701,2015,"kroner","tilskudd",97600,175000,0,2486900,3013038,7378000,26224600,18846600,6099962.5,0,38097100.5,38097100.5,0
702,2015,"kroner","tilskudd",72200,0,0,2023117,2410452,3123000,8451200,5328200,2407075,0,15364044,15364044,0
704,2015,"kroner","tilskudd",218600,775000,0,3808986,170500,9864000,30424900,20560900,11038212.5,64600,46500798.5,46500798.5,0
706,2015,"kroner","tilskudd",0,500000,152200,2183516,1983670,10293000,28586650,18293650,8303825,0,41709861,41709861,0
709,2015,"kroner","tilskudd",287800,725000,315000,5371360,5578431,23976000,49204450,25228450,11813925,0,73295966,73295966,0
711,2015,"kroner","tilskudd",0,0,0,0,0,689000,4682000,3993000,1375400,0,6057400,6057400,0
713,2015,"kroner","tilskudd",122000,450000,157500,0,0,4700000,11949400,7249400,2242700,0,14921600,14921600,0
714,2015,"kroner","tilskudd",0,0,0,0,0,0,456000,456000,798325,0,1254325,1254325,0
716,2015,"kroner","tilskudd",219600,0,315000,0,0,4497000,10736800,6239800,2000625,0,13272025,13272025,0
719,2015,"kroner","tilskudd",0,0,0,2230850,0,536000,4401600,3865600,1531750,0,8164200,8164200,0
720,2015,"kroner","tilskudd",73200,50000,157500,2467024,904039,9860000,21653200,11793200,5047312.5,0,30352275.5,30352275.5,0
722,2015,"kroner","tilskudd",168800,325000,157500,3379141,1080000,12365000,25487800,13122800,3831500,0,34429741,34429741,0
