"";"nr";"navn";"bosatte";"anmodning";"vedtak";"ved_anm";"bos_anm";"Personer";"bos_pers"
"144";904;"Grimstad";21;45;25;0,555555555555556;0,466666666666667;21301;0,985869208018403
"145";906;"Arendal";73;85;75;0,882352941176471;0,858823529411765;42801;1,7055676269246
"146";911;"Gjerstad";11;15;13;0,866666666666667;0,733333333333333;2478;4,43906376109766
"147";912;"Vegårshei";0;15;0;0;0;1933;0
"148";914;"Tvedestrand";3;15;5;0,333333333333333;0,2;6019;0,49842166472836
"149";919;"Froland";11;10;10;1;1,1;5257;2,09244816435229
"150";926;"Lillesand";13;25;15;0,6;0,52;9878;1,31605588175744
"151";928;"Birkenes";6;15;8;0,533333333333333;0,4;4828;1,24275062137531
"152";929;"Åmli";7;10;10;1;0,7;1825;3,83561643835616
"153";935;"Iveland";7;10;7;0,7;0,7;1298;5,39291217257319
"154";937;"Evje og Hornnes";0;10;0;0;0;3496;0
"155";938;"Bygland";0;0;0;NA;NA;1219;0
"156";940;"Valle";0;15;0;0;0;1293;0
"157";941;"Bykle";5;15;5;0,333333333333333;0,333333333333333;970;5,15463917525773
"158";1001;"Kristiansand";128;160;140;0,875;0,8;83243;1,53766683084464
"159";1002;"Mandal";25;40;40;1;0,625;15149;1,65027394547495
"160";1003;"Farsund";17;25;15;0,6;0,68;9433;1,80218382274992
"161";1004;"Flekkefjord";6;30;10;0,333333333333333;0,2;9046;0,663276586336502
"162";1014;"Vennesla";20;35;20;0,571428571428571;0,571428571428571;13583;1,47242877125819
"163";1017;"Songdalen";21;25;20;0,8;0,84;6165;3,40632603406326
"164";1018;"Søgne";19;30;25;0,833333333333333;0,633333333333333;10855;1,75034546292031
"165";1021;"Marnardal";3;10;5;0,5;0,3;2286;1,31233595800525
"166";1026;"Åseral";0;10;0;0;0;912;0
"167";1027;"Audnedal";0;0;0;NA;NA;1689;0
"168";1029;"Lindesnes";6;15;10;0,666666666666667;0,4;4753;1,26236061434883
"169";1032;"Lyngdal";17;30;20;0,666666666666667;0,566666666666667;7895;2,15326155794807
"170";1034;"Hægebostad";1;15;0;0;0,0666666666666667;1665;0,600600600600601
"171";1037;"Kvinesdal";15;15;15;1;1;5834;2,57113472745972
"172";1046;"Sirdal";5;10;10;1;0,5;1816;2,75330396475771
"173";1101;"Eigersund";20;30;20;0,666666666666667;0,666666666666667;14475;1,38169257340242
"174";1102;"Sandnes";59;75;60;0,8;0,786666666666667;67814;0,870026838116023
"175";1103;"Stavanger";103;140;102;0,728571428571429;0,735714285714286;127506;0,807805122896177
"176";1106;"Haugesund";49;59;44;0,745762711864407;0,830508474576271;35099;1,39605116954899
"177";1111;"Sokndal";0;10;0;0;0;3257;0
"178";1112;"Lund";7;15;10;0,666666666666667;0,466666666666667;3183;2,19918316054037
"179";1114;"Bjerkreim";0;10;0;0;0;2739;0
"180";1119;"Hå";11;15;10;0,666666666666667;0,733333333333333;17244;0,637903038738112
"181";1120;"Klepp";18;25;20;0,8;0,72;17746;1,01431308463879
"182";1121;"Time";14;30;25;0,833333333333333;0,466666666666667;16769;0,834873874411116
"183";1122;"Gjesdal";15;20;15;0,75;0,75;10778;1,39172388198181
"184";1124;"Sola";16;30;20;0,666666666666667;0,533333333333333;23877;0,670100933953177
"185";1127;"Randaberg";25;25;20;0,8;1;10265;2,43546030199708
"186";1129;"Forsand";0;5;0;0;0;1190;0
