"";"data...1.";"data...i."
"1";NA;"ar.1986"
"2";NA;"innvkat_5.alle"
"3";NA;"kjonn.alle"
"4";NA;"enhet.personer"
"377";"1635 Rennebu";"3043"
"378";"1636 Meldal";"4521"
"379";"1638 Orkdal";"9963"
"380";"1640 Røros";"5408"
"381";"1644 Holtålen";"2648"
"382";"1645 Haltdalen (-1971)";"0"
"383";"1648 Midtre Gauldal";"6161"
"384";"1653 Melhus";"11934"
"385";"1657 Skaun";"5310"
"386";"1662 Klæbu";"3898"
"387";"1663 Malvik";"8926"
"388";"1664 Selbu";"4123"
"389";"1665 Tydal";"993"
"390";"1699 Uoppgitt kommune Sør-Trøndelag";"0"
"391";"1702 Steinkjer";"20476"
"392";"1703 Namsos";"11858"
"393";"1711 Meråker";"2868"
"394";"1714 Stjørdal";"16748"
"395";"1717 Frosta";"2471"
"396";"1718 Leksvik";"3647"
"397";"1719 Levanger";"16337"
"398";"1721 Verdal";"13197"
"399";"1723 Mosvik  (-2011)";"990"
"400";"1724 Verran";"3350"
"401";"1725 Namdalseid";"2052"
"402";"1729 Inderøy (-2011)";"5657"
"403";"1736 Snåase Snåsa";"2601"
"404";"1738 Lierne";"1782"
"405";"1739 Raarvihke Røyrvik";"713"
"406";"1740 Namsskogan";"1270"
"407";"1742 Grong";"2616"
"408";"1743 Høylandet";"1470"
"409";"1744 Overhalla";"3681"
"410";"1748 Fosnes";"853"
"411";"1749 Flatanger";"1547"
"412";"1750 Vikna";"3763"
"413";"1751 Nærøy";"5821"
"414";"1755 Leka";"943"
"415";"1756 Inderøy";"0"
"416";"1799 Uoppgitt kommune Nord-Trøndelag";"0"
"417";"1804 Bodø";"34485"
"418";"1805 Narvik";"18750"
"419";"1811 Bindal";"2173"
"420";"1812 Sømna";"2176"
"421";"1813 Brønnøy";"6832"
"422";"1814 Brønnøy (-1976)";"0"
"423";"1815 Vega";"1661"
"424";"1816 Vevelstad";"749"
"425";"1818 Herøy (Nordl.)";"2124"
"426";"1820 Alstahaug";"7612"
"427";"1822 Leirfjord";"2429"
"428";"1824 Vefsn";"13189"
"429";"1825 Grane";"1755"
"430";"1826 Hattfjelldal";"1768"
"431";"1827 Dønna";"1966"
"432";"1828 Nesna";"1832"
"433";"1832 Hemnes";"4935"
"434";"1833 Rana";"25219"
"435";"1834 Lurøy";"2435"
"436";"1835 Træna";"537"
"437";"1836 Rødøy";"1893"
"438";"1837 Meløy";"7007"
"439";"1838 Gildeskål";"2713"
"440";"1839 Beiarn";"1569"
"441";"1840 Saltdal";"5274"
"442";"1841 Fauske";"10054"
"443";"1842 Skjerstad (-2004)";"1307"
"444";"1843 Bodin (-1967)";"0"
"445";"1845 Sørfold";"3017"
"446";"1848 Steigen";"3525"
"447";"1849 Hábmer Hamarøy";"2325"
"448";"1850 Divtasvuodna Tysfjord";"2738"
"449";"1851 Lødingen";"2968"
"450";"1852 Tjeldsund";"1945"
"451";"1853 Evenes";"1805"
"452";"1854 Ballangen";"3219"
"453";"1855 Ankenes (-1973)";"0"
"454";"1856 Røst";"726"
"455";"1857 Værøy";"948"
"456";"1858 Moskenes (1916-1975)";"0"
"457";"1859 Flakstad";"1710"
"458";"1860 Vestvågøy";"10745"
"459";"1865 Vågan";"9503"
"460";"1866 Hadsel";"8763"
"461";"1867 Bø (Nordl.)";"4106"
"462";"1868 Øksnes";"5082"
"463";"1870 Sortland";"8243"
"464";"1871 Andøy";"6894"
"465";"1874 Moskenes";"1534"
"466";"1899 Uoppgitt kommune Nordland";"0"
